START-OF-LOG: 3.0
CREATED-BY: HMRA public 9A HRS HF Robot downloader
CONTEST: 9A-DX
CALLSIGN: DF6PK
OPERATORS: DF6PK
CATEGORY: B02
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: LOW
CLAIMED-SCORE: 4379
SOAPBOX: Recreated from 9A HRS HF Robot public QSO table for Croatian DX Contest 2023.
SOAPBOX: Public error-summary rows are ignored.
SOAPBOX: Source: https://www.hamradio.hr/hfrobot/hfcc_log.php?What=vloghtm&CID=2023-12-16&ID=DF6PK
SOAPBOX: Source category label: B02 - Single Operator, All Bands, Mixed, Low Power.
SOAPBOX: Published QSO count: 85.
QSO: 07009 CW 2023-12-16 1511 DF6PK         599 0001 28    HA3DX         599 0000 28   
QSO: 07013 CW 2023-12-16 1515 DF6PK         599 0002 28    LZ6F          599 0000 28   
QSO: 07017 CW 2023-12-16 1517 DF6PK         599 0003 28    HG1W          599 0000 28   
QSO: 07017 CW 2023-12-16 1518 DF6PK         599 0004 28    UR7R          599 0000 29   
QSO: 07018 CW 2023-12-16 1519 DF6PK         599 0005 28    YU1RA         599 0000 29   
QSO: 07022 CW 2023-12-16 1524 DF6PK         599 0006 28    OM5DX         599 0000 28   
QSO: 07023 CW 2023-12-16 1524 DF6PK         599 0007 28    R9FT          599 0000 30   
QSO: 07025 CW 2023-12-16 1526 DF6PK         599 0008 28    DJ0YI         599 0000 28   
QSO: 07034 CW 2023-12-16 1530 DF6PK         599 0009 28    SN6A          599 0000 28   
QSO: 07036 CW 2023-12-16 1531 DF6PK         599 0010 28    SF6W          599 0000 18   
QSO: 07153 PH 2023-12-16 1535 DF6PK         59  0011 28    OT8M          59  0000 28   
QSO: 07157 PH 2023-12-16 1536 DF6PK         59  0012 28    PB6W          59  0000 28   
QSO: 07180 PH 2023-12-16 1538 DF6PK         59  0013 28    S57O          59  0000 28   
QSO: 14040 CW 2023-12-16 1542 DF6PK         599 0014 28    RN3BL         599 0000 29   
QSO: 14012 CW 2023-12-16 1544 DF6PK         599 0015 28    R3ZZ          599 0000 29   
QSO: 14017 CW 2023-12-16 1545 DF6PK         599 0016 28    YT2SM         599 0000 28   
QSO: 14022 CW 2023-12-16 1547 DF6PK         599 0017 28    9A5M          599 0000 OS   
QSO: 14024 CW 2023-12-16 1550 DF6PK         599 0018 28    LZ2CJ         599 0000 28   
QSO: 14027 CW 2023-12-16 1551 DF6PK         599 0019 28    EA1X          599 0000 27   
QSO: 14216 PH 2023-12-16 1553 DF6PK         59  0020 28    EB1DJ         59  0000 37   
QSO: 14216 PH 2023-12-16 1553 DF6PK         59  0021 28    EA1X          59  0000 37   
QSO: 14284 PH 2023-12-16 1554 DF6PK         59  0022 28    OH8WW         59  0000 18   
QSO: 07176 PH 2023-12-16 1559 DF6PK         59  0023 28    SN9DT         59  0000 28   
QSO: 07008 CW 2023-12-16 1607 DF6PK         599 0024 28    SM5IMO        599 0000 18   
QSO: 07010 CW 2023-12-16 1608 DF6PK         599 0025 28    YT4W          599 0000 28   
QSO: 07020 CW 2023-12-16 1616 DF6PK         599 0026 28    OE5TXF        599 0000 28   
QSO: 14012 CW 2023-12-17 1118 DF6PK         599 0027 28    SP2R          599 0000 28   
QSO: 14013 CW 2023-12-17 1156 DF6PK         599 0028 28    I2VXJ         599 0000 28   
QSO: 14015 CW 2023-12-17 1157 DF6PK         599 0029 28    LZ5Y          599 0000 28   
QSO: 14016 CW 2023-12-17 1158 DF6PK         599 0030 28    E77EA         599 0000 28   
QSO: 14018 CW 2023-12-17 1159 DF6PK         599 0031 28    SM0Q          599 0000 18   
QSO: 14019 CW 2023-12-17 1200 DF6PK         599 0032 28    EI0W          599 0000 27   
QSO: 14024 CW 2023-12-17 1203 DF6PK         599 0033 28    LZ7DX         599 0000 28   
QSO: 14025 CW 2023-12-17 1204 DF6PK         599 0034 28    K1ZZ          599 0000 08   
