START-OF-LOG: 3.0
CREATED-BY: HMRA public 9A HRS HF Robot downloader
CONTEST: CROATIAN-DX
CALLSIGN: F4GFT
OPERATORS: F4GFT
CATEGORY: B02
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: LOW
CLAIMED-SCORE: 559
SOAPBOX: Recreated from 9A HRS HF Robot public QSO table for Croatian DX Contest 2023.
SOAPBOX: Public error-summary rows are ignored.
SOAPBOX: Source: https://www.hamradio.hr/hfrobot/hfcc_log.php?What=vloghtm&CID=2023-12-16&ID=F4GFT
SOAPBOX: Source category label: B02 - Single Operator, All Bands, Mixed, Low Power.
SOAPBOX: Published QSO count: 18.
QSO: 28011 CW 2023-12-16 1501 F4GFT         599 0001 27    P3X           599 0000 39   
QSO: 21015 CW 2023-12-16 1503 F4GFT         599 0002 27    RL5A          599 0000 29   
QSO: 14033 CW 2023-12-17 0806 F4GFT         599 0003 27    EA5OH         599 0000 37   
QSO: 07019 CW 2023-12-17 0811 F4GFT         599 0004 27    M2G           599 0000 27   
QSO: 07022 CW 2023-12-17 0813 F4GFT         599 0005 27    OP4A          599 0000 27   
QSO: 07032 CW 2023-12-17 0817 F4GFT         599 0006 27    DM7X          599 0000 28   
QSO: 21023 CW 2023-12-17 1106 F4GFT         599 0007 27    HG5D          599 0000 28   
QSO: 14218 PH 2023-12-17 1109 F4GFT         59  0008 27    IK4LZH        59  0000 28   
QSO: 14236 PH 2023-12-17 1110 F4GFT         59  0009 27    S52WW         59  0000 28   
QSO: 14280 PH 2023-12-17 1111 F4GFT         59  0010 27    9A1AA         59  0000 OS   
QSO: 14261 PH 2023-12-17 1117 F4GFT         59  0011 27    OK1NYD        59  0000 28   
QSO: 21225 PH 2023-12-17 1125 F4GFT         59  0012 27    9A3SMS        59  0000 DU   
QSO: 14222 PH 2023-12-17 1128 F4GFT         59  0013 27    9A6KX         59  0000 PU   
QSO: 14182 PH 2023-12-17 1130 F4GFT         59  0014 27    EB1DJ         59  0000 37   
QSO: 14249 PH 2023-12-17 1138 F4GFT         59  0015 27    IU3BTY        59  0000 28   
QSO: 21014 CW 2023-12-17 1151 F4GFT         599 0016 27    9A3SMS        599 0000 DU   
QSO: 21028 CW 2023-12-17 1153 F4GFT         599 0017 27    YT8A          599 0000 28   
QSO: 21030 CW 2023-12-17 1154 F4GFT         599 0018 27    OY1CT         599 0000 18   
END-OF-LOG:
