START-OF-LOG: 3.0
CREATED-BY: HMRA public 9A HRS HF Robot downloader
CONTEST: 9A-DX
CALLSIGN: IK6PTH
OPERATORS: IK6PTH
CATEGORY: B09
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: HIGH
CLAIMED-SCORE: 29315
SOAPBOX: Recreated from 9A HRS HF Robot public QSO table for Croatian DX Contest 2023.
SOAPBOX: Public error-summary rows are ignored.
SOAPBOX: Source: https://www.hamradio.hr/hfrobot/hfcc_log.php?What=vloghtm&CID=2023-12-16&ID=IK6PTH
SOAPBOX: Source category label: B09 - Single Operator, Two Bands, Mixed, High Power.
SOAPBOX: Published QSO count: 191.
QSO: 07182 PH 2023-12-16 1749 IK6PTH        59  0001 28    HA3DX         59  0000 28   
QSO: 07177 PH 2023-12-16 1750 IK6PTH        59  0002 28    OH8WW         59  0000 18   
QSO: 07172 PH 2023-12-16 1751 IK6PTH        59  0003 28    YL3JA         59  0000 29   
QSO: 07168 PH 2023-12-16 1752 IK6PTH        59  0004 28    LZ8E          59  0000 28   
QSO: 07145 PH 2023-12-16 1752 IK6PTH        59  0005 28    HA2KMR        59  0000 28   
QSO: 07142 PH 2023-12-16 1756 IK6PTH        59  0006 28    OG3B          59  0000 18   
QSO: 07128 PH 2023-12-16 1757 IK6PTH        59  0007 28    G6T           59  0000 27   
QSO: 07139 PH 2023-12-16 1758 IK6PTH        59  0008 28    YT1A          59  0000 28   
QSO: 14235 PH 2023-12-16 1804 IK6PTH        59  0009 28    9A1UN         59  0000 PU   
QSO: 14241 PH 2023-12-16 1806 IK6PTH        59  0010 28    E70T          59  0000 28   
QSO: 14041 CW 2023-12-16 1831 IK6PTH        599 0011 28    K5CM          599 0000 07   
QSO: 14011 CW 2023-12-16 1832 IK6PTH        599 0012 28    K1TR          599 0000 08   
QSO: 14024 CW 2023-12-16 1834 IK6PTH        599 0013 28    AA3B          599 0000 08   
QSO: 14017 CW 2023-12-16 1834 IK6PTH        599 0014 28    EA3NO         599 0000 37   
QSO: 14010 CW 2023-12-16 1836 IK6PTH        599 0015 28    K8GL          599 0000 08   
QSO: 14033 CW 2023-12-16 1836 IK6PTH        599 0016 28    AB2E          599 0000 08   
QSO: 14021 CW 2023-12-16 1837 IK6PTH        599 0017 28    CT1GFK        599 0000 37   
QSO: 14028 CW 2023-12-16 1839 IK6PTH        599 0018 28    EA1G          599 0000 37   
QSO: 14019 CW 2023-12-16 1843 IK6PTH        599 0019 28    AK1MB         599 0000 08   
