START-OF-LOG: 3.0
CREATED-BY: HMRA public 9A HRS HF Robot downloader
CONTEST: CROATIAN-DX-CONTEST
CALLSIGN: ON5WL
OPERATORS: ON5WL
CATEGORY: B02
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: LOW
CLAIMED-SCORE: 38936
SOAPBOX: Recreated from 9A HRS HF Robot public QSO table for Croatian DX Contest 2023.
SOAPBOX: Public error-summary rows are ignored.
SOAPBOX: Source: https://www.hamradio.hr/hfrobot/hfcc_log.php?What=vloghtm&CID=2023-12-16&ID=ON5WL
SOAPBOX: Source category label: B02 - Single Operator, All Bands, Mixed, Low Power.
SOAPBOX: Published QSO count: 287.
QSO: 28000 PH 2023-12-16 1454 ON5WL         59  0001 27    KU2M          59  0000 08   
QSO: 28000 PH 2023-12-16 1455 ON5WL         59  0002 27    WA1Z          59  0000 08   
QSO: 28000 PH 2023-12-16 1456 ON5WL         59  0003 27    D4C           59  0000 46   
QSO: 28000 PH 2023-12-16 1500 ON5WL         59  0004 27    OT8M          59  0000 27   
QSO: 14000 PH 2023-12-16 1503 ON5WL         59  0005 27    UZ7M          59  0000 29   
QSO: 14000 PH 2023-12-16 1504 ON5WL         59  0006 27    RZ3Z          59  0000 29   
QSO: 14000 PH 2023-12-16 1505 ON5WL         59  0007 27    LC5C          59  0000 19   
QSO: 14000 PH 2023-12-16 1506 ON5WL         59  0008 27    EA3FP         59  0000 37   
QSO: 14000 PH 2023-12-16 1509 ON5WL         59  0009 27    LZ1JZ         59  0000 28   
QSO: 14000 PH 2023-12-16 1510 ON5WL         59  0010 27    RG9A          59  0000 30   
QSO: 14000 PH 2023-12-16 1511 ON5WL         59  0011 27    9A0BR         59  0000 ST   
QSO: 14000 PH 2023-12-16 1516 ON5WL         59  0012 27    OG3B          59  0000 18   
QSO: 14000 PH 2023-12-16 1517 ON5WL         59  0013 27    MI7DGO        59  0000 27   
