START-OF-LOG: 3.0
CREATED-BY: HMRA public 9A HRS HF Robot downloader
CONTEST: 9A-DX
CALLSIGN: LY2J
OPERATORS: LY2J
CATEGORY: B05
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: 10M
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CLAIMED-SCORE: 490
SOAPBOX: Recreated from 9A HRS HF Robot public QSO table for Croatian DX Contest 2024.
SOAPBOX: Public error-summary rows are ignored.
SOAPBOX: Source: https://www.hamradio.hr/hfrobot/hfcc_log.php?What=vloghtm&CID=2024-12-21&ID=LY2J
SOAPBOX: Source category label: B05 - Single Operator, All Bands, CW, Low Power.
SOAPBOX: Published QSO count: 20.
QSO: 28031 CW 2024-12-22 1123 LY2J          599 0001 29    CR3DX         599 0000 36   
QSO: 28036 CW 2024-12-22 1212 LY2J          599 0002 29    TA4RC         599 0000 39   
QSO: 28036 CW 2024-12-22 1214 LY2J          599 0003 29    M4N           599 0000 27   
QSO: 28036 CW 2024-12-22 1218 LY2J          599 0004 29    2E0LMI        599 0000 27   
QSO: 28036 CW 2024-12-22 1219 LY2J          599 0005 29    9A3YI         599 0000 RI   
QSO: 28036 CW 2024-12-22 1225 LY2J          599 0006 29    KR2AA         599 0000 08   
QSO: 28036 CW 2024-12-22 1227 LY2J          599 0007 29    4Z5ML         599 0000 39   
QSO: 28036 CW 2024-12-22 1227 LY2J          599 0008 29    9A3MA         599 0000 SI   
QSO: 28036 CW 2024-12-22 1230 LY2J          599 0009 29    W1FJ          599 0000 08   
QSO: 28036 CW 2024-12-22 1231 LY2J          599 0010 29    DL1WA         599 0000 28   
QSO: 28036 CW 2024-12-22 1232 LY2J          599 0011 29    W1GD          599 0000 08   
QSO: 28036 CW 2024-12-22 1233 LY2J          599 0012 29    EI5KF         599 0000 27   
QSO: 28036 CW 2024-12-22 1234 LY2J          599 0013 29    G4PVM         599 0000 27   
QSO: 28036 CW 2024-12-22 1234 LY2J          599 0014 29    9A7DX         599 0000 DA   
QSO: 28036 CW 2024-12-22 1235 LY2J          599 0015 29    G4TJJ         599 0000 27   
QSO: 28036 CW 2024-12-22 1237 LY2J          599 0016 29    OM5MX         599 0000 28   
QSO: 28036 CW 2024-12-22 1239 LY2J          599 0017 29    DA3T          599 0000 28   
QSO: 28036 CW 2024-12-22 1241 LY2J          599 0018 29    EA5YU         599 0000 37   
QSO: 28036 CW 2024-12-22 1241 LY2J          599 0019 29    SC7DX         599 0000 18   
QSO: 28036 CW 2024-12-22 1242 LY2J          599 0020 29    K1ZZ          599 0000 08   
END-OF-LOG:
