START-OF-LOG: 3.0
CREATED-BY: HMRA public 9A HRS HF Robot downloader
CONTEST: 9A-DX
CALLSIGN: M0MDS
OPERATORS: M0MDS
CATEGORY: B09
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: HIGH
CLAIMED-SCORE: 1001
SOAPBOX: Recreated from 9A HRS HF Robot public QSO table for Croatian DX Contest 2024.
SOAPBOX: Public error-summary rows are ignored.
SOAPBOX: Source: https://www.hamradio.hr/hfrobot/hfcc_log.php?What=vloghtm&CID=2024-12-21&ID=M0MDS
SOAPBOX: Source category label: B09 - Single Operator, Two Bands, Mixed, High Power.
SOAPBOX: Published QSO count: 28.
QSO: 07030 CW 2024-12-21 1737 M0MDS         599 0001 27    4U30B         599 0000 28   
QSO: 07014 CW 2024-12-21 1739 M0MDS         599 0002 27    OL7D          599 0000 28   
QSO: 07008 CW 2024-12-21 1740 M0MDS         599 0003 27    EI5KF         599 0000 27   
QSO: 07011 CW 2024-12-21 1740 M0MDS         599 0004 27    YT9A          599 0000 28   
QSO: 07011 CW 2024-12-21 1741 M0MDS         599 0005 27    F6KRK         599 0000 27   
QSO: 07012 CW 2024-12-21 1741 M0MDS         599 0006 27    RM1T          599 0000 29   
QSO: 07013 CW 2024-12-21 1742 M0MDS         599 0007 27    DL5AXX        599 0000 28   
QSO: 07016 CW 2024-12-21 1744 M0MDS         599 0008 27    YU2M          599 0000 28   
QSO: 07025 CW 2024-12-21 1745 M0MDS         599 0009 27    LY5W          599 0000 29   
QSO: 07020 CW 2024-12-21 1745 M0MDS         599 0010 27    ES7A          599 0000 29   
QSO: 07016 CW 2024-12-21 1751 M0MDS         599 0011 27    YU2M          599 0000 28   
QSO: 07007 CW 2024-12-21 1753 M0MDS         599 0012 27    LZ5R          599 0000 28   
QSO: 07019 CW 2024-12-21 1758 M0MDS         599 0013 27    LZ3QE         599 0000 28   
QSO: 07026 CW 2024-12-21 1759 M0MDS         599 0014 27    DL50WAF       599 0000 28   
QSO: 07028 CW 2024-12-21 1801 M0MDS         599 0015 27    EA4AOC        599 0000 37   
QSO: 07027 CW 2024-12-21 1801 M0MDS         599 0016 27    9A7V          599 0000 VZ   
QSO: 14046 CW 2024-12-21 1806 M0MDS         599 0017 27    9A0KG         599 0000 OE   
QSO: 14028 CW 2024-12-21 1807 M0MDS         599 0018 27    YT3X          599 0000 28   
QSO: 07015 CW 2024-12-21 1811 M0MDS         599 0019 27    EI2KA         599 0000 27   
QSO: 07138 PH 2024-12-21 1812 M0MDS         59  0020 27    9A0BR         59  0000 ST   
QSO: 07194 PH 2024-12-21 1813 M0MDS         59  0021 27    SE2P          59  0000 18   
QSO: 07174 PH 2024-12-21 1813 M0MDS         59  0022 27    9A7P          59  0000 PU   
QSO: 07138 PH 2024-12-21 1814 M0MDS         59  0023 27    9A0BR         59  0000 ST   
QSO: 07029 CW 2024-12-21 1816 M0MDS         599 0024 27    9A2NA         599 0000 PU   
QSO: 07024 CW 2024-12-21 1818 M0MDS         599 0025 27    YL2TD         599 0000 29   
QSO: 07017 CW 2024-12-21 1821 M0MDS         599 0026 27    S51DX         599 0000 28   
QSO: 07037 CW 2024-12-21 1823 M0MDS         599 0027 27    E73QI         599 0000 28   
QSO: 07011 CW 2024-12-21 1826 M0MDS         599 0028 27    4L8A          599 0000 29   
END-OF-LOG:
