START-OF-LOG: 3.0
CREATED-BY: HMRA public 9A HRS HF Robot downloader
CONTEST: 9A-DX
CALLSIGN: K9MA
OPERATORS: K9MA
CATEGORY: B04
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: HIGH
CLAIMED-SCORE: 1368
SOAPBOX: Recreated from 9A HRS HF Robot public QSO table for Croatian DX Contest 2025.
SOAPBOX: Public error-summary rows are ignored.
SOAPBOX: Source: https://www.hamradio.hr/hfrobot/hfcc_log.php?What=vloghtm&CID=2025-12-20&ID=K9MA
SOAPBOX: Source category label: B04 - Single Operator, All Bands, CW, High Power.
SOAPBOX: Published QSO count: 26.
QSO: 07031 CW 2025-12-21 0330 K9MA          599 0001 08    9A5W          599 0000 ZG   
QSO: 07015 CW 2025-12-21 0331 K9MA          599 0002 08    OL7D          599 0000 28   
QSO: 07007 CW 2025-12-21 0331 K9MA          599 0003 08    YT1A          599 0000 28   
QSO: 07004 CW 2025-12-21 0332 K9MA          599 0004 08    K1LZ          599 0000 08   
QSO: 07020 CW 2025-12-21 0333 K9MA          599 0005 08    W0EAS         599 0000 08   
QSO: 07005 CW 2025-12-21 0333 K9MA          599 0006 08    AI5IN         599 0000 07   
QSO: 07029 CW 2025-12-21 0334 K9MA          599 0007 08    E7CW          599 0000 28   
QSO: 07032 CW 2025-12-21 0336 K9MA          599 0008 08    S52NY         599 0000 28   
QSO: 07032 CW 2025-12-21 0336 K9MA          599 0009 08    DJ9MH         599 0000 28   
QSO: 07032 CW 2025-12-21 0337 K9MA          599 0010 08    SP2R          599 0000 28   
QSO: 07032 CW 2025-12-21 0337 K9MA          599 0011 08    DL4ME         599 0000 28   
QSO: 07032 CW 2025-12-21 0338 K9MA          599 0012 08    S53M          599 0000 28   
QSO: 07032 CW 2025-12-21 0338 K9MA          599 0013 08    S52AW         599 0000 28   
QSO: 07032 CW 2025-12-21 0339 K9MA          599 0014 08    KI1G          599 0000 08   
QSO: 07032 CW 2025-12-21 0339 K9MA          599 0015 08    N4RV          599 0000 08   
QSO: 07032 CW 2025-12-21 0340 K9MA          599 0016 08    S52AW         599 0000 28   
QSO: 07032 CW 2025-12-21 0341 K9MA          599 0017 08    KC3YYP        599 0000 08   
QSO: 03516 CW 2025-12-21 0343 K9MA          599 0018 08    WQ6X          599 0000 06   
QSO: 03515 CW 2025-12-21 0343 K9MA          599 0019 08    N8OO          599 0000 07   
QSO: 03527 CW 2025-12-21 0346 K9MA          599 0020 08    K1LZ          599 0000 08   
QSO: 03529 CW 2025-12-21 0349 K9MA          599 0021 08    N6EK          599 0000 06   
QSO: 03529 CW 2025-12-21 0349 K9MA          599 0022 08    EA8BW         599 0000 36   
QSO: 03529 CW 2025-12-21 0350 K9MA          599 0023 08    AA4DD         599 0000 08   
QSO: 03524 CW 2025-12-21 0352 K9MA          599 0024 08    W0EAS         599 0000 08   
QSO: 07021 CW 2025-12-21 0355 K9MA          599 0025 08    EA7BEZ        599 0000 37   
QSO: 07012 CW 2025-12-21 0355 K9MA          599 0026 08    K5GN          599 0000 07   
END-OF-LOG:
