START-OF-LOG: 3.0
CREATED-BY: HMRA public 9A HRS HF Robot downloader
CONTEST: 9A-DX
CALLSIGN: UY5QJ
OPERATORS: UY5QJ
CATEGORY: B02
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: LOW
CLAIMED-SCORE: 15827
SOAPBOX: Recreated from 9A HRS HF Robot public QSO table for Croatian DX Contest 2025.
SOAPBOX: Public error-summary rows are ignored.
SOAPBOX: Source: https://www.hamradio.hr/hfrobot/hfcc_log.php?What=vloghtm&CID=2025-12-20&ID=UY5QJ
SOAPBOX: Source category label: B02 - Single Operator, All Bands, Mixed, Low Power.
SOAPBOX: Published QSO count: 144.
QSO: 14000 CW 2025-12-20 1401 UY5QJ         599 0001 29    IT9/DK6XG     599 0000 28   
QSO: 14000 CW 2025-12-20 1403 UY5QJ         599 0002 29    E70Y          599 0000 28   
QSO: 14000 CW 2025-12-20 1404 UY5QJ         599 0003 29    DM0A          599 0000 28   
QSO: 14000 CW 2025-12-20 1405 UY5QJ         599 0004 29    OZ3SM         599 0000 18   
QSO: 14000 CW 2025-12-20 1407 UY5QJ         599 0005 29    SP2FAP        599 0000 28   
QSO: 14000 CW 2025-12-20 1409 UY5QJ         599 0006 29    OF9X          599 0000 18   
QSO: 14000 CW 2025-12-20 1409 UY5QJ         599 0007 29    SV1FWV        599 0000 28   
QSO: 14000 CW 2025-12-20 1410 UY5QJ         599 0008 29    DK8ZB         599 0000 28   
QSO: 14000 CW 2025-12-20 1411 UY5QJ         599 0009 29    EA1X          599 0000 37   
QSO: 14000 CW 2025-12-20 1412 UY5QJ         599 0010 29    9A6C          599 0000 SI   
QSO: 14000 CW 2025-12-20 1413 UY5QJ         599 0011 29    IK0NOJ        599 0000 28   
QSO: 14000 CW 2025-12-20 1414 UY5QJ         599 0012 29    9A5W          599 0000 ZG   
QSO: 14000 CW 2025-12-20 1415 UY5QJ         599 0013 29    SE4E          599 0000 18   
QSO: 14000 CW 2025-12-20 1417 UY5QJ         599 0014 29    9A2L          599 0000 VZ   
QSO: 14000 CW 2025-12-20 1418 UY5QJ         599 0015 29    PA4O          599 0000 27   
QSO: 14000 CW 2025-12-20 1419 UY5QJ         599 0016 29    9A5CW         599 0000 PU   
QSO: 14000 CW 2025-12-20 1420 UY5QJ         599 0017 29    F8KCF         599 0000 27   
QSO: 14000 CW 2025-12-20 1421 UY5QJ         599 0018 29    M4T           599 0000 27   
QSO: 14000 CW 2025-12-20 1423 UY5QJ         599 0019 29    S51DX         599 0000 28   
QSO: 14000 CW 2025-12-20 1425 UY5QJ         599 0020 29    EC5K          599 0000 37   
QSO: 07000 CW 2025-12-20 1747 UY5QJ         599 0021 29    9A3DML        599 0000 ZG   
QSO: 07000 CW 2025-12-20 1748 UY5QJ         599 0022 29    PA3FQA        599 0000 27   
QSO: 07000 CW 2025-12-20 1754 UY5QJ         599 0023 29    IK2QEI        599 0000 28   
QSO: 07000 CW 2025-12-20 1755 UY5QJ         599 0024 29    S59A          599 0000 28   
QSO: 07000 CW 2025-12-20 1756 UY5QJ         599 0025 29    S51DX         599 0000 28   
QSO: 07000 CW 2025-12-20 1757 UY5QJ         599 0026 29    E7DX          599 0000 28   
QSO: 07000 CW 2025-12-20 1808 UY5QJ         599 0027 29    9A3YT         599 0000 RI   
QSO: 07000 CW 2025-12-20 1809 UY5QJ         599 0028 29    DM7X          599 0000 28   
QSO: 07000 CW 2025-12-20 1810 UY5QJ         599 0029 29    IK0YUT        599 0000 28   
QSO: 07000 CW 2025-12-20 1812 UY5QJ         599 0030 29    IK2WXQ        599 0000 28   
