START-OF-LOG: 3.0
CONTEST: ARRL-10-GHZ
LOCATION: SJV
CALLSIGN: K6ML
CATEGORY-BAND: ALL
OPERATORS: K6ML
CATEGORY-ASSISTED: ASSISTED
CATEGORY-MODE: MIXED
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CATEGORY-STATION: ROVER
CATEGORY-TIME: 24-HOURS
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-OVERLAY: CLASSIC
CLUB: THE 50MHZ AND UP GROUP OF NORTHERN CALIFORNIA
CREATED-BY: N9JIM 0.41
HQ-CATEGORY: 10 GHz and Up
QSO: 10G PH 2024-08-17 1552 K6ML CM97IO N6RMJ DM05AX
QSO: 10G PH 2024-08-17 1553 K6ML CM97IO K6VHF DM05AX
QSO: 10G PH 2024-08-17 1559 K6ML CM97IO K6MG DM04MS
QSO: 10G PH 2024-08-17 1612 K6ML CM97IO AG6KG DM07CN
QSO: 10G PH 2024-08-17 1621 K6ML CM97IO AA6XA CM88WJ
QSO: 10G PH 2024-08-17 1656 K6ML CM97IO W6QIW DM05CR
QSO: 10G PH 2024-08-17 1800 K6ML CM97KH AA6XA CM88WJ
QSO: 10G PH 2024-08-17 1817 K6ML CM97KH K6MG DM04MS
QSO: 10G PH 2024-08-17 1824 K6ML CM97KH AG6KG DM07CN
QSO: 10G PH 2024-08-17 1833 K6ML CM97KH KB6BA DM07HB
QSO: 10G PH 2024-08-17 1841 K6ML CM97KH N6RMJ DM05AS
QSO: 10G PH 2024-08-17 1841 K6ML CM97KH K6VHF DM05AS
QSO: 10G PH 2024-08-17 1929 K6ML CM97KH WA6CDR DM25GW
QSO: 10G PH 2024-08-17 1940 K6ML CM97KH N5BF DM04MS
QSO: 10G PH 2024-08-17 1955 K6ML CM97KH W6BY CM97GQ
QSO: 24G PH 2024-08-17 2000 K6ML CM97KH W6BY CM97GQ
QSO: 10G PH 2024-08-17 2010 K6ML CM97KH W6QIW DM05GL
QSO: 10G PH 2024-08-17 2011 K6ML CM97KH KD6W DM05GL
QSO: 10G PH 2024-08-17 2156 K6ML CM96OU W6BY CM97JO
QSO: 10G PH 2024-08-17 2210 K6ML CM96OU WA6CDR DM25GW
QSO: 10G PH 2024-08-17 2214 K6ML CM96OU AG6KG DM07CN
QSO: 10G PH 2024-08-17 2224 K6ML CM96OU W6QIW DM05FO
QSO: 10G PH 2024-08-17 2225 K6ML CM96OU KD6W DM05FO
QSO: 10G PH 2024-08-17 2231 K6ML CM96OU K6MG DM04MS
QSO: 10G PH 2024-08-17 2231 K6ML CM96OU N5BF DM04MS
QSO: 10G PH 2024-08-17 2250 K6ML CM96OU AA6XA CM88WJ
QSO: 10G PH 2024-08-17 2251 K6ML CM96OU WA6QDP CM88WJ
QSO: 10G PH 2024-08-17 2305 K6ML CM96OU N6RMJ DM05PF
QSO: 10G PH 2024-08-17 2306 K6ML CM96OU K6VHF DM05PF
QSO: 10G PH 2024-08-18 0009 K6ML CM96RU K6MG DM04MS
QSO: 10G PH 2024-08-18 0010 K6ML CM96RU N5BF DM04MS
QSO: 10G PH 2024-08-18 0027 K6ML CM96RU WA6QDP CM88WJ
QSO: 10G PH 2024-08-18 0034 K6ML CM96RU AG6KG DM07CN
QSO: 10G PH 2024-08-18 0044 K6ML CM96RU W6BY CM97KH
QSO: 24G PH 2024-08-18 0047 K6ML CM96RU W6BY CM97KH
QSO: 10G PH 2024-08-18 0055 K6ML CM96RU KB6BA DM07GB
QSO: 10G PH 2024-08-18 0122 K6ML CM96RU W6QIW DM05FT
QSO: 10G PH 2024-08-18 0122 K6ML CM96RU KD6W DM05FT
QSO: 10G CW 2024-08-18 0153 K6ML CM96RU WA6CDR DM25GW
QSO: 10G PH 2024-08-18 0213 K6ML CM96RU W6BY CM97MB
QSO: 24G PH 2024-08-18 0215 K6ML CM96RU W6BY CM97MB
