START-OF-LOG: 3.0
CONTEST: ARRL-160
LOCATION: MS
CALLSIGN: WQ5L
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: HIGH
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CREATED-BY: N1MM LOGGER+ 1.0.9353.0
OPERATORS: WQ5L
HQ-CATEGORY: Single Operator, High Power
HQ-GRID-LOCATOR: EM50jl
QSO: 1801 CW 2021-12-04 0258 WQ5L 599 MS ZF9CW 599
QSO: 1802 CW 2021-12-04 0259 WQ5L 599 MS K4FN 599 KY
QSO: 1803 CW 2021-12-04 0300 WQ5L 599 MS N4ZZ 599 TN
QSO: 1805 CW 2021-12-04 0301 WQ5L 599 MS W7YAQ 599 OR
QSO: 1806 CW 2021-12-04 0302 WQ5L 599 MS WA1UJU 599 MI
QSO: 1806 CW 2021-12-04 0303 WQ5L 599 MS K4SO 599 VA
QSO: 1808 CW 2021-12-04 0304 WQ5L 599 MS CO2AN 599
QSO: 1809 CW 2021-12-04 0307 WQ5L 599 MS W1VE 599 VT
QSO: 1809 CW 2021-12-04 0308 WQ5L 599 MS NE9U 599 WI
QSO: 1811 CW 2021-12-04 0310 WQ5L 599 MS WA2CP 599 NLI
QSO: 1811 CW 2021-12-04 0310 WQ5L 599 MS W4NF 599 VA
QSO: 1812 CW 2021-12-04 0311 WQ5L 599 MS VE3MM 599 GTA
QSO: 1812 CW 2021-12-04 0312 WQ5L 599 MS WF2W 599 WNY
QSO: 1812 CW 2021-12-04 0313 WQ5L 599 MS W1UE 599 EMA
QSO: 1813 CW 2021-12-04 0314 WQ5L 599 MS N6WM 599 EB
QSO: 1814 CW 2021-12-04 0315 WQ5L 599 MS NX6T 599 SDG
QSO: 1815 CW 2021-12-04 0316 WQ5L 599 MS K5PI 599 STX
QSO: 1816 CW 2021-12-04 0317 WQ5L 599 MS K3WW 599 EPA
QSO: 1816 CW 2021-12-04 0317 WQ5L 599 MS N4OGW 599 MS
QSO: 1825 CW 2021-12-04 0318 WQ5L 599 MS K9MMS 599 IL
QSO: 1826 CW 2021-12-04 0319 WQ5L 599 MS N0IS 599 MO
QSO: 1826 CW 2021-12-04 0320 WQ5L 599 MS N0NI 599 IA
QSO: 1827 CW 2021-12-04 0321 WQ5L 599 MS W3BGN 599 EPA
QSO: 1828 CW 2021-12-04 0321 WQ5L 599 MS NO3M 599 WPA
QSO: 1830 CW 2021-12-04 0322 WQ5L 599 MS N4BP 599 SFL
QSO: 1831 CW 2021-12-04 0324 WQ5L 599 MS PJ2T 599
QSO: 1832 CW 2021-12-04 0325 WQ5L 599 MS N4AF 599 NC
QSO: 1832 CW 2021-12-04 0325 WQ5L 599 MS N8OO 599 LA
QSO: 1833 CW 2021-12-04 0326 WQ5L 599 MS C6AGU 599
QSO: 1833 CW 2021-12-04 0328 WQ5L 599 MS VA2WA 599 QC
QSO: 1834 CW 2021-12-04 0328 WQ5L 599 MS NA8V 599 MI
QSO: 1834 CW 2021-12-04 0329 WQ5L 599 MS WJ9B 599 ID
QSO: 1835 CW 2021-12-04 0329 WQ5L 599 MS K3ZM 599 VA
QSO: 1836 CW 2021-12-04 0330 WQ5L 599 MS K5CM 599 OK
QSO: 1837 CW 2021-12-04 0331 WQ5L 599 MS KR9U 599 IN
QSO: 1838 CW 2021-12-04 0332 WQ5L 599 MS K3RL 599 EPA
QSO: 1838 CW 2021-12-04 0333 WQ5L 599 MS KM6Z 599 OH
QSO: 1839 CW 2021-12-04 0334 WQ5L 599 MS W2MKM 599 NNJ
QSO: 1839 CW 2021-12-04 0335 WQ5L 599 MS CO2RQ 599
QSO: 1839 CW 2021-12-04 0335 WQ5L 599 MS VE3YT 599 ONS
QSO: 1840 CW 2021-12-04 0339 WQ5L 599 MS K8BL 599 OH
QSO: 1843 CW 2021-12-04 0339 WQ5L 599 MS WQ5R 599 OK
QSO: 1844 CW 2021-12-04 0340 WQ5L 599 MS NO9E 599 GA
QSO: 1844 CW 2021-12-04 0341 WQ5L 599 MS N5RZ 599 STX
QSO: 1844 CW 2021-12-04 0341 WQ5L 599 MS VE3VN 599 ONE
QSO: 1845 CW 2021-12-04 0342 WQ5L 599 MS N9JF 599 IL
QSO: 1846 CW 2021-12-04 0343 WQ5L 599 MS K3MM 599 MDC
QSO: 1846 CW 2021-12-04 0343 WQ5L 599 MS WW2R 599 NFL
QSO: 1848 CW 2021-12-04 0344 WQ5L 599 MS N0AT 599 MN
QSO: 1849 CW 2021-12-04 0345 WQ5L 599 MS K3CY 599 EPA
QSO: 1850 CW 2021-12-04 0346 WQ5L 599 MS AD4ES 599 SFL
QSO: 1850 CW 2021-12-04 0346 WQ5L 599 MS W2KV 599 NNJ
QSO: 1851 CW 2021-12-04 0347 WQ5L 599 MS NN3W 599 VA
QSO: 1853 CW 2021-12-04 0348 WQ5L 599 MS W9KM 599 IL
QSO: 1853 CW 2021-12-04 0349 WQ5L 599 MS KR2Q 599 NNJ
QSO: 1855 CW 2021-12-04 0350 WQ5L 599 MS NG7A 599 IA
QSO: 1856 CW 2021-12-04 0351 WQ5L 599 MS VE2OJ 599 QC
QSO: 1857 CW 2021-12-04 0351 WQ5L 599 MS K8RYU 599 OH
QSO: 1858 CW 2021-12-04 0352 WQ5L 599 MS K2KW 599 VA
QSO: 1859 CW 2021-12-04 0353 WQ5L 599 MS K8AJS 599 OH
QSO: 1860 CW 2021-12-04 0353 WQ5L 599 MS VA3AR 599 GTA
QSO: 1861 CW 2021-12-04 0354 WQ5L 599 MS W8LVN 599 IL
QSO: 1862 CW 2021-12-04 0355 WQ5L 599 MS W0PI 599 MN
QSO: 1862 CW 2021-12-04 0356 WQ5L 599 MS KR4F 599 AL
QSO: 1863 CW 2021-12-04 0357 WQ5L 599 MS KG7CW 599 ID
QSO: 1864 CW 2021-12-04 0357 WQ5L 599 MS N0HJZ 599 MN
QSO: 1865 CW 2021-12-04 0400 WQ5L 599 MS W9XT 599 WI
QSO: 1867 CW 2021-12-04 0401 WQ5L 599 MS K2WK 599 VA
QSO: 1867 CW 2021-12-04 0401 WQ5L 599 MS KE0L 599 TN
QSO: 1871 CW 2021-12-04 0402 WQ5L 599 MS ND9G 599 IL
QSO: 1872 CW 2021-12-04 0403 WQ5L 599 MS WA8ZBT 599 NTX
QSO: 1873 CW 2021-12-04 0404 WQ5L 599 MS N4HB 599 VA
QSO: 1873 CW 2021-12-04 0404 WQ5L 599 MS K8JQ 599 WV
QSO: 1874 CW 2021-12-04 0405 WQ5L 599 MS K2NV 599 WNY
QSO: 1875 CW 2021-12-04 0405 WQ5L 599 MS KU8E 599 GA
QSO: 1876 CW 2021-12-04 0406 WQ5L 599 MS NA0N 599 MN
QSO: 1853 CW 2021-12-04 0407 WQ5L 599 MS W0ZQ 599 MN
QSO: 1854 CW 2021-12-04 0408 WQ5L 599 MS K1EP 599 ME
QSO: 1855 CW 2021-12-04 0408 WQ5L 599 MS W8PR 599 OH
QSO: 1855 CW 2021-12-04 0408 WQ5L 599 MS K4WI 599 AL
QSO: 1856 CW 2021-12-04 0409 WQ5L 599 MS WD5COV 599 NM
QSO: 1858 CW 2021-12-04 0410 WQ5L 599 MS KE5C 599 NTX
QSO: 1859 CW 2021-12-04 0410 WQ5L 599 MS AA4V 599 SC
QSO: 1868 CW 2021-12-04 0412 WQ5L 599 MS N4DE 599 NC
QSO: 1868 CW 2021-12-04 0413 WQ5L 599 MS WB0TEV 599 NTX
QSO: 1868 CW 2021-12-04 0413 WQ5L 599 MS WW5M 599 TN
QSO: 1868 CW 2021-12-04 0413 WQ5L 599 MS K5XU 599 MS
QSO: 1868 CW 2021-12-04 0414 WQ5L 599 MS N4RV 599 VA
QSO: 1868 CW 2021-12-04 0414 WQ5L 599 MS K3SW 599 EPA
QSO: 1868 CW 2021-12-04 0414 WQ5L 599 MS N8TR 599 OH
QSO: 1868 CW 2021-12-04 0415 WQ5L 599 MS KD9PLD 599 IN
QSO: 1868 CW 2021-12-04 0415 WQ5L 599 MS NF3R 599 EPA
QSO: 1868 CW 2021-12-04 0416 WQ5L 599 MS N7RK 599 AZ
QSO: 1868 CW 2021-12-04 0417 WQ5L 599 MS W8WTS 599 OH
QSO: 1868 CW 2021-12-04 0417 WQ5L 599 MS K0SRL 599 IA
QSO: 1868 CW 2021-12-04 0418 WQ5L 599 MS K4XL 599 VA
QSO: 1868 CW 2021-12-04 0419 WQ5L 599 MS N3HEE 599 SC
QSO: 1868 CW 2021-12-04 0419 WQ5L 599 MS KF9D 599 IL
QSO: 1868 CW 2021-12-04 0420 WQ5L 599 MS KA2D 599 NLI
QSO: 1868 CW 2021-12-04 0421 WQ5L 599 MS K1BZ 599 MDC
QSO: 1868 CW 2021-12-04 0421 WQ5L 599 MS VA3CW 599 ONE
QSO: 1868 CW 2021-12-04 0422 WQ5L 599 MS WA1T 599 NH
QSO: 1868 CW 2021-12-04 0422 WQ5L 599 MS W1TC 599 WMA
QSO: 1868 CW 2021-12-04 0423 WQ5L 599 MS K5EJ 599 AR
QSO: 1868 CW 2021-12-04 0423 WQ5L 599 MS W3IP 599 VA
QSO: 1868 CW 2021-12-04 0423 WQ5L 599 MS W1IE 599 VA
QSO: 1868 CW 2021-12-04 0423 WQ5L 599 MS WA8KAN 599 WV
QSO: 1868 CW 2021-12-04 0424 WQ5L 599 MS WT9Q 599 WI
QSO: 1868 CW 2021-12-04 0424 WQ5L 599 MS N4II 599 NFL
QSO: 1868 CW 2021-12-04 0424 WQ5L 599 MS VA3DF 599 ONS
QSO: 1868 CW 2021-12-04 0425 WQ5L 599 MS AA4CF 599 GA
QSO: 1868 CW 2021-12-04 0425 WQ5L 599 MS N4RA 599 WV
QSO: 1868 CW 2021-12-04 0426 WQ5L 599 MS AC9S 599 IL
QSO: 1868 CW 2021-12-04 0426 WQ5L 599 MS K9GWH 599 NFL
QSO: 1868 CW 2021-12-04 0426 WQ5L 599 MS W2GD 599 SNJ
QSO: 1868 CW 2021-12-04 0426 WQ5L 599 MS N8AA 599 OH
QSO: 1868 CW 2021-12-04 0427 WQ5L 599 MS K9IMM 599 WI
