START-OF-LOG: 3.0
CONTEST: ARRL-DIGI
CALLSIGN: NZ1I
LOCATION: CT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: LOW
CATEGORY-BAND: ALL
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-TIME: 8-HOURS
OPERATORS: NZ1I
CLUB: CTRI Contest Group
CREATED-BY: N3FJP'S ARRL INTERNATIONAL DIGITAL CONTEST LOG 1.0.2
HQ-CATEGORY: Single Operator, One Radio (SO1R), Low Power, 8 Hours
HQ-GRID-LOCATOR: FN41AJ
QSO: 21081 DG 2023-06-03 1845 NZ1I FN41 RA1ALC KO59 0
QSO: 21081 DG 2023-06-03 1847 NZ1I FN41 CO8MCL FL20 0
QSO: 21081 DG 2023-06-03 1852 NZ1I FN41 G2M IO82 0
QSO: 21081 DG 2023-06-03 1900 NZ1I FN41 BG8GAM OL39 0
QSO: 21081 DG 2023-06-03 1901 NZ1I FN41 N6AR EL98 0
QSO: 21081 DG 2023-06-03 1902 NZ1I FN41 WV4P EM55 0
QSO: 21081 DG 2023-06-03 1904 NZ1I FN41 ZP5AA GG14 0
QSO: 21081 DG 2023-06-03 1906 NZ1I FN41 W4EE EL98 0
QSO: 21081 DG 2023-06-03 1906 NZ1I FN41 K9PW EN52 0
QSO: 21081 DG 2023-06-03 1908 NZ1I FN41 K6XX CM87 0
QSO: 21081 DG 2023-06-03 1910 NZ1I FN41 VA7ST DO00 0
QSO: 21081 DG 2023-06-03 1910 NZ1I FN41 N8OO EM31 0
QSO: 21081 DG 2023-06-03 1911 NZ1I FN41 N4FUR EL99 0
QSO: 21081 DG 2023-06-03 1911 NZ1I FN41 K9WX EN60 0
QSO: 21081 DG 2023-06-03 1912 NZ1I FN41 N5EKO EM20 0
QSO: 21081 DG 2023-06-03 1913 NZ1I FN41 W7CT DN41 0
QSO: 21081 DG 2023-06-03 1914 NZ1I FN41 KB9S EN44 0
QSO: 21081 DG 2023-06-03 1918 NZ1I FN41 EA3Y JN11 0
QSO: 21081 DG 2023-06-03 1921 NZ1I FN41 PA6AA JO32 0
QSO: 21081 DG 2023-06-03 1927 NZ1I FN41 KC7V DM33 0
QSO: 21081 DG 2023-06-03 1929 NZ1I FN41 K7BTW CN86 0
QSO: 21081 DG 2023-06-03 1931 NZ1I FN41 W0ZA EN00 0
QSO: 21081 DG 2023-06-03 1934 NZ1I FN41 K9OM EN65 0
QSO: 21081 DG 2023-06-03 1936 NZ1I FN41 KN4IWO EM70 0
QSO: 21081 DG 2023-06-03 1938 NZ1I FN41 K5DTC CN85 0
QSO: 21081 DG 2023-06-03 1942 NZ1I FN41 KG7CW DN14 0
QSO: 21081 DG 2023-06-03 1943 NZ1I FN41 AF6SA CM98 0
QSO: 21081 DG 2023-06-03 1948 NZ1I FN41 WA7PVE CN87 0
QSO: 21081 DG 2023-06-03 1950 NZ1I FN41 WK7S DM22 0
QSO: 21081 DG 2023-06-03 1952 NZ1I FN41 PY1ZV GG87 0
QSO: 21081 DG 2023-06-03 1953 NZ1I FN41 N0GTO DM59 0
QSO: 21081 DG 2023-06-03 1954 NZ1I FN41 PY2CX GG66 0
QSO: 21081 DG 2023-06-03 1954 NZ1I FN41 PY5AMF GG54 0
QSO: 21081 DG 2023-06-03 1956 NZ1I FN41 NN5O EM54 0
QSO: 21081 DG 2023-06-03 1958 NZ1I FN41 W7BOB DN14 0
QSO: 21081 DG 2023-06-03 1959 NZ1I FN41 KJ0I DM79 0
QSO: 21081 DG 2023-06-03 2000 NZ1I FN41 KE8M EN81 0
QSO: 21081 DG 2023-06-03 2004 NZ1I FN41 CT2FEY IN50 0
QSO: 21083 DG 2023-06-03 2010 NZ1I FN41 SA6FOL JO67 0
QSO: 21083 DG 2023-06-03 2127 NZ1I FN41 N9TF EM66 0
QSO: 21083 DG 2023-06-03 2128 NZ1I FN41 NA3M FM19 0
QSO: 21081 DG 2023-06-03 2134 NZ1I FN41 G4OED IO91 0
QSO: 21081 DG 2023-06-03 2134 NZ1I FN41 IV3SKB JN66 0
QSO: 21081 DG 2023-06-03 2135 NZ1I FN41 PA4O JO33 0
QSO: 21081 DG 2023-06-03 2137 NZ1I FN41 WE1DER EN10 0
QSO: 21081 DG 2023-06-03 2139 NZ1I FN41 KV4ZY FM08 0
QSO: 21081 DG 2023-06-03 2142 NZ1I FN41 KA5ETS FM05 0
QSO: 21091 DG 2023-06-03 2146 NZ1I FN41 NW5X EM13 0
QSO: 21091 DG 2023-06-03 2147 NZ1I FN41 KH6WI BL11 0
QSO: 21091 DG 2023-06-03 2148 NZ1I FN41 K4HXM FM07 0
QSO: 21091 DG 2023-06-03 2150 NZ1I FN41 K6LUM DM12 0
QSO: 21091 DG 2023-06-03 2151 NZ1I FN41 NA4DA EL89 0
QSO: 21091 DG 2023-06-03 2152 NZ1I FN41 K7STO DN07 0
QSO: 21091 DG 2023-06-03 2157 NZ1I FN41 W4GKM EM75 0
QSO: 21091 DG 2023-06-03 2200 NZ1I FN41 NN5T EM12 0
END-OF-LOG:
