START-OF-LOG: 3.0
CONTEST: ARRL-DIGI
CALLSIGN: JR1NKN
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: QRP
CATEGORY-BAND: ALL
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-TIME: 8-HOURS
OPERATORS: JR1NKN
CREATED-BY: N1MM LOGGER+ 1.0.10294.0
HQ-CATEGORY: Single Operator, One Radio (SO1R), QRP, 8 Hours
HQ-GRID-LOCATOR: PM95RP
QSO: 28075 DG 2024-06-01 2208 JR1NKN PM95 KH6WI BL01
QSO: 28075 DG 2024-06-01 2210 JR1NKN PM95 3D2USU RH82
QSO: 28075 DG 2024-06-01 2216 JR1NKN PM95 ZL3IO RF80
QSO: 28075 DG 2024-06-01 2224 JR1NKN PM95 JJ1CBY PM95
QSO: 28075 DG 2024-06-01 2225 JR1NKN PM95 JM1XCW PM95
QSO: 28075 DG 2024-06-01 2232 JR1NKN PM95 JD1BQW QL17
QSO: 21076 DG 2024-06-01 2303 JR1NKN PM95 JD1BQW QL17
QSO: 21076 DG 2024-06-01 2306 JR1NKN PM95 HS0ZOY OK14
QSO: 21076 DG 2024-06-01 2308 JR1NKN PM95 KT9L EM69
QSO: 21076 DG 2024-06-01 2311 JR1NKN PM95 K9YY EM59
QSO: 21076 DG 2024-06-01 2318 JR1NKN PM95 YD1FRU OI33
QSO: 21076 DG 2024-06-01 2326 JR1NKN PM95 WV4P EM55
QSO: 21076 DG 2024-06-01 2331 JR1NKN PM95 W1RM FN31
QSO: 21142 DG 2024-06-01 2359 JR1NKN PM95 K6SEA CN73
QSO: 21076 DG 2024-06-02 0011 JR1NKN PM95 YE9BJM OI71
QSO: 21076 DG 2024-06-02 0018 JR1NKN PM95 KH6WI BL01
QSO: 21076 DG 2024-06-02 0023 JR1NKN PM95 K7BTW CN86
QSO: 21076 DG 2024-06-02 0027 JR1NKN PM95 W7PP DM33
QSO: 21076 DG 2024-06-02 0314 JR1NKN PM95 VL2Y QF56
QSO: 21076 DG 2024-06-02 0323 JR1NKN PM95 BI9AME OM44
QSO: 21076 DG 2024-06-02 0325 JR1NKN PM95 YB1WBR OI33
QSO: 21076 DG 2024-06-02 0337 JR1NKN PM95 PY5ZHP GG54
QSO: 28076 DG 2024-06-02 0349 JR1NKN PM95 HS0ZOY OK14
QSO: 28076 DG 2024-06-02 0351 JR1NKN PM95 YE9BJM OI71
QSO: 28076 DG 2024-06-02 0352 JR1NKN PM95 JJ1SSY PM95
END-OF-LOG:
