START-OF-LOG: 3.0
CONTEST: ARRL-DX-CW
LOCATION: CT
CALLSIGN: K1LHO
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: LOW
CREATED-BY: N3FJP'S ARRL INTERNATIONAL DX CONTEST LOG 5.1.1
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-TIME: 12-HOURS
CLUB: Meriden ARC
OPERATORS: K1LHO
HQ-CATEGORY: Single Operator Unlimited, Low Power
HQ-GRID-LOCATOR: FN31om
QSO: 7000 CW 2022-02-19 0016 K1LHO 599 CT 9A1A 599 1000
QSO: 7000 CW 2022-02-19 0020 K1LHO 599 CT DZ9W 599 1000
QSO: 7000 CW 2022-02-19 0027 K1LHO 599 CT VE3JM 599 1000
QSO: 7000 CW 2022-02-19 0028 K1LHO 599 CT VE3EJ 599 1000
QSO: 7000 CW 2022-02-19 0031 K1LHO 599 CT CR3DX 599 1000
QSO: 7000 CW 2022-02-19 0038 K1LHO 599 CT II2S 599 1000
QSO: 7000 CW 2022-02-19 0040 K1LHO 599 CT IR2K 599 1000
QSO: 7000 CW 2022-02-19 0045 K1LHO 599 CT 9A7V 599 1000
QSO: 7000 CW 2022-02-19 0047 K1LHO 599 CT LZ9W 599 1000
QSO: 7000 CW 2022-02-19 0052 K1LHO 599 CT IO5O 599 1000
QSO: 7000 CW 2022-02-19 0058 K1LHO 599 CT S53K 599 1000
QSO: 7000 CW 2022-02-19 0101 K1LHO 599 CT CR3W 599 1000
QSO: 7000 CW 2022-02-19 0102 K1LHO 599 CT HD8R 599 1000
QSO: 7000 CW 2022-02-19 0104 K1LHO 599 CT E7CW 599 1000
QSO: 7000 CW 2022-02-19 0231 K1LHO 599 CT KP2M 599 1000
QSO: 7000 CW 2022-02-19 0240 K1LHO 599 CT HG8R 599 1000
QSO: 7000 CW 2022-02-19 0246 K1LHO 599 CT EF7NUC 599 1000
QSO: 21000 CW 2022-02-19 1556 K1LHO 599 CT OE2S 599 1000
QSO: 14029 CW 2022-02-19 1742 K1LHO 599 CT E7DX 599 1000 0
QSO: 21034 CW 2022-02-19 1746 K1LHO 599 CT CR3W 599 500 0
QSO: 21040 CW 2022-02-19 1749 K1LHO 599 CT V31DJ 599 400 0
QSO: 21042 CW 2022-02-19 1753 K1LHO 599 CT PX2A 599 1000 0
QSO: 21053 CW 2022-02-19 1755 K1LHO 599 CT CR3DX 599 500 0
QSO: 21054 CW 2022-02-19 1756 K1LHO 599 CT KH7Q 599 1000 0
QSO: 21054 CW 2022-02-19 1757 K1LHO 599 CT G6XX 599 400 0
QSO: 21055 CW 2022-02-19 1759 K1LHO 599 CT HB9FAP 599 1000 0
QSO: 21052 CW 2022-02-19 1801 K1LHO 599 CT ED7W 599 1000 0
QSO: 21038 CW 2022-02-19 1805 K1LHO 599 CT ZF1A 599 500 0
QSO: 21015 CW 2022-02-19 1901 K1LHO 599 CT PP5KR 599 1000 0
QSO: 21019 CW 2022-02-19 1902 K1LHO 599 CT LO5D 599 1000 0
QSO: 21031 CW 2022-02-19 1913 K1LHO 599 CT CR6K 599 1000 0
QSO: 28008 CW 2022-02-19 1930 K1LHO 599 CT KP2M 599 1000 0
QSO: 14025 CW 2022-02-19 1932 K1LHO 599 CT ED7W 599 1000 0
QSO: 14026 CW 2022-02-19 1933 K1LHO 599 CT S53F 599 1000 0
QSO: 14026 CW 2022-02-19 1934 K1LHO 599 CT EA4KD 599 1000 0
QSO: 14028 CW 2022-02-19 1936 K1LHO 599 CT OM4WW 599 1000 0
QSO: 14029 CW 2022-02-19 1937 K1LHO 599 CT OK5Z 599 1000 0
QSO: 14032 CW 2022-02-19 1938 K1LHO 599 CT DD2D 599 1000 0
QSO: 14038 CW 2022-02-19 1941 K1LHO 599 CT OH7R 599 1000 0
QSO: 14046 CW 2022-02-19 1944 K1LHO 599 CT OK1FMX 599 1000 0
QSO: 14052 CW 2022-02-19 1945 K1LHO 599 CT EA4FL 599 700 0
QSO: 14061 CW 2022-02-19 1948 K1LHO 599 CT DF5UL 599 1000 0
