START-OF-LOG: 3.0
CONTEST: ARRL-DX-CW
CALLSIGN: K4RDU
LOCATION: VA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: HIGH
CATEGORY-BAND: 20M
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
OPERATORS: SINGLE
CREATED-BY: EXPORTED BY LOGIC VERSION 9.0.50. LOGIC CABRILLO EXPORT VERSION 1.2.
HQ-CATEGORY: Single Operator, High Power, 20 Meters
HQ-GRID-LOCATOR: EM97XG
QSO: 14027 CW 2023-02-18 0000 K4RDU 599 VA TM6M 599 1000
QSO: 14028 CW 2023-02-18 0002 K4RDU 599 VA P40L 599 1000
QSO: 14030 CW 2023-02-18 0019 K4RDU 599 VA IR2Q 599 500
QSO: 14038 CW 2023-02-18 0025 K4RDU 599 VA SM2M 599 1000
QSO: 14038 CW 2023-02-18 0028 K4RDU 599 VA IQ8SN 599 500
QSO: 14039 CW 2023-02-18 0031 K4RDU 599 VA CR6K 599 1000
QSO: 14041 CW 2023-02-18 0033 K4RDU 599 VA CR3DX 599 1000
QSO: 14042 CW 2023-02-18 0037 K4RDU 599 VA HG0Y 599 1000
QSO: 14043 CW 2023-02-18 0039 K4RDU 599 VA EB7A 599 1000
QSO: 14046 CW 2023-02-18 0041 K4RDU 599 VA PJ2T 599 1000
QSO: 14039 CW 2023-02-18 0101 K4RDU 599 VA T48K 599 1000
QSO: 14037 CW 2023-02-18 0107 K4RDU 599 VA VP2V/AA7V 599 90
QSO: 14035 CW 2023-02-18 0110 K4RDU 599 VA CR3W 599 1000
QSO: 14034 CW 2023-02-18 0113 K4RDU 599 VA KP2M 599 1000
QSO: 14033 CW 2023-02-18 0140 K4RDU 599 VA KP4AA 599 1000
QSO: 14026 CW 2023-02-18 0144 K4RDU 599 VA HP1XT 599 1000
QSO: 14025 CW 2023-02-18 0337 K4RDU 599 VA KH7M 599 1000
QSO: 14026 CW 2023-02-18 0341 K4RDU 599 VA R0AA 599 1000
QSO: 14020 CW 2023-02-18 0347 K4RDU 599 VA EA7W 599 1000
QSO: 14020 CW 2023-02-18 0349 K4RDU 599 VA KL7RA 599 1000
QSO: 14019 CW 2023-02-18 0352 K4RDU 599 VA JT1CO 599 1000
QSO: 14015 CW 2023-02-18 0513 K4RDU 599 VA RA0AM 599 1000
QSO: 14013 CW 2023-02-18 0516 K4RDU 599 VA UA4M 599 1000
QSO: 14034 CW 2023-02-18 0521 K4RDU 599 VA ZM4T 599 1000
QSO: 14038 CW 2023-02-18 0523 K4RDU 599 VA 9Z4Y 599 100
QSO: 14041 CW 2023-02-18 0528 K4RDU 599 VA RD4F 599 1000
QSO: 14048 CW 2023-02-18 0533 K4RDU 599 VA RA9Y 599 1000
QSO: 14032 CW 2023-02-18 0541 K4RDU 599 VA R7NW 599 1000
QSO: 14032 CW 2023-02-18 0545 K4RDU 599 VA RD0A 599 1000
QSO: 14033 CW 2023-02-18 0549 K4RDU 599 VA ZL2AGY 599 400
QSO: 14029 CW 2023-02-18 0553 K4RDU 599 VA ZL3X 599 1000
QSO: 14027 CW 2023-02-18 0556 K4RDU 599 VA OA4SS 599 1000
QSO: 14015 CW 2023-02-18 0558 K4RDU 599 VA ZL1IF 599 1000
QSO: 14037 CW 2023-02-18 0604 K4RDU 599 VA RT4G 599 1000
QSO: 14024 CW 2023-02-18 0608 K4RDU 599 VA YT7B 599 1000
QSO: 14005 CW 2023-02-18 0612 K4RDU 599 VA PY3TD 599 100
QSO: 14031 CW 2023-02-18 0619 K4RDU 599 VA II8K 599 500
QSO: 14036 CW 2023-02-18 1357 K4RDU 599 VA E7DX 599 1000
QSO: 14035 CW 2023-02-18 1359 K4RDU 599 VA OK4YL 599 1000
QSO: 14035 CW 2023-02-18 1401 K4RDU 599 VA SO4M 599 1000
QSO: 14032 CW 2023-02-18 1403 K4RDU 599 VA OM7LW 599 100
QSO: 14033 CW 2023-02-18 1404 K4RDU 599 VA OL9Z 599 1000
QSO: 14031 CW 2023-02-18 1406 K4RDU 599 VA R5AJ 599 1000
QSO: 14029 CW 2023-02-18 2109 K4RDU 599 VA 9A1A 599 1000
QSO: 14026 CW 2023-02-18 2131 K4RDU 599 VA TM7A 599 1000
QSO: 14069 CW 2023-02-18 2135 K4RDU 599 VA CT3KN 599 1000
QSO: 14059 CW 2023-02-18 2140 K4RDU 599 VA MD2C 599 400
QSO: 14058 CW 2023-02-18 2141 K4RDU 599 VA DK8MM 599 700
QSO: 14056 CW 2023-02-18 2214 K4RDU 599 VA DK5DQ 599 100
QSO: 14055 CW 2023-02-18 2216 K4RDU 599 VA 8P5A 599 1000
QSO: 14043 CW 2023-02-18 2221 K4RDU 599 VA II2S 599 500
QSO: 14039 CW 2023-02-18 2223 K4RDU 599 VA M6T 599 400
QSO: 14033 CW 2023-02-18 2322 K4RDU 599 VA TO4A 599 1000
QSO: 14030 CW 2023-02-18 2327 K4RDU 599 VA TI7W 599 1000
QSO: 14027 CW 2023-02-19 0111 K4RDU 599 VA ZF1A 599 1000
QSO: 14025 CW 2023-02-19 0114 K4RDU 599 VA 4A7S 599 1000
QSO: 14008 CW 2023-02-19 0123 K4RDU 599 VA ED7A 599 500
QSO: 14031 CW 2023-02-19 0130 K4RDU 599 VA PY2NY 599 100
QSO: 14034 CW 2023-02-19 0131 K4RDU 599 VA NP4Z 599 1000
QSO: 14039 CW 2023-02-19 0133 K4RDU 599 VA OH5Z 599 1000
QSO: 14043 CW 2023-02-19 0148 K4RDU 599 VA NP4DX 599 100
END-OF-LOG:
