START-OF-LOG: 3.0
CONTEST: ARRL-DX-CW
CALLSIGN: PJ2T
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: HIGH
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-STATION: FIXED
OPERATORS: NF9V, KB7Q, N7IR, K7TQ, W9NJY, K8ND, N7NR, WI9WI, W8WTS, W0CG
CLUB: 10% of score to Arizona Outlaws Contest Club (N7IR)
CREATED-BY: N1MM LOGGER+ 1.0.9811.0
HQ-CATEGORY: Multioperator, Multitransmitter
HQ-GRID-LOCATOR: FK52KG
QSO: 14047 CW 2023-02-18 0000 PJ2T 599 K K2AX 599 NJ
QSO: 7045 CW 2023-02-18 0000 PJ2T 599 K KU8E 599 GA
QSO: 21032 CW 2023-02-18 0000 PJ2T 599 K AA6PW 599 CA
QSO: 21032 CW 2023-02-18 0000 PJ2T 599 K W1JQ 599 CT
QSO: 7045 CW 2023-02-18 0000 PJ2T 599 K W1QK 599 CT
QSO: 14047 CW 2023-02-18 0000 PJ2T 599 K N1QY 599 MA
QSO: 21032 CW 2023-02-18 0000 PJ2T 599 K K0AD 599 MN
QSO: 28066 CW 2023-02-18 0000 PJ2T 599 K W7ZR 599 NV
QSO: 7045 CW 2023-02-18 0000 PJ2T 599 K K4FJW 599 VA
QSO: 7045 CW 2023-02-18 0001 PJ2T 599 K K9OM 599 FL
QSO: 21032 CW 2023-02-18 0001 PJ2T 599 K AA7EE 599 CA
QSO: 14047 CW 2023-02-18 0001 PJ2T 599 K VE1RSM 599 NS
QSO: 28066 CW 2023-02-18 0001 PJ2T 599 K N3CW 599 VA
QSO: 7045 CW 2023-02-18 0001 PJ2T 599 K N1EN 599 CT
QSO: 14047 CW 2023-02-18 0001 PJ2T 599 K VE3AT 599 ON
QSO: 28066 CW 2023-02-18 0001 PJ2T 599 K NX3B 599 MD
QSO: 14047 CW 2023-02-18 0001 PJ2T 599 K N1EN 599 CT
QSO: 21032 CW 2023-02-18 0001 PJ2T 599 K KV8Q 599 OH
QSO: 28066 CW 2023-02-18 0001 PJ2T 599 K K7JQ 599 AZ
QSO: 14047 CW 2023-02-18 0002 PJ2T 599 K W9RNY 599 IL
QSO: 28066 CW 2023-02-18 0002 PJ2T 599 K K8MFO 599 OH
QSO: 21032 CW 2023-02-18 0002 PJ2T 599 K VE3TG 599 ON
QSO: 14047 CW 2023-02-18 0002 PJ2T 599 K W6UM 599 CA
QSO: 21032 CW 2023-02-18 0002 PJ2T 599 K KM5G 599 AR
QSO: 28066 CW 2023-02-18 0002 PJ2T 599 K K3SWZ 599 PA
