START-OF-LOG: 3.0
CONTEST: ARRL-VHF-JUN
LOCATION: SJV
CALLSIGN: K6YK
CATEGORY-MODE: MIXED
CATEGORY-BAND: ALL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CREATED-BY: VHFCONT 3.0B COPYRIGHT 6/14/2002 KEN R. MASON KC6TEU
CLUB: Mother Lode DX/Contest Club
OPERATORS: K6YK
HQ-CATEGORY: Single Operator, Low Power
HQ-GRID-LOCATOR: CM97IV
QSO: 144 PH 2020-06-13 1802 K6YK CM97 KE6QR/R CM97
QSO: 222 PH 2020-06-13 1803 K6YK CM97 KC6ZWT CM98
QSO: 144 PH 2020-06-13 1808 K6YK CM97 W6QFU CM97
QSO: 144 PH 2020-06-13 1809 K6YK CM97 KC6ZWT CM98
QSO: 144 PH 2020-06-13 1811 K6YK CM97 N6KZW CM98
QSO: 144 PH 2020-06-13 1816 K6YK CM97 KN6AHU CM88
QSO: 144 PH 2020-06-13 1817 K6YK CM97 KG6SVF CM97
QSO: 144 PH 2020-06-13 1819 K6YK CM97 K6MYC DM07
QSO: 144 PH 2020-06-13 1826 K6YK CM97 K6DJV CM97
QSO: 222 PH 2020-06-13 1829 K6YK CM97 KE6QR/R CM97
QSO: 144 PH 2020-06-13 1845 K6YK CM97 KI6UJH CM97
QSO: 144 PH 2020-06-13 1850 K6YK CM97 KO6KL CM97
QSO: 144 PH 2020-06-13 2032 K6YK CM97 K6TVT CM98
QSO: 144 PH 2020-06-13 2033 K6YK CM97 KM6HDY CM97
QSO: 222 PH 2020-06-13 2034 K6YK CM97 N6KZW CM98
QSO: 222 PH 2020-06-13 2035 K6YK CM97 KM6HDY CM97
QSO: 222 PH 2020-06-13 2120 K6YK CM97 WB6HUM/R CM98
QSO: 222 PH 2020-06-13 2127 K6YK CM97 WB6HUM/R CM97
QSO: 144 PH 2020-06-13 2130 K6YK CM97 K6KLY CM87
QSO: 144 PH 2020-06-13 2134 K6YK CM97 NR7Z CM97
QSO: 144 PH 2020-06-13 2136 K6YK CM97 KK6VIX CM98
QSO: 144 PH 2020-06-13 2137 K6YK CM97 WB6ETY CM97
QSO: 144 PH 2020-06-13 2139 K6YK CM97 KM6HYX DM07
QSO: 144 PH 2020-06-13 2145 K6YK CM97 WA6ZTY CM98
QSO: 432 PH 2020-06-13 2149 K6YK CM97 W6SSW CM97
QSO: 144 PH 2020-06-13 2152 K6YK CM97 K6LRG CM97
QSO: 432 PH 2020-06-13 2154 K6YK CM97 AK6OK CM98
QSO: 432 PH 2020-06-13 2202 K6YK CM97 KM6HDY CM97
QSO: 222 PH 2020-06-13 2214 K6YK CM97 WB6HUM/R CM97
QSO: 432 PH 2020-06-13 2217 K6YK CM97 K6LRG CM97
QSO: 222 PH 2020-06-13 2218 K6YK CM97 K6LRG CM97
QSO: 432 PH 2020-06-13 2219 K6YK CM97 WB6HUM/R CM97
QSO: 144 PH 2020-06-13 2226 K6YK CM97 WB6HUM/R CM97
QSO: 144 PH 2020-06-13 2253 K6YK CM97 WF6J CM98
QSO: 432 PH 2020-06-13 2306 K6YK CM97 N6KZW CM98
QSO: 144 PH 2020-06-13 2315 K6YK CM97 K2GMY CM88
QSO: 144 PH 2020-06-14 0115 K6YK CM97 K7EFX CM98
QSO: 144 PH 2020-06-14 0400 K6YK CM97 KE6GLA CM98
QSO: 222 PH 2020-06-14 0448 K6YK CM97 WA6KTK CM97
QSO: 144 PH 2020-06-14 1433 K6YK CM97 W6TCP CM97
QSO: 144 PH 2020-06-14 2318 K6YK CM97 N7BKV CM97
QSO: 432 PH 2020-06-14 2326 K6YK CM97 N7BKV CM97
QSO: 144 PH 2020-06-14 2329 K6YK CM97 W6SSW CM97
QSO: 432 PH 2020-06-14 2336 K6YK CM97 K2GMY CM88
QSO: 50 PH 2020-06-14 2339 K6YK CM97 N6KZW CM98
QSO: 50 PH 2020-06-14 2340 K6YK CM97 K6LRN CM98
QSO: 144 PH 2020-06-15 0009 K6YK CM97 N6KOG CM97
QSO: 144 PH 2020-06-15 0012 K6YK CM97 KI6KGN CM98
QSO: 432 PH 2020-06-15 0022 K6YK CM97 N4DLA CM87
QSO: 144 PH 2020-06-15 0025 K6YK CM97 K6FX CM87
QSO: 50 PH 2020-06-15 0034 K6YK CM97 WA6ZTY CM98
QSO: 144 PH 2020-06-15 0212 K6YK CM97 W6XU CM88
QSO: 432 PH 2020-06-15 0234 K6YK CM97 K6MYC DM07
QSO: 144 PH 2020-06-15 0237 K6YK CM97 KI6ARW CM88
QSO: 432 PH 2020-06-15 0251 K6YK CM97 KI6ARW CM88
END-OF-LOG:
