START-OF-LOG: 3.0
CONTEST: IARU-HF
LOCATION: DX
CALLSIGN: UP2L
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: HIGH
CREATED-BY: DXLOG.NET V2.4.4
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-STATION: FIXED
OPERATORS: UNOLM UN2G UN4L UN5GV UN6LN UN7GOD UN7LZ UN7ZAF UN9GD UN9L UN9LG
HQ-CATEGORY: Multioperator, Single Transmitter, High Power
HQ-GRID-LOCATOR: MO13sc
QSO: 14196 PH 2019-07-13 1200 UP2L 59 30 RT2C 59 29 1
QSO: 14178 PH 2019-07-13 1202 UP2L 59 30 RK7X 59 29 1
QSO: 14205 PH 2019-07-13 1202 UP2L 59 30 OL9HQ 59 CRC 1
QSO: 14208 PH 2019-07-13 1203 UP2L 59 30 9A5Y 59 28 1
QSO: 14212 PH 2019-07-13 1203 UP2L 59 30 OH0C 59 18 1
QSO: 14215 PH 2019-07-13 1204 UP2L 59 30 OP0HQ 59 UBA 1
QSO: 14290 PH 2019-07-13 1205 UP2L 59 30 9M4CMA 59 54 1
QSO: 14217 PH 2019-07-13 1205 UP2L 59 30 S50HQ 59 ZRS 1
QSO: 14290 PH 2019-07-13 1206 UP2L 59 30 R3LC 59 29 1
QSO: 14290 PH 2019-07-13 1206 UP2L 59 30 DG7NFX 59 28 1
QSO: 14290 PH 2019-07-13 1206 UP2L 59 30 RM0M 59 34 1
QSO: 14290 PH 2019-07-13 1206 UP2L 59 30 PA2TMS 59 27 1
QSO: 14290 PH 2019-07-13 1207 UP2L 59 30 RU1A 59 29 1
QSO: 14176 PH 2019-07-13 1207 UP2L 59 30 4U1A 59 28 1
QSO: 14290 PH 2019-07-13 1207 UP2L 59 30 UA0SRQ 59 32 1
QSO: 14222 PH 2019-07-13 1207 UP2L 59 30 YR0HQ 59 FRR 1
QSO: 14290 PH 2019-07-13 1208 UP2L 59 30 TM5T 59 27 1
QSO: 14173 PH 2019-07-13 1208 UP2L 59 30 RU9CC 59 30 1
QSO: 14290 PH 2019-07-13 1208 UP2L 59 30 JF1EHM 59 45 1
QSO: 14225 PH 2019-07-13 1208 UP2L 59 30 YT0HQ 59 SRS 1
QSO: 14290 PH 2019-07-13 1209 UP2L 59 30 JA8IJI 59 45 1
QSO: 14290 PH 2019-07-13 1210 UP2L 59 30 DX0HQ 59 PARA 1
QSO: 14156 PH 2019-07-13 1210 UP2L 59 30 HB9HQ 59 USKA 1
QSO: 14235 PH 2019-07-13 1211 UP2L 59 30 II3B 59 28 1
QSO: 14194 PH 2019-07-13 1211 UP2L 59 30 LY7Z 59 29 1
QSO: 14290 PH 2019-07-13 1211 UP2L 59 30 BD4NWZ 59 44 1
QSO: 14192 PH 2019-07-13 1211 UP2L 59 30 RM5A 59 29 1
QSO: 14189 PH 2019-07-13 1213 UP2L 59 30 US5D 59 29 1
QSO: 14240 PH 2019-07-13 1213 UP2L 59 30 E7DX 59 28 1
QSO: 14290 PH 2019-07-13 1213 UP2L 59 30 JM1FDC 59 45 1
QSO: 14290 PH 2019-07-13 1214 UP2L 59 30 JF5SIM 59 45 1
QSO: 14290 PH 2019-07-13 1215 UP2L 59 30 RA3FY 59 29 1
QSO: 14290 PH 2019-07-13 1216 UP2L 59 30 HB2C 59 28 1
QSO: 14250 PH 2019-07-13 1216 UP2L 59 30 IO6HQ 59 ARI 1
QSO: 14290 PH 2019-07-13 1217 UP2L 59 30 IK3ZBM 59 28 1
QSO: 14290 PH 2019-07-13 1217 UP2L 59 30 R3AAA 59 29 1
QSO: 14259 PH 2019-07-13 1217 UP2L 59 30 ED7R 59 37 1
QSO: 14290 PH 2019-07-13 1217 UP2L 59 30 RX9CCJ 59 20 1
QSO: 14290 PH 2019-07-13 1219 UP2L 59 30 LY5I 59 29 1
QSO: 14184 PH 2019-07-13 1219 UP2L 59 30 RY0A 59 32 1
QSO: 14290 PH 2019-07-13 1220 UP2L 59 30 BG0COH 59 42 1
QSO: 14290 PH 2019-07-13 1220 UP2L 59 30 VK3BDX 59 59 1
QSO: 14290 PH 2019-07-13 1220 UP2L 59 30 BG4KAJ 59 44 1
QSO: 14267 PH 2019-07-13 1220 UP2L 59 30 HG0Y 59 28 1
QSO: 14302 PH 2019-07-13 1221 UP2L 59 30 OE0HQ 59 OVSV 1
QSO: 14290 PH 2019-07-13 1221 UP2L 59 30 DP3E 59 28 1
QSO: 14290 PH 2019-07-13 1221 UP2L 59 30 ZW5B 59 15 1
QSO: 14262 PH 2019-07-13 1222 UP2L 59 30 IW1FRU 59 28 1
QSO: 14290 PH 2019-07-13 1222 UP2L 59 30 SN3R 59 28 1
QSO: 14290 PH 2019-07-13 1222 UP2L 59 30 SE4E 59 18 1
QSO: 14252 PH 2019-07-13 1223 UP2L 59 30 9A0HQ 59 HRS 1
QSO: 14290 PH 2019-07-13 1223 UP2L 59 30 R0QAF 59 23 1
QSO: 14290 PH 2019-07-13 1224 UP2L 59 30 JF9JTS 59 45 1
QSO: 14290 PH 2019-07-13 1224 UP2L 59 30 JP3MFV 59 45 1
QSO: 14290 PH 2019-07-13 1225 UP2L 59 30 RZ3Z 59 29 1
QSO: 14243 PH 2019-07-13 1225 UP2L 59 30 OT5A 59 27 1
QSO: 14290 PH 2019-07-13 1225 UP2L 59 30 LY5XX 59 29 1
QSO: 14290 PH 2019-07-13 1225 UP2L 59 30 UA4SJO 59 29 1
QSO: 14174 PH 2019-07-13 1225 UP2L 59 30 Z30HQ 59 RSM 1
QSO: 14164 PH 2019-07-13 1226 UP2L 59 30 ER7HQ 59 ARM 1
QSO: 14201 PH 2019-07-13 1226 UP2L 59 30 GR2HQ 59 RSGB 1
QSO: 14290 PH 2019-07-13 1226 UP2L 59 30 BI4NLB 59 44 1
QSO: 14290 PH 2019-07-13 1227 UP2L 59 30 UW7BA 59 29 1
QSO: 14150 PH 2019-07-13 1227 UP2L 59 30 RL4F 59 29 1
QSO: 14290 PH 2019-07-13 1227 UP2L 59 30 UA3YCZ 59 29 1
QSO: 14290 PH 2019-07-13 1227 UP2L 59 30 SP4CHD 59 28 1
QSO: 14210 PH 2019-07-13 1227 UP2L 59 30 RM2U 59 29 1
QSO: 14290 PH 2019-07-13 1227 UP2L 59 30 UT7EE 59 29 1
QSO: 14290 PH 2019-07-13 1228 UP2L 59 30 UX3RT 59 29 1
QSO: 14290 PH 2019-07-13 1229 UP2L 59 30 EM2Q 59 29 1
QSO: 14290 PH 2019-07-13 1229 UP2L 59 30 JI7UUO 59 45 1
QSO: 14290 PH 2019-07-13 1229 UP2L 59 30 JL2JHU 59 45 1
QSO: 14290 PH 2019-07-13 1230 UP2L 59 30 SQ2WHH 59 28 1
QSO: 14179 PH 2019-07-13 1230 UP2L 59 30 UN1HQ 59 KFRR 1
QSO: 14290 PH 2019-07-13 1231 UP2L 59 30 YB3IZK 59 54 1
QSO: 14290 PH 2019-07-13 1232 UP2L 59 30 BG4JO 59 44 1
QSO: 14290 PH 2019-07-13 1233 UP2L 59 30 OM6AT 59 28 1
QSO: 14290 PH 2019-07-13 1233 UP2L 59 30 SP9EWM 59 28 1
QSO: 14290 PH 2019-07-13 1233 UP2L 59 30 PY2MNL 59 15 1
QSO: 14290 PH 2019-07-13 1234 UP2L 59 30 OE1HHB 59 28 1
QSO: 14290 PH 2019-07-13 1235 UP2L 59 30 DL1JGO 59 28 1
QSO: 14290 PH 2019-07-13 1235 UP2L 59 30 RW4HFH 59 30 1
QSO: 14290 PH 2019-07-13 1235 UP2L 59 30 DK0AN 59 28 1
QSO: 14290 PH 2019-07-13 1235 UP2L 59 30 SP5GNI 59 28 1
QSO: 14290 PH 2019-07-13 1236 UP2L 59 30 R9IT 59 31 1
QSO: 14280 PH 2019-07-13 1236 UP2L 59 30 DA0HQ 59 DARC 1
QSO: 14290 PH 2019-07-13 1236 UP2L 59 30 OG6N 59 18 1
QSO: 14167 PH 2019-07-13 1236 UP2L 59 30 IZ1OSP 59 28 1
QSO: 14290 PH 2019-07-13 1236 UP2L 59 30 B4HQ 59 CRAC 1
QSO: 14292 PH 2019-07-13 1239 UP2L 59 30 SE9HQ 59 SSA 1
QSO: 14290 PH 2019-07-13 1239 UP2L 59 30 RA0LMO 59 34 1
QSO: 14290 PH 2019-07-13 1239 UP2L 59 30 UA4NC 59 29 1
QSO: 14290 PH 2019-07-13 1239 UP2L 59 30 BG9NJY 59 43 1
QSO: 14290 PH 2019-07-13 1240 UP2L 59 30 PY5EG 59 15 1
QSO: 14290 PH 2019-07-13 1240 UP2L 59 30 RN4ACZ 59 29 1
QSO: 14290 PH 2019-07-13 1240 UP2L 59 30 UA1BD 59 29 1
QSO: 14290 PH 2019-07-13 1241 UP2L 59 30 JH2BTM 59 45 1
QSO: 14190 PH 2019-07-13 1241 UP2L 59 30 D1HQ 59 SRDNR 1
QSO: 14290 PH 2019-07-13 1241 UP2L 59 30 DH5NT 59 28 1
QSO: 14290 PH 2019-07-13 1242 UP2L 59 30 UA3BL 59 29 1
QSO: 14290 PH 2019-07-13 1242 UP2L 59 30 UT5RB 59 29 1
QSO: 14285 PH 2019-07-13 1242 UP2L 59 30 LY0HQ 59 LRMD 1
QSO: 14290 PH 2019-07-13 1242 UP2L 59 30 JA8TGD 59 45 1
QSO: 14297 PH 2019-07-13 1243 UP2L 59 30 RL3A 59 29 1
QSO: 14290 PH 2019-07-13 1243 UP2L 59 30 BU2EQ 59 44 1
QSO: 14290 PH 2019-07-13 1244 UP2L 59 30 US7IY 59 29 1
QSO: 14290 PH 2019-07-13 1244 UP2L 59 30 R3GZ 59 29 1
QSO: 14290 PH 2019-07-13 1245 UP2L 59 30 PA6HQ 59 VERON 1
QSO: 14228 PH 2019-07-13 1245 UP2L 59 30 RK4FD 59 29 1
QSO: 14203 PH 2019-07-13 1245 UP2L 59 30 OR1X 59 27 1
QSO: 14290 PH 2019-07-13 1245 UP2L 59 30 EW8Z 59 29 1
QSO: 14290 PH 2019-07-13 1246 UP2L 59 30 JH0JDV 59 45 1
QSO: 14209 PH 2019-07-13 1247 UP2L 59 30 RA6CA 59 29 1
QSO: 14290 PH 2019-07-13 1247 UP2L 59 30 US0MS 59 29 1
QSO: 14187 PH 2019-07-13 1247 UP2L 59 30 LZ0HQ 59 BFRA 1
QSO: 14290 PH 2019-07-13 1248 UP2L 59 30 RO9O 59 31 1
QSO: 14290 PH 2019-07-13 1248 UP2L 59 30 DK2AT 59 28 1
QSO: 14234 PH 2019-07-13 1248 UP2L 59 30 RT4G 59 29 1
QSO: 14290 PH 2019-07-13 1248 UP2L 59 30 RM4K 59 29 1
QSO: 14290 PH 2019-07-13 1249 UP2L 59 30 PE5F 59 27 1
QSO: 14169 PH 2019-07-13 1249 UP2L 59 30 R9HQ 59 SRR 1
