START-OF-LOG: 3.0
CONTEST: IARU-HF
LOCATION: DX
CALLSIGN: R0HQ
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: HIGH
CREATED-BY: RLOG32W VER-0.1.4.132
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-STATION: HQ
CATEGORY-TRANSMITTER: UNLIMITED
OPERATORS: UA0DM, UA0CDX, R0CDA, R0IAA, R0CY, R0CT, R0CM, RU0LM, R0NN,
OPERATORS: RA0LQ, RW0LO, R0MZ, RW0M, RW0LZ, RU0LL, RW0LD, RU0LL, RA0FF, RM0F
HQ-CATEGORY: IARU Headquarters Stations
HQ-GRID-LOCATOR: PN63le
QSO: 7023 CW 2021-07-10 1200 R0HQ 599 SRR W7YAQ 599 6
QSO: 14225 PH 2021-07-10 1200 R0HQ 59 SRR UA3KW 59 29
QSO: 14060 CW 2021-07-10 1200 R0HQ 599 SRR JE1RZR 599 45
QSO: 14060 CW 2021-07-10 1200 R0HQ 599 SRR RZ1OA 599 19
QSO: 7023 CW 2021-07-10 1200 R0HQ 599 SRR K7TQ 599 6
QSO: 3527 CW 2021-07-10 1201 R0HQ 599 SRR JA7FFN 599 45
QSO: 3527 CW 2021-07-10 1201 R0HQ 599 SRR JA7GNX 599 45
QSO: 14225 PH 2021-07-10 1201 R0HQ 59 SRR RW4W 59 30
QSO: 14060 CW 2021-07-10 1201 R0HQ 599 SRR JG2RFJ 599 45
QSO: 14060 CW 2021-07-10 1201 R0HQ 599 SRR JF1TEU 599 45
QSO: 14060 CW 2021-07-10 1201 R0HQ 599 SRR JA1IAZ 599 45
QSO: 7100 PH 2021-07-10 1201 R0HQ 59 SRR JE3VRJ 59 45
QSO: 7023 CW 2021-07-10 1202 R0HQ 599 SRR BG2WSS 599 44
QSO: 14225 PH 2021-07-10 1202 R0HQ 59 SRR RW9TP 59 30
QSO: 14060 CW 2021-07-10 1202 R0HQ 599 SRR UA9CDC 599 30
QSO: 14035 CW 2021-07-10 1202 R0HQ 599 SRR RX9CM 599 30
QSO: 14060 CW 2021-07-10 1202 R0HQ 599 SRR JA1AKL 599 45
QSO: 14060 CW 2021-07-10 1202 R0HQ 599 SRR UR7MZ 599 29
QSO: 14060 CW 2021-07-10 1202 R0HQ 599 SRR JK1NSR 599 45
QSO: 7100 PH 2021-07-10 1202 R0HQ 59 SRR JA1WWH 59 45
QSO: 7100 PH 2021-07-10 1202 R0HQ 59 SRR JG2CNZ 59 45
QSO: 3523 CW 2021-07-10 1203 R0HQ 599 SRR NT6Q 599 06
QSO: 7023 CW 2021-07-10 1203 R0HQ 599 SRR JE1CTM 599 45
QSO: 14060 CW 2021-07-10 1203 R0HQ 599 SRR RT5P 599 29
QSO: 14060 CW 2021-07-10 1203 R0HQ 599 SRR YU5R 599 28
QSO: 14060 CW 2021-07-10 1203 R0HQ 599 SRR JR1NKN 599 45
QSO: 3715 PH 2021-07-10 1203 R0HQ 59 SRR JA3WPN 59 45
QSO: 3516 CW 2021-07-10 1204 R0HQ 599 SRR N2IC 599 07
QSO: 14225 PH 2021-07-10 1204 R0HQ 59 SRR UA4PAN 59 29
QSO: 7023 CW 2021-07-10 1204 R0HQ 599 SRR JH0OXS 599 45
QSO: 7023 CW 2021-07-10 1204 R0HQ 599 SRR BD3TE 599 44
QSO: 7023 CW 2021-07-10 1204 R0HQ 599 SRR JA5NSR 599 45
QSO: 14225 PH 2021-07-10 1204 R0HQ 59 SRR BI1JBV 59 44
QSO: 14021 CW 2021-07-10 1204 R0HQ 599 SRR RC9J 599 21
QSO: 14060 CW 2021-07-10 1204 R0HQ 599 SRR K1BW 599 08
QSO: 7100 PH 2021-07-10 1204 R0HQ 59 SRR BU2EP 59 44
QSO: 21050 CW 2021-07-10 1204 R0HQ 599 SRR JA6GCE 599 45
QSO: 7023 CW 2021-07-10 1205 R0HQ 599 SRR W6UM 599 6
QSO: 7023 CW 2021-07-10 1205 R0HQ 599 SRR JH4RUM 599 45
QSO: 14060 CW 2021-07-10 1205 R0HQ 599 SRR JA4TUJ 599 45
QSO: 14060 CW 2021-07-10 1205 R0HQ 599 SRR JA8BKI 599 45
QSO: 14060 CW 2021-07-10 1205 R0HQ 599 SRR UA6LCN 599 29
QSO: 7100 PH 2021-07-10 1205 R0HQ 59 SRR JA4GWS 59 45
QSO: 7100 PH 2021-07-10 1205 R0HQ 59 SRR JH6TZU 59 45
QSO: 3523 CW 2021-07-10 1206 R0HQ 599 SRR JH0IGG 599 45
QSO: 14225 PH 2021-07-10 1206 R0HQ 59 SRR UA9R 59 30
QSO: 7023 CW 2021-07-10 1206 R0HQ 599 SRR WR7T 599 6
QSO: 7023 CW 2021-07-10 1206 R0HQ 599 SRR W6IA 599 6
QSO: 14225 PH 2021-07-10 1206 R0HQ 59 SRR UN1HQ 59 KFRR
QSO: 7023 CW 2021-07-10 1206 R0HQ 599 SRR NE7D 599 6
QSO: 14060 CW 2021-07-10 1206 R0HQ 599 SRR UA4M 599 29
QSO: 7100 PH 2021-07-10 1206 R0HQ 59 SRR JG1LFR 59 45
QSO: 21050 CW 2021-07-10 1206 R0HQ 599 SRR JM3FUW 599 45
QSO: 3510 CW 2021-07-10 1207 R0HQ 599 SRR HL4CEL 599 44
QSO: 7023 CW 2021-07-10 1207 R0HQ 599 SRR JF2MBF 599 45
QSO: 7023 CW 2021-07-10 1207 R0HQ 599 SRR JA6GCE 599 45
QSO: 14060 CW 2021-07-10 1207 R0HQ 599 SRR RT0O 599 32
QSO: 7100 PH 2021-07-10 1207 R0HQ 59 SRR JQ3BVB 59 45
QSO: 3506 CW 2021-07-10 1208 R0HQ 599 SRR 8N9HQ 599 JARL
QSO: 7023 CW 2021-07-10 1208 R0HQ 599 SRR WA7CPA 599 6
QSO: 7023 CW 2021-07-10 1208 R0HQ 599 SRR K6YR 599 6
QSO: 7023 CW 2021-07-10 1208 R0HQ 599 SRR W6OAT 599 6
QSO: 14060 CW 2021-07-10 1208 R0HQ 599 SRR RN6LFO 599 29
QSO: 14024 CW 2021-07-10 1208 R0HQ 599 SRR 8N1OLP 599 45
QSO: 7100 PH 2021-07-10 1208 R0HQ 59 SRR JG3VWI 59 45
QSO: 7100 PH 2021-07-10 1208 R0HQ 59 SRR JG6TXW 59 45
QSO: 21050 CW 2021-07-10 1208 R0HQ 599 SRR UB0AZR 599 32
QSO: 7023 CW 2021-07-10 1209 R0HQ 599 SRR K7QA 599 6
QSO: 7023 CW 2021-07-10 1209 R0HQ 599 SRR N6MA 599 6
QSO: 7023 CW 2021-07-10 1209 R0HQ 599 SRR JF7XKY 599 45
QSO: 14225 PH 2021-07-10 1209 R0HQ 59 SRR E2HQ 59 RAST
QSO: 14060 CW 2021-07-10 1209 R0HQ 599 SRR RK9DO 599 30
QSO: 7100 PH 2021-07-10 1209 R0HQ 59 SRR JL3GMP 59 45
QSO: 7100 PH 2021-07-10 1209 R0HQ 59 SRR JE3XNX 59 45
QSO: 3523 CW 2021-07-10 1210 R0HQ 599 SRR VK8IK 599 56
QSO: 3523 CW 2021-07-10 1210 R0HQ 599 SRR VK4DX 599 55
QSO: 14225 PH 2021-07-10 1210 R0HQ 59 SRR UT5LO 59 29
QSO: 14225 PH 2021-07-10 1210 R0HQ 59 SRR JA0CLB 59 45
QSO: 7023 CW 2021-07-10 1210 R0HQ 599 SRR AH6KO 599 61
QSO: 14060 CW 2021-07-10 1210 R0HQ 599 SRR RX9WN 599 30
QSO: 14016 CW 2021-07-10 1210 R0HQ 599 SRR B4HQ 599 CRAC
QSO: 14060 CW 2021-07-10 1210 R0HQ 599 SRR UA3UAD 599 29
QSO: 14060 CW 2021-07-10 1210 R0HQ 599 SRR JA8RWU 599 45
QSO: 7100 PH 2021-07-10 1210 R0HQ 59 SRR JN2UQC 59 45
QSO: 7100 PH 2021-07-10 1210 R0HQ 59 SRR JR2PMT 59 45
QSO: 7023 CW 2021-07-10 1211 R0HQ 599 SRR W7QDM 599 6
QSO: 7023 CW 2021-07-10 1211 R0HQ 599 SRR VA7VK 599 2
QSO: 7023 CW 2021-07-10 1211 R0HQ 599 SRR JG6PAV 599 45
QSO: 14060 CW 2021-07-10 1211 R0HQ 599 SRR JA1XHC 599 45
