START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.136 [RUS]
CALLSIGN: UA9XS
CONTEST: CQ-WPX-CW
CLAIMED-SCORE: 603244
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLUB: arktika
LOCATION: DX
NAME: Vasily Dolgodvorov
SOAPBOX: RIG(s): ICOM-718; ANTENNA(s): 2...3 EL. delta 10,15,20 m. Dipole 40,80
CATEGORY-ASSISTED: ASSISTED
QSO:  7000 CW 2010-05-29 0032 UA9XS         599 1      OM7CW         599 78
QSO:  7000 CW 2010-05-29 0032 UA9XS         599 2      OG6R          599 22
QSO:  7000 CW 2010-05-29 0034 UA9XS         599 3      OH6M          599 39
QSO:  7000 CW 2010-05-29 0035 UA9XS         599 4      SN3X          599 33
QSO:  7000 CW 2010-05-29 0038 UA9XS         599 5      YO9HP         599 41
QSO:  7000 CW 2010-05-29 0039 UA9XS         599 6      RU1A          599 107
QSO:  7000 CW 2010-05-29 0041 UA9XS         599 7      SJ0X          599 45
QSO:  7000 CW 2010-05-29 0042 UA9XS         599 8      YQ9W          599 75
QSO:  7000 CW 2010-05-29 0043 UA9XS         599 9      HA3NU         599 61
QSO:  7000 CW 2010-05-29 0044 UA9XS         599 10     YT9X          599 67
QSO:  7000 CW 2010-05-29 0045 UA9XS         599 11     LA8OM         599 34
QSO:  7000 CW 2010-05-29 0046 UA9XS         599 12     LZ44WFF       599 50
QSO:  7000 CW 2010-05-29 0048 UA9XS         599 13     P33W          599 113
QSO:  7000 CW 2010-05-29 0051 UA9XS         599 14     TC7M          599 82
QSO:  7000 CW 2010-05-29 0056 UA9XS         599 15     4O3A          599 80
QSO:  7000 CW 2010-05-29 0058 UA9XS         599 16     S50A          599 110
QSO:  7000 CW 2010-05-29 0100 UA9XS         599 17     LZ4RR         599 123
QSO:  7000 CW 2010-05-29 0102 UA9XS         599 18     TC4X          599 134
QSO:  7000 CW 2010-05-29 0106 UA9XS         599 19     RK3DXZ        599 74
QSO:  7000 CW 2010-05-29 0107 UA9XS         599 20     S53M          599 101
QSO:  7000 CW 2010-05-29 0110 UA9XS         599 21     YL0Y          599 93
QSO:  7000 CW 2010-05-29 0112 UA9XS         599 22     RN3QP         599 72
QSO:  7000 CW 2010-05-29 0112 UA9XS         599 23     LA9Z          599 81
QSO:  7000 CW 2010-05-29 0113 UA9XS         599 24     4L0A          599 173
QSO:  7000 CW 2010-05-29 0114 UA9XS         599 25     S58Q          599 109
QSO:  7000 CW 2010-05-29 0115 UA9XS         599 26     SE5E          599 91
QSO:  7000 CW 2010-05-29 0116 UA9XS         599 27     OQ3R          599 95
QSO:  7000 CW 2010-05-29 0119 UA9XS         599 28     SO9Q          599 138
QSO:  7000 CW 2010-05-29 0120 UA9XS         599 29     OM6A          599 112
QSO:  7000 CW 2010-05-29 0123 UA9XS         599 30     RS3A          599 151
QSO:  7000 CW 2010-05-29 0124 UA9XS         599 31     OM7M          599 167
QSO:  7000 CW 2010-05-29 0126 UA9XS         599 32     YT1R          599 126
QSO:  7000 CW 2010-05-29 0129 UA9XS         599 33     ER5AA         599 126
QSO:  7000 CW 2010-05-29 0130 UA9XS         599 34     UP0L          599 157
QSO:  7000 CW 2010-05-29 0133 UA9XS         599 35     RT4F          599 207
QSO: 14000 CW 2010-05-29 0142 UA9XS         599 36     HS0AC         599 26
QSO: 14000 CW 2010-05-29 0144 UA9XS         599 37     UA9PC         599 154
QSO:  7000 CW 2010-05-29 0154 UA9XS         599 38     OH8L          599 141
QSO:  7000 CW 2010-05-29 0155 UA9XS         599 39     OG0I          599 149
QSO:  7000 CW 2010-05-29 0156 UA9XS         599 40     C4N           599 163
QSO:  7000 CW 2010-05-29 0200 UA9XS         599 41     ES9C          599 270
QSO:  7000 CW 2010-05-29 0201 UA9XS         599 42     YT0A          599 217
QSO:  7000 CW 2010-05-29 0203 UA9XS         599 43     UW2M          599 236
QSO:  7000 CW 2010-05-29 0204 UA9XS         599 44     HG1S          599 141
QSO:  7000 CW 2010-05-29 0206 UA9XS         599 45     LZ9W          599 200
QSO:  7000 CW 2010-05-29 0208 UA9XS         599 46     RW1AU         599 12
QSO:  7000 CW 2010-05-29 0209 UA9XS         599 47     HA1AG         599 263
QSO:  7000 CW 2010-05-29 0214 UA9XS         599 48     3V8CB         599 299
QSO:  7000 CW 2010-05-29 0216 UA9XS         599 49     S53MM         599 271
QSO:  7000 CW 2010-05-29 0219 UA9XS         599 50     SN8R          599 222
QSO:  7000 CW 2010-05-29 0221 UA9XS         599 51     UT5UGR        599 192
QSO:  7000 CW 2010-05-29 0224 UA9XS         599 52     EI2JD         599 53
