START-OF-LOG: 3.0
CALLSIGN: K3WWP
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 18232
CLUB:
LOCATION: WPA
CREATED-BY: GenLog v6.57
NAME: John H. Shannon, K3WWP
OPERATORS: K3WWP
SOAPBOX: A lot of fun as usual. However it seems every year this contest
SOAPBOX: is plaqued by some sort of geomagnetic storminess. Most QSO's
SOAPBOX: were made with 5 watts, but some with just 930 mW. Member of
SOAPBOX: FISTS (#2002) and NAQCC (http://naqcc.info/ #0002). CW FOREVER!
QSO: 14000 CW 2011-05-28 0014 K3WWP         599 0001   E73W          599 0013
QSO: 14000 CW 2011-05-28 0018 K3WWP         599 0002   VE9DX         599 0037
QSO: 14000 CW 2011-05-28 0020 K3WWP         599 0003   E73M          599 0045
QSO: 14000 CW 2011-05-28 0022 K3WWP         599 0004   CR6K          599 0045
QSO: 14000 CW 2011-05-28 0048 K3WWP         599 0005   SX1L          599 0070
QSO: 14000 CW 2011-05-28 0344 K3WWP         599 0006   WH7M          599 0432
QSO:  7000 CW 2011-05-28 0354 K3WWP         599 0007   CQ3A          599 0571
QSO:  7000 CW 2011-05-28 0355 K3WWP         599 0008   EF8M          599 0541
QSO: 14000 CW 2011-05-28 0411 K3WWP         599 0009   KH6MB         599 0310
QSO: 21000 CW 2011-05-28 0414 K3WWP         599 0010   HK1R          599 0471
QSO: 21000 CW 2011-05-28 2011 K3WWP         599 0011   P49Y          599 1698
QSO: 14000 CW 2011-05-28 2022 K3WWP         599 0012   WS2T          599 0969
QSO: 14000 CW 2011-05-28 2023 K3WWP         599 0013   WK2G          599 0814
QSO: 14000 CW 2011-05-28 2026 K3WWP         599 0014   N4WW          599 0992
QSO: 14000 CW 2011-05-28 2029 K3WWP         599 0015   WU3A          599 1040
QSO: 14000 CW 2011-05-28 2210 K3WWP         599 0016   CR2X          599 1825
QSO: 14000 CW 2011-05-28 2211 K3WWP         599 0017   NN4US         599 1157
QSO: 14000 CW 2011-05-28 2216 K3WWP         599 0018   K4RO          599 1130
QSO: 14000 CW 2011-05-28 2218 K3WWP         599 0019   NQ4I          599 1170
QSO: 14000 CW 2011-05-28 2220 K3WWP         599 0020   KZ5D          599 0974
QSO: 14000 CW 2011-05-28 2225 K3WWP         599 0021   OG73X         599 1404
QSO: 14000 CW 2011-05-28 2227 K3WWP         599 0022   KM9P          599 0999
QSO: 14000 CW 2011-05-28 2228 K3WWP         599 0023   SJ2W          599 2153
QSO: 14000 CW 2011-05-28 2229 K3WWP         599 0024   J39BS         599 0708
QSO: 14000 CW 2011-05-28 2230 K3WWP         599 0025   YW4D          599 1067
QSO: 14000 CW 2011-05-28 2231 K3WWP         599 0026   VY2ZM         599 1612
QSO: 14000 CW 2011-05-28 2232 K3WWP         599 0027   TM6X          599 1379
QSO: 14000 CW 2011-05-28 2242 K3WWP         599 0028   9A6XX         599 1549
QSO: 14000 CW 2011-05-28 2245 K3WWP         599 0029   DL3YM         599 1356
QSO: 14000 CW 2011-05-28 2248 K3WWP         599 0030   KC0MO         599 0851
QSO: 14000 CW 2011-05-28 2256 K3WWP         599 0031   KP2M          599 2253
QSO: 14000 CW 2011-05-28 2309 K3WWP         599 0032   NA4K          599 0902
QSO: 21000 CW 2011-05-29 0001 K3WWP         599 0033   NP2/OL5Y      599 0861
QSO: 14000 CW 2011-05-29 0004 K3WWP         599 0034   HK1X          599 1527
QSO: 14000 CW 2011-05-29 0007 K3WWP         599 0035   XE1MM         599 0413
QSO: 14000 CW 2011-05-29 0008 K3WWP         599 0036   VP5CW         599 1799
QSO:  7000 CW 2011-05-29 0016 K3WWP         599 0037   TO8A          599 2033
QSO:  7000 CW 2011-05-29 0018 K3WWP         599 0038   WW1WW         599 1436
QSO:  7000 CW 2011-05-29 0019 K3WWP         599 0039   KX0A          599 0513
QSO:  7000 CW 2011-05-29 0028 K3WWP         599 0040   N1SNB         599 0221
QSO:  7000 CW 2011-05-29 0033 K3WWP         599 0041   CR3L          599 0618
QSO:  7000 CW 2011-05-29 0034 K3WWP         599 0042   NP4Z          599 1524
QSO:  7000 CW 2011-05-29 0038 K3WWP         599 0043   WX9U          599 0394
QSO:  7000 CW 2011-05-29 0039 K3WWP         599 0044   AJ1I          599 1521
QSO:  7000 CW 2011-05-29 0041 K3WWP         599 0045   6W/RK4FF      599 1806
QSO:  7000 CW 2011-05-29 0042 K3WWP         599 0046   AK1W          599 1355
QSO:  7000 CW 2011-05-29 0044 K3WWP         599 0047   J7A           599 0956
QSO:  7000 CW 2011-05-29 0051 K3WWP         599 0048   P40W          599 2347
QSO:  7000 CW 2011-05-29 0055 K3WWP         599 0049   NN4MM         599 0662
QSO:  7000 CW 2011-05-29 0108 K3WWP         599 0050   V26E          599 0999
QSO: 21000 CW 2011-05-29 1439 K3WWP         599 0051   TO8A          599 2788
QSO: 21000 CW 2011-05-29 1755 K3WWP         599 0052   HQ9R          599 0826
QSO: 28000 CW 2011-05-29 1939 K3WWP         599 0053   P49Y          599 2814
QSO: 14000 CW 2011-05-29 2013 K3WWP         599 0054   G6PZ          599 2437
QSO: 21000 CW 2011-05-29 2016 K3WWP         599 0055   CQ3A          599 5049
QSO: 21000 CW 2011-05-29 2026 K3WWP         599 0056   NP4Z          599 2746
QSO: 21000 CW 2011-05-29 2028 K3WWP         599 0057   WQ6X          599 1866
QSO: 14000 CW 2011-05-29 2039 K3WWP         599 0058   ED8A          599 2243
QSO: 21000 CW 2011-05-29 2218 K3WWP         599 0059   KP2M          599 3648
QSO: 21000 CW 2011-05-29 2219 K3WWP         599 0060   ND2T          599 0451
QSO: 21000 CW 2011-05-29 2220 K3WWP         599 0061   NM5M          599 1155
QSO: 21000 CW 2011-05-29 2222 K3WWP         599 0062   ZX5J          599 1881
QSO: 21000 CW 2011-05-29 2223 K3WWP         599 0063   KC7V          599 0581
QSO: 21000 CW 2011-05-29 2224 K3WWP         599 0064   NR6O          599 0623
QSO: 21000 CW 2011-05-29 2226 K3WWP         599 0065   WW1WW         599 2606
QSO: 21000 CW 2011-05-29 2227 K3WWP         599 0066   N1WR          599 1344
