START-OF-LOG: 3.0
CALLSIGN: NC0O
CLUB: Eastern Iowa DX Association
CONTEST: CQ-WPX-CW
CLAIMED-SCORE: 563573
OPERATORS: NC0O
SOAPBOX: Had trouble with QRN the first hour, then had to shut down til
SOAPBOX: 1000 GMT because of  thunderstorms.  Still, I'm happy with my
SOAPBOX: score since I have been getting weekly chemotherapy for the
SOAPBOX: last few months.
NAME: Tom Hise
CREATED-BY: N1MM Logger V12.2.3
LOCATION: IA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
QSO: 21011 CW 2012-05-26 0003 NC0O          599 0001   YL2KO         599 0004
QSO: 21015 CW 2012-05-26 0004 NC0O          599 0002   VE1OP         599 0009
QSO: 21005 CW 2012-05-26 0012 NC0O          599 0003   LO2F          599 0033
QSO: 21014 CW 2012-05-26 0015 NC0O          599 0004   WA7LNW        599 0019
QSO: 21006 CW 2012-05-26 0016 NC0O          599 0005   NI6W          599 0034
QSO: 21057 CW 2012-05-26 0018 NC0O          599 0006   JA7BME        599 0013
QSO: 21013 CW 2012-05-26 0020 NC0O          599 0007   JN1ILK        599 0020
QSO: 21017 CW 2012-05-26 0021 NC0O          599 0008   LS1D          599 0046
QSO: 21026 CW 2012-05-26 0025 NC0O          599 0009   CR3A          599 0066
QSO: 21021 CW 2012-05-26 0027 NC0O          599 0010   NH2T          599 0044
QSO: 21027 CW 2012-05-26 0029 NC0O          599 0011   BA7IO         599 0014
QSO: 21029 CW 2012-05-26 0030 NC0O          599 0012   7J1YAJ        599 0055
QSO: 21053 CW 2012-05-26 0031 NC0O          599 0013   K0LIR         599 0040
QSO: 21028 CW 2012-05-26 0033 NC0O          599 0014   CR6K          599 0077
QSO: 21036 CW 2012-05-26 0035 NC0O          599 0015   EE8X          599 0074
QSO: 21054 CW 2012-05-26 0037 NC0O          599 0016   L53GO         599 0067
QSO: 21048 CW 2012-05-26 0039 NC0O          599 0017   PX2C          599 0014
QSO: 21050 CW 2012-05-26 0040 NC0O          599 0018   AH2Y          599 0080
QSO: 21011 CW 2012-05-26 0045 NC0O          599 0019   XU7ACY        599 0063
QSO: 21054 CW 2012-05-26 0049 NC0O          599 0020   JA6LCJ        599 0046
QSO: 21030 CW 2012-05-26 0050 NC0O          599 0021   JS3CTQ        599 0051
QSO: 21020 CW 2012-05-26 0052 NC0O          599 0022   HK1NA         599 0034
QSO: 21039 CW 2012-05-26 0053 NC0O          599 0023   CE3CT         599 0083
QSO:  7002 CW 2012-05-26 0922 NC0O          599 0024   JE1GWT        599 0028
QSO:  7005 CW 2012-05-26 0923 NC0O          599 0025   ZW5B          599 0756
QSO:  7014 CW 2012-05-26 0926 NC0O          599 0026   VK4CT         599 0701
QSO:  7012 CW 2012-05-26 0928 NC0O          599 0027   V26E          599 0522
QSO:  7018 CW 2012-05-26 0931 NC0O          599 0028   JS1NDM        599 0062
QSO:  7019 CW 2012-05-26 0933 NC0O          599 0029   VK2IM         599 0643
QSO:  7026 CW 2012-05-26 0934 NC0O          599 0030   ZL2J          599 0244
QSO:  7010 CW 2012-05-26 0938 NC0O          599 0031   HK1NA         599 0785
QSO:  7001 CW 2012-05-26 0939 NC0O          599 0032   KG0F          599 0933
