START-OF-LOG: 3.0
CALLSIGN: ZS6DX
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 15M
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE:
CLUB:
LOCATION: DX
CREATED-BY: CQWPX Adif2Cabrillo Converter (LZ2FQ)
NAME: Rudi Venter
OPERATORS: ZS6DX
SOAPBOX: Always great to meet all the great contesters on the air.
QSO:  7017 CW 2015-05-30 0201  ZS6DX         599 001    W9RE          599 237    0
QSO:  7039 CW 2015-05-30 0205  ZS6DX         599 002    KS7AA         599 035    0
QSO:  7001 CW 2015-05-30 0207  ZS6DX         599 003    K1LZ          599 308    0
QSO:  7060 CW 2015-05-30 0210  ZS6DX         599 004    K7CA          599 032    0
QSO:  7028 CW 2015-05-30 0510  ZS6DX         599 005    KS7AA         599 192    0
QSO:  7010 CW 2015-05-30 0514  ZS6DX         599 006    D44AC         599 629    0
QSO:  7013 CW 2015-05-30 0517  ZS6DX         599 007    WQ6X          599 041    0
QSO:  7015 CW 2015-05-30 0519  ZS6DX         599 008    K6NR          599 594    0
QSO:  7056 CW 2015-05-30 0521  ZS6DX         599 009    K9CT          599 497    0
QSO:  7031 CW 2015-05-30 0542  ZS6DX         599 010    PW2D          599 486    0
QSO: 14008 CW 2015-05-30 0547  ZS6DX         599 011    W6YX          599 460    0
QSO: 14008 CW 2015-05-30 0548  ZS6DX         599 012    KR7O          599 675    0
QSO: 14043 CW 2015-05-30 0549  ZS6DX         599 013    NR7DX         599 652    0
QSO: 14069 CW 2015-05-30 0551  ZS6DX         599 014    OM7RU         599 471    0
QSO: 14007 CW 2015-05-30 0557  ZS6DX         599 015    K6RD          599 197    0
QSO: 14012 CW 2015-05-30 0558  ZS6DX         599 016    KU7T          599 480    0
QSO: 14019 CW 2015-05-30 0600  ZS6DX         599 017    KM9R          599 577    0
QSO: 14024 CW 2015-05-30 0600  ZS6DX         599 018    WF6C          599 505    0
QSO: 14038 CW 2015-05-30 0603  ZS6DX         599 019    WR5J          599 348    0
QSO: 21007 CW 2015-05-30 0605  ZS6DX         599 020    DM9K          599 117    0
QSO: 21010 CW 2015-05-30 0606  ZS6DX         599 021    HG7T          599 189    0
QSO: 21021 CW 2015-05-30 0607  ZS6DX         599 022    S50R          599 522    0
QSO: 21041 CW 2015-05-30 0609  ZS6DX         599 023    ES9C          599 856    0
QSO: 21050 CW 2015-05-30 0609  ZS6DX         599 024    YU5R          599 103    0
QSO: 21065 CW 2015-05-30 0610  ZS6DX         599 025    SP2LNW        599 481    0
QSO: 21011 CW 2015-05-30 0612  ZS6DX         599 026    OL3Z          599 587    0
QSO: 21020 CW 2015-05-30 0614  ZS6DX         599 027    OH9W          599 132    0
QSO: 21031 CW 2015-05-30 0615  ZS6DX         599 028    RW1A          599 812    0
QSO: 21036 CW 2015-05-30 0616  ZS6DX         599 029    IO1T          599 659    0
QSO: 21042 CW 2015-05-30 0616  ZS6DX         599 030    S53A          599 541    0
QSO: 21049 CW 2015-05-30 0617  ZS6DX         599 031    S53E          599 557    0
QSO: 21061 CW 2015-05-30 0618  ZS6DX         599 032    RA5D          599 179    0
QSO: 21002 CW 2015-05-30 0621  ZS6DX         599 033    4X7R          599 255    0
QSO: 21019 CW 2015-05-30 0624  ZS6DX         599 034    YU1EW         599 251    0
QSO: 21027 CW 2015-05-30 0624  ZS6DX         599 035    SN8B          599 276    0
QSO: 21033 CW 2015-05-30 0626  ZS6DX         599 036    SP9LJD        599 536    0
QSO: 21055 CW 2015-05-30 0636  ZS6DX         599 037    5H3EE         599 210    0
QSO: 21062 CW 2015-05-30 0638  ZS6DX         599 038    JY9FC         599 348    0
QSO: 21029 CW 2015-05-30 0648  ZS6DX         599 039    RG6G          599 736    0
QSO: 21033 CW 2015-05-30 0649  ZS6DX         599 040    OL4A          599 165    0
QSO: 21049 CW 2015-05-30 0651  ZS6DX         599 041    YT9X          599 780    0
QSO: 21051 CW 2015-05-30 0651  ZS6DX         599 042    I1NVU         599 089    0
QSO: 21058 CW 2015-05-30 0652  ZS6DX         599 043    S57Q          599 528    0
