START-OF-LOG: 3.0
CALLSIGN: SP6DHH
CLAIMED-SCORE: 0
NAME: Ryszard Moüdzioch
OPERATORS: SP6DHH
SOAPBOX: Generated for IARU HF Contest by IARU-GEN software (c) SP7DQR
LOCATION: DX
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-ASSISTED: ASSISTED
QSO:  7000 PH 2014-03-29 0944 SP6DHH        59  001    SK3W          59  483
QSO:  7000 PH 2014-03-29 0956 SP6DHH        59  2      OT5W          59  184
QSO:  7000 PH 2014-03-29 0958 SP6DHH        59  003    DD5FZ         59  194
QSO:  7000 PH 2014-03-29 0959 SP6DHH        59  004    OZ5GX         59  450
QSO:  7000 PH 2014-03-29 1005 SP6DHH        59  005    OT5A          59  547
QSO:  7000 PH 2014-03-29 1008 SP6DHH        59  006    S51A          59  353
QSO:  7000 PH 2014-03-29 1031 SP6DHH        59  007    DR1A          59  633
QSO: 21000 PH 2014-03-29 1036 SP6DHH        59  008    EE5T          59  146
QSO: 21000 PH 2014-03-29 1040 SP6DHH        59  009    EA7OT         59  669
QSO: 21000 PH 2014-03-29 1318 SP6DHH        59  010    ES9C          59  708
QSO:  7000 PH 2014-03-29 1331 SP6DHH        59  011    LZ9W          59  731
QSO:  7000 PH 2014-03-29 1332 SP6DHH        59  012    9A1A          59  584
QSO:  7000 PH 2014-03-29 1333 SP6DHH        59  013    RT3F          59  278
QSO:  7000 PH 2014-03-29 1335 SP6DHH        59  014    YT1ET         59  210
QSO:  7000 PH 2014-03-29 1338 SP6DHH        59  015    S56X          59  448
QSO:  7000 PH 2014-03-29 1345 SP6DHH        59  016    DJ8OG         59  692
QSO:  7000 PH 2014-03-29 1423 SP6DHH        59  018    DM6DX         59  292
QSO: 21000 PH 2014-03-29 1430 SP6DHH        59  019    OH6RX         59  1401
QSO: 21000 PH 2014-03-29 1431 SP6DHH        59  020    KU2M          59  785
QSO: 21000 PH 2014-03-29 1433 SP6DHH        59  021    UA3VFS        59  622
QSO: 21000 PH 2014-03-29 1433 SP6DHH        59  022    WA3A          59  679
QSO: 21000 PH 2014-03-29 1434 SP6DHH        59  023    KT6V          59  164
QSO: 21000 PH 2014-03-29 1438 SP6DHH        59  024    UP0L          59  1243
QSO: 21000 PH 2014-03-29 1441 SP6DHH        59  025    R2014E        59  1002
QSO: 21000 PH 2014-03-29 1443 SP6DHH        59  026    RW9JZ         59  202
QSO: 21000 PH 2014-03-29 1444 SP6DHH        59  027    IT9SPB        59  619
QSO: 21000 PH 2014-03-29 1448 SP6DHH        59  028    CT2IOV        59  395
QSO: 21000 PH 2014-03-29 1455 SP6DHH        59  029    EB3CW         59  580
QSO: 21000 PH 2014-03-29 1458 SP6DHH        59  030    II9P          59  1011
QSO: 21000 PH 2014-03-29 1459 SP6DHH        59  031    SJ2W          59  1693
QSO: 21000 PH 2014-03-29 1501 SP6DHH        59  032    EA9LZ         59  1157
QSO: 21000 PH 2014-03-29 1510 SP6DHH        59  033    R7NK          59  153
QSO: 21000 PH 2014-03-29 1513 SP6DHH        59  034    UW1M          59  1664
QSO: 21000 PH 2014-03-29 1514 SP6DHH        59  035    UR1IFB        59  547
QSO: 21000 PH 2014-03-29 1515 SP6DHH        59  036    EI1A          59  1032
QSO: 21000 PH 2014-03-29 1517 SP6DHH        59  037    UU7J          59  1120
QSO: 21000 PH 2014-03-29 1519 SP6DHH        59  038    RL3A          59  1020
QSO: 21000 PH 2014-03-30 0933 SP6DHH        59  040    RX3Z          59  447
QSO: 21000 PH 2014-03-30 0936 SP6DHH        59  041    IT9IMJ        59  093
QSO: 21000 PH 2014-03-30 0938 SP6DHH        59  042    RZ2ALS        59  1815
QSO: 21000 PH 2014-03-30 0939 SP6DHH        59  043    5E5E          59  588
QSO: 21000 PH 2014-03-30 0943 SP6DHH        59  045    YT7Z          59  1622
QSO: 21000 PH 2014-03-30 0956 SP6DHH        59  046    PX2F          59  1680
QSO: 21000 PH 2014-03-30 0957 SP6DHH        59  047    CR6T          59  2661
QSO: 21000 PH 2014-03-30 1000 SP6DHH        59  048    ED5K          59  673
QSO: 21000 PH 2014-03-30 1001 SP6DHH        59  049    SX9C          59  3321
QSO: 21000 PH 2014-03-30 1003 SP6DHH        59  050    SI9AM         59  902
QSO: 21000 PH 2014-03-30 1007 SP6DHH        59  051    EA3FP         59  546
QSO: 21000 PH 2014-03-30 1009 SP6DHH        59  052    R22AL         59  994
QSO: 21000 PH 2014-03-30 1013 SP6DHH        59  054    EA7IQM        59  548
QSO: 21000 PH 2014-03-30 1015 SP6DHH        59  055    UA3ABJ        59  652
QSO: 21000 PH 2014-03-30 1016 SP6DHH        59  056    PJ2T          59  1936
QSO: 21000 PH 2014-03-30 1018 SP6DHH        59  057    YO5OBA        59  389
QSO: 21000 PH 2014-03-30 1031 SP6DHH        59  058    R9AE          59  410
QSO: 21000 PH 2014-03-30 1037 SP6DHH        59  059    KD4D          59  1150
QSO: 21000 PH 2014-03-30 1040 SP6DHH        59  060    RK3DXW        59  459
QSO: 21000 PH 2014-03-30 1041 SP6DHH        59  061    EA2DR         59  089
QSO: 21000 PH 2014-03-30 1042 SP6DHH        59  062    UZ2M          59  4962
QSO: 21000 PH 2014-03-30 1145 SP6DHH        59  063    EA5KA         59  1490
QSO: 21000 PH 2014-03-30 1151 SP6DHH        59  064    CN2AA         59  6831
QSO: 21000 PH 2014-03-30 1152 SP6DHH        59  065    TM6M          59  4657
QSO: 21000 PH 2014-03-30 1153 SP6DHH        59  066    RY6Y          59  1315
QSO: 21000 PH 2014-03-30 1154 SP6DHH        59  067    EE5C          59  312
QSO: 21000 PH 2014-03-30 1158 SP6DHH        59  068    ED1R          59  3907
QSO: 21000 PH 2014-03-30 1159 SP6DHH        59  069    EA5DFV        59  920
QSO: 21000 PH 2014-03-30 1200 SP6DHH        59  070    RZ1AWT        59  739
QSO: 21000 PH 2014-03-30 1201 SP6DHH        59  071    SK6AW         59  316
QSO: 21000 PH 2014-03-30 1202 SP6DHH        59  072    IT9/IT9WDC    59  735
QSO: 21000 PH 2014-03-30 1203 SP6DHH        59  073    MS0OXE        59  2686
QSO: 21000 PH 2014-03-30 1212 SP6DHH        59  074    UA9XMC        59  797
QSO: 21000 PH 2014-03-30 1214 SP6DHH        59  075    N3RR          59  1780
