START-OF-LOG: 3.0
LOCATION: OH
CALLSIGN: AB8M
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 2214108
OPERATORS: AB8M KB8O
NAME: Doug Dever
SOAPBOX: Another fun contest on the 1300ft loop at KB8O.  Saturday condx were
SOAPBOX: nice and we  had a pleasant surprise with 10m being open at 2100 ET.
SOAPBOX: Sunday, on the other hand, was a brutal grind.  The loop continues to
SOAPBOX: impress, especially on the low bands and it shows in all of those 40m
SOAPBOX: Q's.  Thanks to everyone that we got in the log book this time and
SOAPBOX: everyone with the patience to work through poor conditions and the
SOAPBOX: constant request of "Again? Again?"  See you all (and more!) in the
SOAPBOX: logs next year.
SOAPBOX: 73 de KB80 & AB8M
CREATED-BY: N1MM Logger+ 1.0.4815.0
QSO: 14169 PH 2015-03-28 0003 AB8M          59  0001   US5D          59  0005   0
QSO: 14169 PH 2015-03-28 0004 AB8M          59  0002   DJ5QV         59  0003   0
QSO: 14169 PH 2015-03-28 0004 AB8M          59  0003   VE3CX         59  0009   0
QSO: 14169 PH 2015-03-28 0005 AB8M          59  0004   S56A          59  0004   0
QSO: 14169 PH 2015-03-28 0005 AB8M          59  0005   RA9JBA        59  0002   0
QSO: 14169 PH 2015-03-28 0006 AB8M          59  0006   SX9C          59  0005   0
QSO: 14169 PH 2015-03-28 0007 AB8M          59  0007   PY4DBU        59  0002   0
QSO: 14214 PH 2015-03-28 0011 AB8M          59  0008   G5O           59  0007   0
QSO: 14214 PH 2015-03-28 0013 AB8M          59  0009   W7FI          59  0003   0
QSO:  7155 PH 2015-03-28 0017 AB8M          59  0010   VE3HED        59  0004   0
QSO:  7155 PH 2015-03-28 0017 AB8M          59  0011   NG9M          59  0005   0
QSO:  7155 PH 2015-03-28 0018 AB8M          59  0012   NN3RP         59  0008   0
QSO:  7155 PH 2015-03-28 0019 AB8M          59  0013   NN8UU         59  0011   0
QSO:  7155 PH 2015-03-28 0020 AB8M          59  0014   KE4S          59  0013   0
QSO:  7155 PH 2015-03-28 0020 AB8M          59  0015   N2JNE         59  0005   0
QSO:  7155 PH 2015-03-28 0021 AB8M          59  0016   W4ZAO         59  0017   0
QSO:  7155 PH 2015-03-28 0021 AB8M          59  0017   ZW5B          59  0004   0
QSO:  7155 PH 2015-03-28 0022 AB8M          59  0018   WZ8I          59  0008   0
QSO:  7155 PH 2015-03-28 0023 AB8M          59  0019   LU1IBL        59  0002   0
QSO:  7155 PH 2015-03-28 0023 AB8M          59  0020   KD2ARU        59  0003   0
QSO:  7155 PH 2015-03-28 0023 AB8M          59  0021   VE3ZN         59  0026   0
QSO:  7155 PH 2015-03-28 0023 AB8M          59  0022   K9CJ          59  0012   0
QSO:  7155 PH 2015-03-28 0024 AB8M          59  0023   K8TLC         59  0004   0
QSO:  7155 PH 2015-03-28 0024 AB8M          59  0024   WO9S          59  0014   0
QSO:  7155 PH 2015-03-28 0025 AB8M          59  0025   AG4W          59  0025   0
QSO:  7155 PH 2015-03-28 0025 AB8M          59  0026   WA1HEW        59  0009   0
QSO:  7155 PH 2015-03-28 0025 AB8M          59  0027   PQ5B          59  0015   0
QSO:  7155 PH 2015-03-28 0026 AB8M          59  0028   KG1V          59  0005   0
QSO:  7155 PH 2015-03-28 0026 AB8M          59  0029   WB9FBO        59  0003   0
QSO:  7155 PH 2015-03-28 0027 AB8M          59  0030   KD8IZZ        59  0002   0
QSO:  7155 PH 2015-03-28 0027 AB8M          59  0031   W8MET         59  0008   0
QSO:  7155 PH 2015-03-28 0027 AB8M          59  0032   K1MTD         59  0005   0
QSO:  7155 PH 2015-03-28 0027 AB8M          59  0033   NU2M          59  0007   0
QSO:  7155 PH 2015-03-28 0029 AB8M          59  0034   L47H          59  0004   0
QSO:  7155 PH 2015-03-28 0029 AB8M          59  0035   N1MGO         59  0008   0
QSO:  7155 PH 2015-03-28 0029 AB8M          59  0036   KI4DFS        59  0008   0
QSO:  7155 PH 2015-03-28 0030 AB8M          59  0037   KO7X          59  0007   0
QSO:  7155 PH 2015-03-28 0030 AB8M          59  0038   VE2PIB        59  0023   0
QSO:  7155 PH 2015-03-28 0030 AB8M          59  0039   N4WMB         59  0013   0
QSO:  7155 PH 2015-03-28 0031 AB8M          59  0040   K4FJW         59  0003   0
QSO:  7155 PH 2015-03-28 0031 AB8M          59  0041   KO3T          59  0008   0
QSO:  7155 PH 2015-03-28 0031 AB8M          59  0042   WW0NP         59  0001   0
QSO:  7155 PH 2015-03-28 0032 AB8M          59  0043   VE3BK         59  0005   0
QSO:  7155 PH 2015-03-28 0032 AB8M          59  0044   WG2Y          59  0034   0
QSO:  7155 PH 2015-03-28 0032 AB8M          59  0045   KS9K          59  0037   0
QSO:  7155 PH 2015-03-28 0032 AB8M          59  0046   N8UGD         59  0001   0
QSO:  7155 PH 2015-03-28 0033 AB8M          59  0047   VA2PL         59  0015   0
QSO:  7155 PH 2015-03-28 0033 AB8M          59  0048   N1JAO         59  0053   0
QSO:  7155 PH 2015-03-28 0033 AB8M          59  0049   N4NY          59  0006   0
QSO:  7155 PH 2015-03-28 0033 AB8M          59  0050   K3ZU          59  0047   0
QSO:  7155 PH 2015-03-28 0034 AB8M          59  0051   W0BR          59  0015   0
QSO:  7155 PH 2015-03-28 0034 AB8M          59  0052   VA3XH         59  0019   0
QSO:  7155 PH 2015-03-28 0034 AB8M          59  0053   AA8U          59  0017   0
QSO:  7155 PH 2015-03-28 0035 AB8M          59  0054   WA1UZX        59  0005   0
QSO:  7155 PH 2015-03-28 0035 AB8M          59  0055   VE3AAA        59  0016   0
QSO:  7155 PH 2015-03-28 0036 AB8M          59  0056   PX2B          59  0022   0
QSO:  7155 PH 2015-03-28 0037 AB8M          59  0057   WA3EQJ        59  0009   0
QSO:  7155 PH 2015-03-28 0037 AB8M          59  0058   K4GO          59  0009   0
QSO:  7155 PH 2015-03-28 0038 AB8M          59  0059   N9KO          59  0002   0
QSO:  7155 PH 2015-03-28 0038 AB8M          59  0060   VE3PQ         59  0001   0
QSO:  7155 PH 2015-03-28 0040 AB8M          59  0061   9A9R          59  0038   0
QSO:  7155 PH 2015-03-28 0041 AB8M          59  0062   NG2D          59  0020   0
QSO:  7155 PH 2015-03-28 0042 AB8M          59  0063   KB8HNU        59  0001   0
QSO:  7155 PH 2015-03-28 0042 AB8M          59  0064   N3QXC         59  0017   0
QSO:  7155 PH 2015-03-28 0042 AB8M          59  0065   N2ETJ         59  0036   0
QSO:  7155 PH 2015-03-28 0042 AB8M          59  0066   WT8E          59  0016   0
QSO:  7155 PH 2015-03-28 0046 AB8M          59  0067   W1KMA         59  0020   0
QSO:  7155 PH 2015-03-28 0046 AB8M          59  0068   K6ND          59  0092   0
QSO:  7155 PH 2015-03-28 0047 AB8M          59  0069   K8JTD         59  0006   0
QSO:  7155 PH 2015-03-28 0047 AB8M          59  0070   KB2N          59  0008   0
QSO:  7155 PH 2015-03-28 0048 AB8M          59  0071   NZ8J          59  0001   0
QSO:  7155 PH 2015-03-28 0049 AB8M          59  0072   KT1NG         59  0007   0
QSO:  7155 PH 2015-03-28 0050 AB8M          59  0073   NC4ON         59  0010   0
QSO:  7155 PH 2015-03-28 0051 AB8M          59  0074   W4DFR         59  0004   0
QSO:  7155 PH 2015-03-28 0051 AB8M          59  0075   N8OQ          59  0027   0
QSO:  7155 PH 2015-03-28 0053 AB8M          59  0076   N8LGP         59  0008   0
QSO:  7155 PH 2015-03-28 0055 AB8M          59  0077   W8KNO         59  0017   0
QSO:  7155 PH 2015-03-28 0056 AB8M          59  0078   KC3ASN        59  0006   0
QSO:  7155 PH 2015-03-28 0058 AB8M          59  0079   KF1W          59  0061   0
QSO:  7155 PH 2015-03-28 0059 AB8M          59  0080   WB0U          59  0003   0
QSO:  7155 PH 2015-03-28 0100 AB8M          59  0081   VE3WPZ        59  0004   0
QSO:  7155 PH 2015-03-28 0100 AB8M          59  0082   AD4DQ         59  0011   0
QSO:  7155 PH 2015-03-28 0103 AB8M          59  0083   N5YLE         59  0001   0
QSO:  7155 PH 2015-03-28 0104 AB8M          59  0084   W2WD          59  0006   0
QSO:  7155 PH 2015-03-28 0106 AB8M          59  0085   WW2Y          59  0180   0
QSO:  7155 PH 2015-03-28 0107 AB8M          59  0086   AB9YC         59  0042   0
QSO:  7155 PH 2015-03-28 0107 AB8M          59  0087   W3RMS         59  0036   0
QSO:  7155 PH 2015-03-28 0108 AB8M          59  0088   K3XA          59  0025   0
QSO:  7155 PH 2015-03-28 0108 AB8M          59  0089   VE3FH         59  0009   0
QSO:  7155 PH 2015-03-28 0109 AB8M          59  0090   AC8AZ         59  0003   0
QSO:  7155 PH 2015-03-28 0110 AB8M          59  0091   W3KWH         59  0002   0
QSO:  7155 PH 2015-03-28 0110 AB8M          59  0092   NY6DX         59  0017   0
QSO:  7155 PH 2015-03-28 0111 AB8M          59  0093   K8IKO         59  0006   0
QSO:  7155 PH 2015-03-28 0113 AB8M          59  0094   NJ9Y          59  0026   0
QSO:  7155 PH 2015-03-28 0113 AB8M          59  0095   AE4FP         59  0006   0
QSO:  7155 PH 2015-03-28 0114 AB8M          59  0096   W0UY          59  0003   0
QSO:  7155 PH 2015-03-28 0114 AB8M          59  0097   AA1HK         59  0017   0
QSO:  7155 PH 2015-03-28 0114 AB8M          59  0098   KB0EO         59  0069   0
QSO:  7155 PH 2015-03-28 0115 AB8M          59  0099   NW2K          59  0004   0
QSO:  7155 PH 2015-03-28 0117 AB8M          59  0100   WR9Y          59  0003   0
QSO:  7155 PH 2015-03-28 0118 AB8M          59  0101   N9MDE         59  0001   0
QSO:  7155 PH 2015-03-28 0120 AB8M          59  0102   S51F          59  0082   0
QSO:  7155 PH 2015-03-28 0120 AB8M          59  0103   WW2V          59  0019   0
QSO:  7155 PH 2015-03-28 0121 AB8M          59  0104   VE3TW         59  0088   0
QSO:  7155 PH 2015-03-28 0121 AB8M          59  0105   N2PHI         59  0005   0
QSO:  7155 PH 2015-03-28 0125 AB8M          59  0106   CX9AU         59  0014   0
QSO:  7155 PH 2015-03-28 0126 AB8M          59  0107   K1KXN         59  0042   0
QSO:  7155 PH 2015-03-28 0127 AB8M          59  0108   AG4FK         59  0010   0
QSO:  7155 PH 2015-03-28 0127 AB8M          59  0109   N2MUN         59  0082   0
QSO:  7155 PH 2015-03-28 0127 AB8M          59  0110   W1JAW         59  0012   0
QSO:  7155 PH 2015-03-28 0128 AB8M          59  0111   CN3A          59  0205   0
QSO:  7155 PH 2015-03-28 0129 AB8M          59  0112   AI3G          59  0007   0
QSO:  7155 PH 2015-03-28 0130 AB8M          59  0113   WV1K          59  0085   0
QSO:  7155 PH 2015-03-28 0130 AB8M          59  0114   K4SC          59  0004   0
QSO:  7155 PH 2015-03-28 0130 AB8M          59  0115   N1KM          59  0025   0
QSO:  7155 PH 2015-03-28 0131 AB8M          59  0116   W4ES          59  0022   0
QSO:  7155 PH 2015-03-28 0133 AB8M          59  0117   OT8A          59  0142   0
QSO:  7155 PH 2015-03-28 0133 AB8M          59  0118   K2AL          59  0002   0
QSO:  7155 PH 2015-03-28 0134 AB8M          59  0119   W1MD          59  0113   0
QSO:  7155 PH 2015-03-28 0135 AB8M          59  0120   KC3EDR        59  0011   0
QSO:  7155 PH 2015-03-28 0135 AB8M          59  0121   KD5J          59  0039   0
QSO:  7155 PH 2015-03-28 0136 AB8M          59  0122   VE4DRK        59  0031   0
QSO:  7155 PH 2015-03-28 0136 AB8M          59  0123   EB8AH         59  0083   0
QSO:  7155 PH 2015-03-28 0137 AB8M          59  0124   VE3WIF        59  0001   0
