START-OF-LOG: 3.0
CALLSIGN: IZ5JLF
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 215626
NAME: bramanti claudio
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: QARTest 5.1.1
SOAPBOX: MP-1 and KX3....heavy job...i am without voice 73 claudio IZ5JLF
QSO:  7000 PH 2016-03-26 0000 IZ5JLF        59     001 KU3K          59     003
QSO:  7000 PH 2016-03-26 0007 IZ5JLF        59     002 EW5Z          59     006
QSO:  7000 PH 2016-03-26 0011 IZ5JLF        59     003 D41CV         59     021
QSO:  7000 PH 2016-03-26 0015 IZ5JLF        59     004 US1I          59     034
QSO:  7000 PH 2016-03-26 0026 IZ5JLF        59     005 ES5TV         59     045
QSO:  7000 PH 2016-03-26 0027 IZ5JLF        59     006 EN4U          59     058
QSO:  7000 PH 2016-03-26 0028 IZ5JLF        59     007 4L0A          59     097
QSO:  7000 PH 2016-03-26 0030 IZ5JLF        59     008 RJ4P          59     075
QSO:  7000 PH 2016-03-26 0032 IZ5JLF        59     009 P3F           59     098
QSO:  7000 PH 2016-03-26 0036 IZ5JLF        59     010 VE9CB         59     052
QSO:  7000 PH 2016-03-26 0038 IZ5JLF        59     011 5D5D          59     025
QSO:  7000 PH 2016-03-26 0041 IZ5JLF        59     012 VE3EJ         59     098
QSO:  7000 PH 2016-03-26 0045 IZ5JLF        59     013 UZ2I          59     070
QSO:  7000 PH 2016-03-26 0047 IZ5JLF        59     014 XL3T          59     123
QSO:  7000 PH 2016-03-26 0106 IZ5JLF        59     015 UR5AS         59     094
QSO:  7000 PH 2016-03-26 0107 IZ5JLF        59     016 VY2ZM         59     159
QSO:  7000 PH 2016-03-26 0118 IZ5JLF        59     017 OH0X          59     190
QSO: 21000 PH 2016-03-26 0622 IZ5JLF        59     018 A73A          59     137
QSO: 21000 PH 2016-03-26 0623 IZ5JLF        59     019 P33W          59    1184
QSO: 21000 PH 2016-03-26 0625 IZ5JLF        59     020 FR4QT         59     054
QSO: 21000 PH 2016-03-26 0626 IZ5JLF        59     021 C4A           59     111
QSO: 21000 PH 2016-03-26 0626 IZ5JLF        59     022 P3F           59     766
QSO: 21000 PH 2016-03-26 0627 IZ5JLF        59     023 4Z7T          59     240
QSO: 21000 PH 2016-03-26 0628 IZ5JLF        59     024 4L0A          59     797
QSO: 21000 PH 2016-03-26 0630 IZ5JLF        59     025 RK4FD         59     804
QSO: 14000 PH 2016-03-26 0638 IZ5JLF        59     026 UT8EL         59     099
QSO: 14000 PH 2016-03-26 0639 IZ5JLF        59     027 C4A           59     324
QSO: 14000 PH 2016-03-26 0639 IZ5JLF        59     028 UW5U          59     041
QSO: 14000 PH 2016-03-26 0640 IZ5JLF        59     029 TC2G          59     145
QSO: 14000 PH 2016-03-26 0642 IZ5JLF        59     030 OH6LI         59     187
QSO: 14000 PH 2016-03-26 0643 IZ5JLF        59     031 RK9CYA        59     288
QSO: 14000 PH 2016-03-26 0644 IZ5JLF        59     032 LY26A         59     115
QSO: 14000 PH 2016-03-26 0648 IZ5JLF        59     033 UR3RAA        59     068
QSO: 14000 PH 2016-03-26 0649 IZ5JLF        59     034 EW5Z          59     658
QSO: 14000 PH 2016-03-26 0652 IZ5JLF        59     035 TC3P          59     378
QSO: 14000 PH 2016-03-26 0653 IZ5JLF        59     036 EC5AN         59     499
QSO: 14000 PH 2016-03-26 0655 IZ5JLF        59     037 SE0X          59     250
QSO: 14000 PH 2016-03-26 0659 IZ5JLF        59     038 G1XOW         59     275
QSO: 14000 PH 2016-03-26 0700 IZ5JLF        59     039 UR5AS         59     412
QSO: 14000 PH 2016-03-26 0701 IZ5JLF        59     040 LY7A          59     119
QSO: 14000 PH 2016-03-26 0703 IZ5JLF        59     041 OG3MS         59     267
QSO: 14000 PH 2016-03-26 0705 IZ5JLF        59     042 9K2HN         59     706
QSO: 14000 PH 2016-03-26 0711 IZ5JLF        59     043 EA9KB         59     220
QSO: 14000 PH 2016-03-26 0715 IZ5JLF        59     044 EW6W          59     217
QSO: 14000 PH 2016-03-26 0717 IZ5JLF        59     045 EA7ATX        59     150
QSO: 14000 PH 2016-03-26 0719 IZ5JLF        59     046 LY5W          59     276
QSO: 14000 PH 2016-03-26 0733 IZ5JLF        59     047 SX9C          59     385
QSO: 14000 PH 2016-03-26 0736 IZ5JLF        59     048 YL2CI         59     152
QSO: 14000 PH 2016-03-26 0738 IZ5JLF        59     049 RW4WA         59     317
QSO: 14000 PH 2016-03-26 0739 IZ5JLF        59     050 SJ2W          59     473
QSO: 14000 PH 2016-03-26 0741 IZ5JLF        59     051 TA1O          59     059
QSO: 14000 PH 2016-03-26 0744 IZ5JLF        59     052 UZ5U          59     161
QSO: 14000 PH 2016-03-26 0745 IZ5JLF        59     053 CR6P          59     139
QSO: 14000 PH 2016-03-26 0746 IZ5JLF        59     054 UP2L          59    1296
QSO: 14000 PH 2016-03-26 0748 IZ5JLF        59     055 LY4L          59     560
QSO: 14000 PH 2016-03-26 0749 IZ5JLF        59     056 RU1A          59    1020
QSO: 14000 PH 2016-03-26 0750 IZ5JLF        59     057 EV1R          59     579
QSO: 14000 PH 2016-03-26 0752 IZ5JLF        59     058 YO9HP         59     285
QSO: 14000 PH 2016-03-26 0753 IZ5JLF        59     059 LZ3FN         59     128
QSO: 14000 PH 2016-03-26 0802 IZ5JLF        59     060 R1FZ          59     133
QSO: 14000 PH 2016-03-26 0803 IZ5JLF        59     061 4L0A          59     967
QSO: 14000 PH 2016-03-26 0805 IZ5JLF        59     062 EI7M          59     168
QSO: 14000 PH 2016-03-26 0807 IZ5JLF        59     063 YL9T          59     467
QSO: 14000 PH 2016-03-26 0809 IZ5JLF        59     064 OH6K          59     364
QSO: 14000 PH 2016-03-26 0813 IZ5JLF        59     065 EW2A          59     681
QSO: 14000 PH 2016-03-26 0820 IZ5JLF        59     066 UZ0U          59     137
QSO: 14000 PH 2016-03-26 0821 IZ5JLF        59     067 SV8CRI        59     249
QSO: 21000 PH 2016-03-26 0827 IZ5JLF        59     068 BD7BM         59     427
QSO: 21000 PH 2016-03-26 0828 IZ5JLF        59     069 UI5R          59     364
QSO: 21000 PH 2016-03-26 0829 IZ5JLF        59     070 UA6LCN        59     196
QSO: 21000 PH 2016-03-26 0833 IZ5JLF        59     071 UW1M          59     346
QSO: 21000 PH 2016-03-26 0836 IZ5JLF        59     072 RV3FF         59     855
QSO: 21000 PH 2016-03-26 0848 IZ5JLF        59     073 RV9UP         59     467
QSO: 21000 PH 2016-03-26 0849 IZ5JLF        59     074 RL3BZ         59     128
QSO: 21000 PH 2016-03-26 0850 IZ5JLF        59     075 RL6M          59     464
QSO: 21000 PH 2016-03-26 0854 IZ5JLF        59     076 UI9I          59     551
QSO: 21000 PH 2016-03-26 0855 IZ5JLF        59     077 RN9N          59     342
QSO: 21000 PH 2016-03-26 0857 IZ5JLF        59     078 JY9FC         59     520
QSO: 14000 PH 2016-03-26 0918 IZ5JLF        59     079 UZ9E          59     448
QSO: 14000 PH 2016-03-26 0919 IZ5JLF        59     080 GM5X          59     639
QSO: 14000 PH 2016-03-26 0922 IZ5JLF        59     081 UD4FD         59     331
QSO: 14000 PH 2016-03-26 0924 IZ5JLF        59     082 5E5E          59     444
QSO: 14000 PH 2016-03-26 0926 IZ5JLF        59     083 G4IIY         59     208
QSO: 14000 PH 2016-03-26 0929 IZ5JLF        59     084 CN2AA         59     240
QSO: 14000 PH 2016-03-26 0930 IZ5JLF        59     085 D41CV         59     960
QSO: 14000 PH 2016-03-26 0932 IZ5JLF        59     086 4L8A          59     658
QSO: 14000 PH 2016-03-26 0937 IZ5JLF        59     087 OG30OJ        59     576
QSO: 14000 PH 2016-03-26 0939 IZ5JLF        59     088 UT2P          59     181
QSO: 14000 PH 2016-03-26 0940 IZ5JLF        59     089 VY2ZM         59     607
QSO: 14000 PH 2016-03-26 0942 IZ5JLF        59     090 5D5D          59     296
QSO: 14000 PH 2016-03-26 0943 IZ5JLF        59     091 YL7A          59     214
