START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: OR5T
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 603351
NAME: Xavier GODDAER
OPERATORS: OR5T
CLUB: THRACIAN ROSE CLUB
CREATED-BY: N1MM Logger+ 1.0.8269.0
SOAPBOX: I had a lot of fun... good runs on 80m
QSO: 14000 PH 2020-03-28 1001 OR5T          59  0001   LZ9W          59  0431
QSO: 14242 PH 2020-03-28 1003 OR5T          59  0002   EA7I          59  0106
QSO: 14239 PH 2020-03-28 1004 OR5T          59  0003   PY4AZ         59  0192
QSO: 14233 PH 2020-03-28 1005 OR5T          59  0004   EA7Q          59  0260
QSO: 14213 PH 2020-03-28 1008 OR5T          59  0005   EB1A          59  0210
QSO: 14205 PH 2020-03-28 1009 OR5T          59  0006   LZ5DB         59  0292
QSO: 14205 PH 2020-03-28 1010 OR5T          59  0007   CT2HOV        59  0187
QSO: 14195 PH 2020-03-28 1010 OR5T          59  0008   EA4D          59  0252
QSO: 14176 PH 2020-03-28 1013 OR5T          59  0009   CT7ABG        59  0110
QSO: 14164 PH 2020-03-28 1016 OR5T          59  0010   RL3A          59  1777
QSO: 14162 PH 2020-03-28 1016 OR5T          59  0011   UT1AN         59  0338
QSO: 14160 PH 2020-03-28 1017 OR5T          59  0012   IT9STX        59  0306
QSO: 21233 PH 2020-03-28 1019 OR5T          59  0013   CS5SS         59  0034
QSO: 21222 PH 2020-03-28 1037 OR5T          59  0014   FR4QT         59  0533
QSO: 21231 PH 2020-03-28 1037 OR5T          59  0015   EB1A          59  0238
QSO: 21239 PH 2020-03-28 1038 OR5T          59  0016   PI4DX         59  0017
QSO: 21250 PH 2020-03-28 1039 OR5T          59  0017   II9P          59  0074
QSO: 21254 PH 2020-03-28 1040 OR5T          59  0018   ON4AQC        59  0003
QSO: 21225 PH 2020-03-28 1042 OR5T          59  0019   IR8W          59  0027
QSO: 14200 PH 2020-03-28 1043 OR5T          59  0020   SV1PMR        59  0268
QSO: 14193 PH 2020-03-28 1044 OR5T          59  0021   LZ8W          59  0045
QSO: 14188 PH 2020-03-28 1045 OR5T          59  0022   OQ5M          59  0478
QSO: 14172 PH 2020-03-28 1047 OR5T          59  0023   YL2SM         59  0519
QSO: 14170 PH 2020-03-28 1047 OR5T          59  0024   JT1CO         59  1067
QSO: 14228 PH 2020-03-28 1049 OR5T          59  0025   RM9I          59  1158
QSO: 14244 PH 2020-03-28 1051 OR5T          59  0026   RA9P          59  1154
QSO: 14256 PH 2020-03-28 1052 OR5T          59  0027   RT4F          59  0798
QSO: 14259 PH 2020-03-28 1053 OR5T          59  0028   YT3X          59  0573
QSO: 14263 PH 2020-03-28 1055 OR5T          59  0029   II9P          59  0456
QSO: 14268 PH 2020-03-28 1055 OR5T          59  0030   UW2M          59  1307
QSO: 14271 PH 2020-03-28 1055 OR5T          59  0031   R2AA          59  0886
QSO: 14277 PH 2020-03-28 1056 OR5T          59  0032   EV1R          59  0582
QSO: 14278 PH 2020-03-28 1057 OR5T          59  0033   EN5V          59  0246
QSO: 14280 PH 2020-03-28 1057 OR5T          59  0034   RA9Y          59  1057
QSO: 14285 PH 2020-03-28 1059 OR5T          59  0035   YO3GNF        59  0039
QSO: 14286 PH 2020-03-28 1106 OR5T          59  0036   UA6YN         59  0191
QSO: 14286 PH 2020-03-28 1106 OR5T          59  0037   UR4QFP        59  0178
QSO: 14286 PH 2020-03-28 1110 OR5T          59  0038   RX9CCJ        59  0114
QSO: 14286 PH 2020-03-28 1112 OR5T          59  0039   UT5RB         59  0099
QSO: 14286 PH 2020-03-28 1113 OR5T          59  0040   UP5B          59  0582
QSO: 14286 PH 2020-03-28 1114 OR5T          59  0041   R8CT          59  0402
QSO: 14286 PH 2020-03-28 1114 OR5T          59  0042   EW7BA         59  0291
QSO: 14286 PH 2020-03-28 1114 OR5T          59  0043   UR6QS         59  0134
QSO: 14286 PH 2020-03-28 1115 OR5T          59  0044   RX9WN         59  0446
QSO: 14286 PH 2020-03-28 1117 OR5T          59  0045   LZ1VDR        59  0087
QSO: 14286 PH 2020-03-28 1118 OR5T          59  0046   RC3C          59  0388
QSO: 14286 PH 2020-03-28 1118 OR5T          59  0047   UX8IX         59  0006
QSO: 14286 PH 2020-03-28 1119 OR5T          59  0048   UT3HD         59  0053
QSO: 14286 PH 2020-03-28 1119 OR5T          59  0049   YU70HFG       59  0017
QSO:  7131 PH 2020-03-28 1122 OR5T          59  0050   S51CK         59  0462
QSO:  7147 PH 2020-03-28 1123 OR5T          59  0051   I5WNN         59  0075
QSO:  7149 PH 2020-03-28 1124 OR5T          59  0052   I1JTQ         59  0176
QSO:  7149 PH 2020-03-28 1124 OR5T          59  0053   YL3CW         59  0281
QSO:  7166 PH 2020-03-28 1127 OR5T          59  0054   OT5K          59  0366
QSO:  7171 PH 2020-03-28 1128 OR5T          59  0055   DH8BQA        59  0113
QSO:  7177 PH 2020-03-28 1129 OR5T          59  0056   IN3EYI        59  0138
QSO:  7180 PH 2020-03-28 1130 OR5T          59  0057   S53MR         59  0070
QSO:  7180 PH 2020-03-28 1130 OR5T          59  0058   OH6K          59  0424
QSO:  7180 PH 2020-03-28 1130 OR5T          59  0059   IX1HPN        59  0179
QSO:  7180 PH 2020-03-28 1130 OR5T          59  0060   EI7JN         59  0034
QSO:  7180 PH 2020-03-28 1131 OR5T          59  0061   F5PBG         59  0011
QSO:  7180 PH 2020-03-28 1132 OR5T          59  0062   MM0NBW        59  0016
QSO:  7180 PH 2020-03-28 1132 OR5T          59  0063   TM8A          59  0768
QSO:  7180 PH 2020-03-28 1132 OR5T          59  0064   I2CZQ         59  0008
QSO:  7180 PH 2020-03-28 1133 OR5T          59  0065   9A4R          59  0004
