START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: IB9Z
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: 160M
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION:
CATEGORY-OVERLAY: TB-WIRES
GRID-LOCATOR: JM77LV
CLAIMED-SCORE: 476
NAME: ALFIO SCIRTO
OPERATORS: IT9VCE
CLUB: ITALIAN CONTEST CLUB
CREATED-BY: QARTest 16.3.1
SOAPBOX: Only 90 minutes of low power operation with terrible propagation.
QSO:    1855 PH 2026-03-29 1711 IB9Z             59  001   YU1LD            59   162      
QSO:    1850 PH 2026-03-29 1712 IB9Z             59  002   S56X             59   347      
QSO:    1843 PH 2026-03-29 1713 IB9Z             59  003   IZ1YTK           59   009      
QSO:    1842 PH 2026-03-29 1716 IB9Z             59  004   LZ25W            59   223      
QSO:    1852 PH 2026-03-29 1723 IB9Z             59  005   OK1K             59   346      
QSO:    1858 PH 2026-03-29 1726 IB9Z             59  006   YT5T             59   159      
QSO:    1876 PH 2026-03-29 1728 IB9Z             59  007   S56B             59   332      
QSO:    1839 PH 2026-03-29 1729 IB9Z             59  008   3V8LL            59   240      
QSO:    1867 PH 2026-03-29 1730 IB9Z             59  009   UA7K             59   239      
QSO:    1846 PH 2026-03-29 1731 IB9Z             59  010   DA0DIG           59   433      
QSO:    1842 PH 2026-03-29 1808 IB9Z             59  011   IB4X             59   225      
QSO:    1838 PH 2026-03-29 1823 IB9Z             59  012   E79D             59   094      
QSO:    1894 PH 2026-03-29 1826 IB9Z             59  013   DR1A             59   388      
QSO:    1870 PH 2026-03-29 1831 IB9Z             59  014   9A73P            59   273      
QSO:    1835 PH 2026-03-29 1841 IB9Z             59  015   ES9C             59   347      
END-OF-LOG:
