START-OF-LOG: 3.0
CALLSIGN: CT2JBD
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 3509
NAME: Jaime
LOCATION: DX
OPERATORS: CT2JBD
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7047.0
SOAPBOX: Thank you all stations for the contacts and points.
QSO: 14093 RY 2018-02-11 1728 CT2JBD        599 0001   DL7CX         599 0556
QSO: 14092 RY 2018-02-11 1731 CT2JBD        599 0002   HG1S          599 2402
QSO: 14088 RY 2018-02-11 1754 CT2JBD        599 0003   EA8ARI        599 0097
QSO: 14095 RY 2018-02-11 1757 CT2JBD        599 0004   W3LL          599 1815
QSO: 14092 RY 2018-02-11 1759 CT2JBD        599 0005   KR4U          599 1678
QSO: 14091 RY 2018-02-11 1806 CT2JBD        599 0006   HP3SS         599 0934
QSO: 14088 RY 2018-02-11 1825 CT2JBD        599 0007   WS9V          599 0690
QSO: 14092 RY 2018-02-11 1851 CT2JBD        599 0008   KU2M          599 0623
QSO: 14097 RY 2018-02-11 1900 CT2JBD        599 0009   CP6UA         599 0240
QSO: 14088 RY 2018-02-11 1908 CT2JBD        599 0010   VA1XH         599 0549
QSO: 14084 RY 2018-02-11 1912 CT2JBD        599 0011   CT7AJL        599 0929
QSO: 14103 RY 2018-02-11 1919 CT2JBD        599 0012   W1IE          599 0815
QSO: 14097 RY 2018-02-11 1942 CT2JBD        599 0013   PY7XC         599 0016
QSO:  7086 RY 2018-02-11 2001 CT2JBD        599 0014   EA3AQ         599 0400
QSO:  7090 RY 2018-02-11 2005 CT2JBD        599 0015   EA3CI         599 0131
QSO:  7090 RY 2018-02-11 2007 CT2JBD        599 0016   IK7NXU        599 0446
QSO:  7079 RY 2018-02-11 2017 CT2JBD        599 0017   EB8AH         599 1075
QSO:  7083 RY 2018-02-11 2024 CT2JBD        599 0018   N2MM          599 0728
QSO:  7081 RY 2018-02-11 2032 CT2JBD        599 0019   YP0C          599 1191
QSO:  7081 RY 2018-02-11 2048 CT2JBD        599 0020   LY100CY       599 0000
QSO:  7088 RY 2018-02-11 2053 CT2JBD        599 0021   IT9PZM        599 0029
QSO:  7085 RY 2018-02-11 2103 CT2JBD        599 0022   W4PK          599 1411
QSO:  7086 RY 2018-02-11 2112 CT2JBD        599 0023   UW5U          599 0898
QSO:  7084 RY 2018-02-11 2236 CT2JBD        599 0024   OQ5M          599 0212
QSO:  7086 RY 2018-02-11 2302 CT2JBD        599 0025   7Z1SJ/QRP     599 0301
QSO:  7087 RY 2018-02-11 2312 CT2JBD        599 0026   W6NWS         599 0638
QSO:  7090 RY 2018-02-11 2318 CT2JBD        599 0027   LZ5K          599 1020
QSO:  7092 RY 2018-02-11 2325 CT2JBD        599 0028   W3ZGD         599 0366
QSO:  7091 RY 2018-02-11 2328 CT2JBD        599 0029   WX1S          599 0813
QSO:  7086 RY 2018-02-11 2333 CT2JBD        599 0030   9H1CG         599 0145
QSO:  7083 RY 2018-02-11 2338 CT2JBD        599 0031   IU1GNA        599 0469
END-OF-LOG:
