START-OF-LOG: 3.0
CALLSIGN: KX7L
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 60792
NAME: Charlie Panek
LOCATION: WWA
OPERATORS: KX7L
CLUB: Western Washington DX Club
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7047.0
SOAPBOX: It was the first really sunny weekend in a long time here in the
SOAPBOX: PNW, so it was  hard getting BIC time in on the contest.  Friday
SOAPBOX: night condx seemed so-so, but Saturday night was much better.
SOAPBOX: Sunday things were hopping on 20m!  Thanks for the QSO's!
QSO: 14082 RY 2018-02-10 0121 KX7L          599 0001   KS7AA         599 0187
QSO: 14086 RY 2018-02-10 0122 KX7L          599 0002   KH6ZM         599 0086
QSO: 14086 RY 2018-02-10 0124 KX7L          599 0003   KZ7X          599 0102
QSO: 14090 RY 2018-02-10 0126 KX7L          599 0004   JA2XYO        599 0061
QSO: 14091 RY 2018-02-10 0126 KX7L          599 0005   KD6TR         599 0032
QSO: 14093 RY 2018-02-10 0127 KX7L          599 0006   N7QT          599 0066
QSO: 14095 RY 2018-02-10 0128 KX7L          599 0007   JA6ZPR        599 0084
QSO: 14099 RY 2018-02-10 0130 KX7L          599 0008   JH7QXJ        599 0013
QSO: 14101 RY 2018-02-10 0130 KX7L          599 0009   NT7G          599 0098
QSO: 14105 RY 2018-02-10 0131 KX7L          599 0010   NK7U          599 0074
QSO: 14108 RY 2018-02-10 0132 KX7L          599 0011   KK6NON        599 0004
QSO: 14110 RY 2018-02-10 0133 KX7L          599 0012   JF1OPL        599 0075
QSO: 14114 RY 2018-02-10 0134 KX7L          599 0013   JM1XCW        599 0083
QSO: 14115 RY 2018-02-10 0137 KX7L          599 0014   LT0H          599 0107
QSO: 14121 RY 2018-02-10 0138 KX7L          599 0015   WU6TT         599 0071
QSO: 14088 RY 2018-02-10 0143 KX7L          599 0016   K7RI          599 0087
QSO: 14089 RY 2018-02-10 0143 KX7L          599 0017   TG9ANF        599 0081
QSO: 14102 RY 2018-02-10 0148 KX7L          599 0018   N3RC          599 0064
QSO:  7047 RY 2018-02-10 0153 KX7L          599 0019   W0MB          599 0057
QSO:  7052 RY 2018-02-10 0154 KX7L          599 0020   KL7IWC        599 0047
QSO:  7058 RY 2018-02-10 0158 KX7L          599 0021   KS7AA         599 0279
QSO:  7081 RY 2018-02-10 0201 KX7L          599 0022   W8WOM         599 0083
QSO:  7096 RY 2018-02-10 0203 KX7L          599 0023   W6SX          599 0162
QSO:  7035 RY 2018-02-10 0211 KX7L          599 0024   WT9U          599 0109
QSO:  7042 RY 2018-02-10 0336 KX7L          599 0025   NW6P          599 0099
QSO:  7052 RY 2018-02-10 0340 KX7L          599 0026   W9IL          599 0163
QSO:  7056 RY 2018-02-10 0342 KX7L          599 0027   N5RZ          599 0131
QSO:  7057 RY 2018-02-10 0343 KX7L          599 0028   K8IA          599 0291
QSO:  7061 RY 2018-02-10 0345 KX7L          599 0029   KL7SB         599 0242
QSO:  7064 RY 2018-02-10 0346 KX7L          599 0030   WK7S          599 0306
QSO:  7072 RY 2018-02-10 0348 KX7L          599 0031   AF6SA         599 0031
QSO:  7072 RY 2018-02-10 0349 KX7L          599 0032   W5PF          599 0124
QSO:  7078 RY 2018-02-10 0350 KX7L          599 0033   AC4CA         599 0086
QSO:  7081 RY 2018-02-10 0351 KX7L          599 0034   KZ0US         599 0260
QSO:  7084 RY 2018-02-10 0353 KX7L          599 0035   KF7U          599 0195
QSO:  7085 RY 2018-02-10 0355 KX7L          599 0036   N3QE          599 0214
QSO:  7088 RY 2018-02-10 0357 KX7L          599 0037   N6ZFO         599 0090
QSO:  7089 RY 2018-02-10 0357 KX7L          599 0038   AG1RL         599 0113
QSO:  7091 RY 2018-02-10 0400 KX7L          599 0039   KU1CW         599 0032
QSO:  7093 RY 2018-02-10 0400 KX7L          599 0040   KJ5T          599 0085
QSO:  7096 RY 2018-02-10 0403 KX7L          599 0041   WE6EZ         599 0074
QSO:  7046 RY 2018-02-10 0415 KX7L          599 0042   N2NS          599 0122
QSO:  7047 RY 2018-02-10 0416 KX7L          599 0043   KR4U          599 0273
QSO:  7047 RY 2018-02-10 0417 KX7L          599 0044   WB5TUF        599 0047
QSO:  7049 RY 2018-02-10 0418 KX7L          599 0045   N7QT          599 0178
QSO:  7050 RY 2018-02-10 0421 KX7L          599 0046   KN5TX         599 0227
QSO:  7052 RY 2018-02-10 0423 KX7L          599 0047   W4MLB         599 0250
QSO:  7054 RY 2018-02-10 0424 KX7L          599 0048   K7BTW         599 0205
QSO:  7066 RY 2018-02-10 0427 KX7L          599 0049   N5HC          599 0215
QSO:  7083 RY 2018-02-10 0429 KX7L          599 0050   WN6K          599 0109
QSO:  7085 RY 2018-02-10 0430 KX7L          599 0051   W5LA          599 0008
QSO:  3578 RY 2018-02-10 0436 KX7L          599 0052   ND4Y          599 0166
QSO:  3579 RY 2018-02-10 0439 KX7L          599 0053   AG1RL         599 0135
QSO:  3581 RY 2018-02-10 0440 KX7L          599 0054   WD0T          599 0111
QSO:  3583 RY 2018-02-10 0441 KX7L          599 0055   P49X          599 0691
QSO:  3584 RY 2018-02-10 0441 KX7L          599 0056   W7VXS         599 0068
QSO:  3584 RY 2018-02-10 0442 KX7L          599 0057   K0WA          599 0175
QSO:  3585 RY 2018-02-10 0443 KX7L          599 0058   NF3R          599 0126
QSO:  3589 RY 2018-02-10 0444 KX7L          599 0059   KE1B          599 0156
QSO:  3592 RY 2018-02-10 0445 KX7L          599 0060   K7RI          599 0164
QSO:  3595 RY 2018-02-10 0449 KX7L          599 0061   WG7X          599 0113
QSO:  3597 RY 2018-02-10 0452 KX7L          599 0062   KN5TX         599 0261
QSO:  3598 RY 2018-02-10 0453 KX7L          599 0063   KZ0US         599 0328
QSO:  3571 RY 2018-02-10 0457 KX7L          599 0064   WA7AN         599 0229
QSO:  3568 RY 2018-02-10 0457 KX7L          599 0065   AC0C          599 0469
QSO:  3569 RY 2018-02-10 0458 KX7L          599 0066   VA3DF         599 0149
QSO:  3569 RY 2018-02-10 0459 KX7L          599 0067   KF7U          599 0251
QSO:  3576 RY 2018-02-10 0501 KX7L          599 0068   K9NR          599 0159
QSO:  3577 RY 2018-02-10 0502 KX7L          599 0069   NK7U          599 0091
QSO:  3578 RY 2018-02-10 0502 KX7L          599 0070   NA5NN         599 0315
QSO:  3579 RY 2018-02-10 0505 KX7L          599 0071   WI7N          599 0092
QSO:  3582 RY 2018-02-10 0521 KX7L          599 0072   WK7S          599 0413
QSO:  3583 RY 2018-02-10 0523 KX7L          599 0073   AC9KW         599 0143
QSO:  3584 RY 2018-02-10 0524 KX7L          599 0074   N7NM          599 0139
QSO:  3586 RY 2018-02-10 0525 KX7L          599 0075   K6NV          599 0154
QSO:  3590 RY 2018-02-10 0528 KX7L          599 0076   ND9G          599 0110
QSO:  3591 RY 2018-02-10 0529 KX7L          599 0077   W0MB          599 0128
QSO:  3593 RY 2018-02-10 0532 KX7L          599 0078   KG4USN        599 0058
QSO:  3593 RY 2018-02-10 0535 KX7L          599 0079   AB0LR         599 0215
QSO:  3594 RY 2018-02-10 0535 KX7L          599 0080   W3LL          599 0303
QSO:  3594 RY 2018-02-10 0538 KX7L          599 0081   KA4RRU        599 0180
QSO:  3595 RY 2018-02-10 0541 KX7L          599 0082   N6ZFO         599 0166
QSO:  3597 RY 2018-02-10 0542 KX7L          599 0083   N6WIN         599 0027
QSO:  3597 RY 2018-02-10 0544 KX7L          599 0084   WN6K          599 0155
QSO:  3590 RY 2018-02-10 0551 KX7L          599 0085   AD5XD         599 0211
QSO:  3596 RY 2018-02-10 0558 KX7L          599 0086   W6XK          599 0078
QSO:  3583 RY 2018-02-10 0600 KX7L          599 0087   K2DSW         599 0163
QSO:  3581 RY 2018-02-10 0601 KX7L          599 0088   W7MRF         599 0335
QSO:  3580 RY 2018-02-10 0603 KX7L          599 0089   N7UVH         599 0088
QSO: 14080 RY 2018-02-10 1843 KX7L          599 0090   W7MRF         599 0924
QSO: 14083 RY 2018-02-10 1845 KX7L          599 0091   NC0DX         599 0715
QSO: 14098 RY 2018-02-10 1848 KX7L          599 0092   NN2NN         599 0082
QSO: 14098 RY 2018-02-10 1851 KX7L          599 0093   AA1ON         599 0017
QSO: 14104 RY 2018-02-10 1853 KX7L          599 0094   WZ7ZR         599 0356
QSO: 14107 RY 2018-02-10 1855 KX7L          599 0095   W4GO          599 0502
QSO: 14108 RY 2018-02-10 1856 KX7L          599 0096   WB5TUF        599 0166
QSO: 14110 RY 2018-02-10 1857 KX7L          599 0097   WC7Q          599 0114
QSO: 14117 RY 2018-02-10 1858 KX7L          599 0098   N6WT          599 0188
QSO: 14122 RY 2018-02-10 1859 KX7L          599 0099   K7SCX         599 0388
QSO: 14089 RY 2018-02-10 1907 KX7L          599 0100   W2GS          599 0188
QSO:  7036 RY 2018-02-11 0223 KX7L          599 0101   W7MRF         599 1372
QSO:  7044 RY 2018-02-11 0227 KX7L          599 0102   WA6I          599 0220
QSO:  7045 RY 2018-02-11 0228 KX7L          599 0103   KE1B          599 0529
QSO:  7055 RY 2018-02-11 0231 KX7L          599 0104   W8JWN         599 0387
QSO:  7060 RY 2018-02-11 0232 KX7L          599 0105   WQ6K          599 0947
QSO:  7070 RY 2018-02-11 0234 KX7L          599 0106   KO6WU         599 0334
QSO:  7081 RY 2018-02-11 0237 KX7L          599 0107   VE7IO         599 0145
QSO:  7084 RY 2018-02-11 0238 KX7L          599 0108   W4PK          599 0968
QSO:  7085 RY 2018-02-11 0240 KX7L          599 0109   KF5VRD        599 0488
QSO:  7087 RY 2018-02-11 0241 KX7L          599 0110   VE7CC         599 1164
