START-OF-LOG: 3.0
CALLSIGN: NT0F
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 336428
NAME: Don Steele
LOCATION: IA
OPERATORS: NT0F
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6059.0
QSO: 14081 RY 2017-02-11 1527 NT0F          599 0001   IV3SKB        599 0693
QSO: 21081 RY 2017-02-11 1528 NT0F          599 0002   ON7TK         599 0178
QSO: 14084 RY 2017-02-11 1533 NT0F          599 0005   CG6AO         599 0290
QSO: 14084 RY 2017-02-11 1533 NT0F          599 0006   AA2MF         599 0038
QSO: 14085 RY 2017-02-11 1534 NT0F          599 0007   AJ4F          599 0061
QSO: 14086 RY 2017-02-11 1536 NT0F          599 0008   WA1BXY        599 0113
QSO: 21092 RY 2017-02-11 1537 NT0F          599 0004   DP7D          599 0131
QSO: 21092 RY 2017-02-11 1539 NT0F          599 0009   EA8DED        599 0839
QSO: 14089 RY 2017-02-11 1543 NT0F          599 0010   DL70DSH       599 0245
QSO: 14090 RY 2017-02-11 1545 NT0F          599 0011   HR5/F2JD      599 0063
QSO: 21098 RY 2017-02-11 1548 NT0F          599 0012   TG9IIN        599 0088
QSO: 14092 RY 2017-02-11 1549 NT0F          599 0013   NE3F          599 0111
QSO: 21100 RY 2017-02-11 1550 NT0F          599 0014   YT8A          599 0173
QSO: 14093 RY 2017-02-11 1552 NT0F          599 0016   KY7M          599 0177
QSO: 21101 RY 2017-02-11 1552 NT0F          599 0015   DL70DSH       599 0095
QSO: 21106 RY 2017-02-11 1556 NT0F          599 0017   DH8BQA        599 0040
QSO: 14096 RY 2017-02-11 1557 NT0F          599 0018   ES5Q          599 0304
QSO: 14097 RY 2017-02-11 1558 NT0F          599 0019   M2G           599 0422
QSO: 14099 RY 2017-02-11 1600 NT0F          599 0020   EA6VQ         599 0570
QSO: 21123 RY 2017-02-11 1603 NT0F          599 0021   HC1JQ         599 0025
QSO: 14100 RY 2017-02-11 1604 NT0F          599 0022   KI6VC         599 0395
QSO: 21114 RY 2017-02-11 1605 NT0F          599 0023   V31VP         599 0538
QSO: 21112 RY 2017-02-11 1607 NT0F          599 0024   ZX2V          599 0418
QSO: 14101 RY 2017-02-11 1608 NT0F          599 0025   N7QT          599 0484
QSO: 21101 RY 2017-02-11 1610 NT0F          599 0026   EA1WS         599 0023
QSO: 14102 RY 2017-02-11 1610 NT0F          599 0027   P49X          599 1509
QSO: 14104 RY 2017-02-11 1616 NT0F          599 0028   N2HMM         599 0175
QSO: 14105 RY 2017-02-11 1618 NT0F          599 0029   VE2ZT         599 0212
QSO: 21091 RY 2017-02-11 1619 NT0F          599 0030   CR3A          599 0512
QSO: 14107 RY 2017-02-11 1621 NT0F          599 0031   AE7VA         599 0269
QSO: 21086 RY 2017-02-11 1622 NT0F          599 0032   EA1AKS        599 0584
QSO: 14107 RY 2017-02-11 1623 NT0F          599 0033   AA3B          599 1147
QSO: 14108 RY 2017-02-11 1624 NT0F          599 0034   AG6AU         599 0011
QSO: 21083 RY 2017-02-11 1625 NT0F          599 0035   LX7I          599 0295
QSO: 14108 RY 2017-02-11 1626 NT0F          599 0036   K1SM          599 0178
QSO: 14110 RY 2017-02-11 1629 NT0F          599 0037   NY4I          599 0704
QSO: 14110 RY 2017-02-11 1631 NT0F          599 0038   OZ11A         599 0594
QSO: 14110 RY 2017-02-11 1649 NT0F          599 0039   VA2ES         599 0322
QSO: 14112 RY 2017-02-11 1650 NT0F          599 0040   VE6BBP        599 0038
QSO: 21084 RY 2017-02-11 1651 NT0F          599 0041   EF1A          599 0647
QSO: 14113 RY 2017-02-11 1651 NT0F          599 0042   W4UEF         599 0352
QSO: 21086 RY 2017-02-11 1653 NT0F          599 0043   P49X          599 1609
QSO: 14114 RY 2017-02-11 1653 NT0F          599 0044   N3QE          599 0749
QSO: 14115 RY 2017-02-11 1654 NT0F          599 0045   DF0WRTC       599 0384
QSO: 14115 RY 2017-02-11 1655 NT0F          599 0046   OK3VM         599 0477
QSO: 14117 RY 2017-02-11 1657 NT0F          599 0047   N5KWN         599 0236
QSO: 14117 RY 2017-02-11 1657 NT0F          599 0048   OZ2TF         599 0242
QSO: 21102 RY 2017-02-11 1659 NT0F          599 0049   PY2NY         599 0321
QSO: 14124 RY 2017-02-11 1705 NT0F          599 0050   OO7P          599 0224
QSO: 14126 RY 2017-02-11 1706 NT0F          599 0051   W3RGA         599 0282
QSO: 14130 RY 2017-02-11 1707 NT0F          599 0052   K7LFY         599 0248
QSO: 21107 RY 2017-02-11 1709 NT0F          599 0053   IK0YUT        599 0072
QSO: 14132 RY 2017-02-11 1710 NT0F          599 0054   NT1K          599 0188
QSO: 14134 RY 2017-02-11 1711 NT0F          599 0055   SM6NOC        599 0477
QSO: 21105 RY 2017-02-11 1711 NT0F          599 0056   IK0PRP        599 0229
QSO: 14136 RY 2017-02-11 1712 NT0F          599 0057   N3ALN         599 0164
QSO: 14141 RY 2017-02-11 1714 NT0F          599 0058   M0A           599 0461
QSO: 21097 RY 2017-02-11 1715 NT0F          599 0059   K6SRZ         599 0067
QSO: 14142 RY 2017-02-11 1716 NT0F          599 0060   WE6EZ         599 0282
QSO: 14144 RY 2017-02-11 1717 NT0F          599 0061   KH6ZM         599 0442
QSO: 14082 RY 2017-02-11 1728 NT0F          599 0062   KP4ED         599 0012
QSO: 21088 RY 2017-02-11 1734 NT0F          599 0063   AF6SA         599 0313
QSO: 14096 RY 2017-02-11 1736 NT0F          599 0064   ED1A          599 0692
QSO: 21084 RY 2017-02-11 1740 NT0F          599 0065   PZ5RA         599 0610
QSO: 14100 RY 2017-02-11 1741 NT0F          599 0066   IQ6AN         599 1064
QSO: 21082 RY 2017-02-11 1742 NT0F          599 0067   KA6BIM        599 0610
QSO: 14102 RY 2017-02-11 1743 NT0F          599 0068   EA1DR         599 0037
QSO: 14103 RY 2017-02-11 1744 NT0F          599 0069   ON5GQ         599 0445
QSO: 14104 RY 2017-02-11 1745 NT0F          599 0070   W3JX          599 0239
QSO: 14106 RY 2017-02-11 1747 NT0F          599 0071   IQ2CJ         599 0387
QSO: 21086 RY 2017-02-11 1748 NT0F          599 0072   WC7Q          599 0354
QSO: 14109 RY 2017-02-11 1749 NT0F          599 0073   W3FV          599 0824
QSO: 14109 RY 2017-02-11 1752 NT0F          599 0074   DL5AXX        599 0081
QSO: 21088 RY 2017-02-11 1754 NT0F          599 0075   LU7HN         599 0015
QSO: 21094 RY 2017-02-11 1756 NT0F          599 0076   N7DED         599 0060
QSO: 14111 RY 2017-02-11 1757 NT0F          599 0077   DP7D          599 0519
QSO: 14112 RY 2017-02-11 1758 NT0F          599 0078   KF2O          599 0638
QSO: 21095 RY 2017-02-11 1759 NT0F          599 0079   PJ6T          599 0503
QSO: 21096 RY 2017-02-11 1759 NT0F          599 0080   KK7PR         599 0235
QSO: 14113 RY 2017-02-11 1801 NT0F          599 0081   WQ6X          599 0210
QSO: 21096 RY 2017-02-11 1801 NT0F          599 0082   AG6AU         599 0025
QSO: 21102 RY 2017-02-11 1803 NT0F          599 0083   WO7V          599 0389
QSO: 14118 RY 2017-02-11 1806 NT0F          599 0084   W3MJ          599 0768
QSO: 14118 RY 2017-02-11 1807 NT0F          599 0085   NG1R          599 0505
QSO: 14119 RY 2017-02-11 1808 NT0F          599 0086   K3MD          599 0405
QSO: 21111 RY 2017-02-11 1825 NT0F          599 0087   NF6A          599 0246
QSO: 14121 RY 2017-02-11 1827 NT0F          599 0088   N1KEZ         599 0182
QSO: 14122 RY 2017-02-11 1830 NT0F          599 0089   V31VP         599 0729
QSO: 21106 RY 2017-02-11 1831 NT0F          599 0090   LT0H          599 0393
QSO: 14133 RY 2017-02-11 1833 NT0F          599 0091   CG6WQ         599 0217
QSO: 14128 RY 2017-02-11 1837 NT0F          599 0092   K2MK          599 0068
QSO: 14127 RY 2017-02-11 1838 NT0F          599 0093   8P50B         599 0099
QSO: 21081 RY 2017-02-11 1840 NT0F          599 0094   V31GW         599 0087
QSO: 14129 RY 2017-02-11 1847 NT0F          599 0095   9A1A          599 0755
QSO: 21082 RY 2017-02-11 1848 NT0F          599 0096   WR5J          599 0539
