START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.5.0
CONTEST: CQ-WW-CW
LOCATION: DX
CALLSIGN: BA7IO
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 98280
OPERATORS:
NAME:
SOAPBOX:
QSO:  7006 CW 2010-11-27 0028 BA7IO         599 24     EF8M          599 33
QSO:  7013 CW 2010-11-27 0033 BA7IO         599 24     RZ0SR         599 18
QSO: 21002 CW 2010-11-27 0037 BA7IO         599 24     JN1KWR        599 25
QSO: 21002 CW 2010-11-27 0046 BA7IO         599 24     VK3FM         599 30
QSO: 21002 CW 2010-11-27 0047 BA7IO         599 24     JR2TRC        599 25
QSO: 21002 CW 2010-11-27 0048 BA7IO         599 24     PX2A          599 11
QSO: 21002 CW 2010-11-27 0048 BA7IO         599 24     JM3QML        599 25
QSO: 21002 CW 2010-11-27 0048 BA7IO         599 24     JI3OGI        599 25
QSO: 21002 CW 2010-11-27 0049 BA7IO         599 24     JH1OLB        599 25
QSO: 21002 CW 2010-11-27 0049 BA7IO         599 24     JA0KJE        599 25
QSO: 21002 CW 2010-11-27 0050 BA7IO         599 24     VK4AN         599 30
QSO: 21002 CW 2010-11-27 0051 BA7IO         599 24     9M6XRO        599 28
QSO: 21002 CW 2010-11-27 0052 BA7IO         599 24     KH6CO         599 31
QSO: 21002 CW 2010-11-27 0052 BA7IO         599 24     JH9KVF        599 25
QSO: 21002 CW 2010-11-27 0053 BA7IO         599 24     JI4HKA        599 25
QSO: 21002 CW 2010-11-27 0054 BA7IO         599 24     JA7GAX        599 25
QSO: 21002 CW 2010-11-27 0054 BA7IO         599 24     RW0LT         599 19
QSO: 21002 CW 2010-11-27 0054 BA7IO         599 24     JQ1NGT        599 25
QSO: 21002 CW 2010-11-27 0055 BA7IO         599 24     JA1CC         599 25
QSO: 21002 CW 2010-11-27 0056 BA7IO         599 24     N7BV          599  3
QSO: 21002 CW 2010-11-27 0058 BA7IO         599 24     JA3JM         599 25
QSO: 21002 CW 2010-11-27 0058 BA7IO         599 24     JI3BFC        599 25
QSO: 21002 CW 2010-11-27 0059 BA7IO         599 24     JE4MHL        599 25
QSO: 21002 CW 2010-11-27 0101 BA7IO         599 24     JJ3OFL        599 25
QSO: 21002 CW 2010-11-27 0103 BA7IO         599 24     VK4BUI        599 30
QSO: 21002 CW 2010-11-27 0103 BA7IO         599 24     JJ5GWP        599 25
QSO: 21002 CW 2010-11-27 0103 BA7IO         599 24     JA4XHF/3      599 25
QSO: 21002 CW 2010-11-27 0104 BA7IO         599 24     JA5DQH        599 25
QSO: 21002 CW 2010-11-27 0104 BA7IO         599 24     JA7ACM        599 25
QSO: 21002 CW 2010-11-27 0105 BA7IO         599 24     JA1BJI        599 25
QSO: 21002 CW 2010-11-27 0105 BA7IO         599 24     JE2HXL        599 25
QSO: 21002 CW 2010-11-27 0105 BA7IO         599 24     JE1CKA        599 25
QSO: 21002 CW 2010-11-27 0106 BA7IO         599 24     ZX5J          599 11
QSO: 21002 CW 2010-11-27 0106 BA7IO         599 24     JA7AEM        599 25
QSO: 21002 CW 2010-11-27 0107 BA7IO         599 24     9M2JKL        599 28
QSO: 21002 CW 2010-11-27 0107 BA7IO         599 24     JR2FJC        599 25
QSO: 21002 CW 2010-11-27 0108 BA7IO         599 24     JF3BFS        599 25
QSO: 21002 CW 2010-11-27 0108 BA7IO         599 24     JA3JOT        599 25
QSO: 21002 CW 2010-11-27 0108 BA7IO         599 24     JA0CVC        599 25
QSO: 21002 CW 2010-11-27 0109 BA7IO         599 24     JS1KQQ        599 25
QSO: 28009 CW 2010-11-27 0151 BA7IO         599 24     JR1CJD        599 25     0
QSO: 28009 CW 2010-11-27 0151 BA7IO         599 24     JH1RNI        599 25     0
QSO: 28009 CW 2010-11-27 0151 BA7IO         599 24     JA1VLK        599 25     0
QSO: 28009 CW 2010-11-27 0152 BA7IO         599 24     JL1QOC        599 25     0
QSO: 28009 CW 2010-11-27 0153 BA7IO         599 24     JA7OXR        599 25     0
QSO: 28009 CW 2010-11-27 0153 BA7IO         599 24     JF1KWG        599 25     0
QSO: 28009 CW 2010-11-27 0154 BA7IO         599 24     7J1YAJ        599 25     0
QSO: 28009 CW 2010-11-27 0154 BA7IO         599 24     JG1OWV        599 25     0
QSO: 28009 CW 2010-11-27 0154 BA7IO         599 24     JA1WHG        599 25     0
QSO: 28009 CW 2010-11-27 0155 BA7IO         599 24     JA7IC         599 25     0
QSO: 28009 CW 2010-11-27 0155 BA7IO         599 24     JG1TVK        599 25     0
QSO: 28023 CW 2010-11-27 0211 BA7IO         599 24     NH2T          599 27     0
QSO: 28036 CW 2010-11-27 0255 BA7IO         599 24     ZL8X          599 32     0
QSO: 28017 CW 2010-11-27 0700 BA7IO         599 24     UA6GR         599 16     0
QSO: 28017 CW 2010-11-27 0700 BA7IO         599 24     UA6YW         599 16     0
QSO: 28017 CW 2010-11-27 0701 BA7IO         599 24     R7AY          599 16     0
QSO: 28017 CW 2010-11-27 0702 BA7IO         599 24     LZ1NG         599 20     0
QSO: 28017 CW 2010-11-27 0703 BA7IO         599 24     UV2L          599 16     0
QSO: 28017 CW 2010-11-27 0703 BA7IO         599 24     UT7IL         599 16     0
QSO: 28017 CW 2010-11-27 0704 BA7IO         599 24     R7NA          599 16     0
QSO: 28017 CW 2010-11-27 0704 BA7IO         599 24     RO7M          599 16     0
QSO: 28017 CW 2010-11-27 0705 BA7IO         599 24     UA6AK         599 16     0
QSO: 28017 CW 2010-11-27 0705 BA7IO         599 24     UA4ALI        599 16     0
QSO: 28017 CW 2010-11-27 0706 BA7IO         599 24     4K8M          599 21     0
QSO: 28017 CW 2010-11-27 0706 BA7IO         599 24     RM6F          599 16     0
QSO: 28017 CW 2010-11-27 0706 BA7IO         599 24     EM7L          599 16     0
QSO: 28017 CW 2010-11-27 0707 BA7IO         599 24     RT6A          599 16     0
QSO: 28017 CW 2010-11-27 0707 BA7IO         599 24     US8IB         599 16     0
QSO: 28017 CW 2010-11-27 0708 BA7IO         599 24     YO4AUL        599 20     0
QSO: 28017 CW 2010-11-27 0708 BA7IO         599 24     UX8IR         599 16     0
QSO: 28017 CW 2010-11-27 0710 BA7IO         599 24     UC6A          599 16     0
QSO: 28017 CW 2010-11-27 0711 BA7IO         599 24     UX3MF         599 16     0
QSO: 28017 CW 2010-11-27 0711 BA7IO         599 24     RL6M          599 16     0
QSO: 28017 CW 2010-11-27 0713 BA7IO         599 24     RA6GW         599 16     0
QSO: 28017 CW 2010-11-27 0714 BA7IO         599 24     UY5ZI         599 16     0
QSO: 28017 CW 2010-11-27 0714 BA7IO         599 24     UU6JJ         599 16     0
QSO: 28017 CW 2010-11-27 0716 BA7IO         599 24     YT1W          599 15     0
QSO: 28017 CW 2010-11-27 0716 BA7IO         599 24     UX5MZ         599 16     0
QSO: 28017 CW 2010-11-27 0716 BA7IO         599 24     RA6FUZ        599 16     0
QSO: 28017 CW 2010-11-27 0720 BA7IO         599 24     JA6WIF        599 25     0
QSO: 28017 CW 2010-11-27 0720 BA7IO         599 24     UT2FA         599 16     0
QSO: 28017 CW 2010-11-27 0723 BA7IO         599 24     UA6LPN        599 16     0
QSO: 28017 CW 2010-11-27 0725 BA7IO         599 24     RW6AMP        599 16     0
QSO: 28017 CW 2010-11-27 0727 BA7IO         599 24     VU2PAI        599 22     0
