START-OF-LOG: 3.0
CREATED-BY: LM Version 4.8 (c) 1992, 2012 by DL8WAA
LOCATION: DX
CONTEST: CQ-WW-CW
CALLSIGN: DK4WF
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CLAIMED-SCORE: 108216
OPERATORS: DK4WF
NAME: Bernd (Ben) Najork
SOAPBOX: I herby certify that in this contest I have operated by my transmitter
SOAPBOX: within the limitation of my licence and that I have observed fully the
SOAPBOX: rules and regulation of the contest. All the databases in my log are
SOAPBOX: true. I confirm this..Vy 73 best DX, cugagn..  de Ben DK4WF
QSO: 28000 CW 2012-11-24 0708 DK4WF         599 14     9A4M          599 15     0
QSO: 21000 CW 2012-11-24 0719 DK4WF         599 14     7P8D          599 38     0
QSO: 21000 CW 2012-11-24 0721 DK4WF         599 14     9H3TX         599 15     0
QSO:  7000 CW 2012-11-24 0727 DK4WF         599 14     Z60WW         599 15     0
QSO:  7000 CW 2012-11-24 0734 DK4WF         599 14     OK1FZM        599 15     0
QSO: 28000 CW 2012-11-24 0743 DK4WF         599 14     VR2ZQZ        599 24     0
QSO: 28000 CW 2012-11-24 0744 DK4WF         599 14     YP9W          599 20     0
QSO: 28000 CW 2012-11-24 0745 DK4WF         599 14     S50G          599 15     0
QSO: 28000 CW 2012-11-24 0757 DK4WF         599 14     UP8G          599 17     0
QSO: 28000 CW 2012-11-24 0801 DK4WF         599 14     7P8D          599 38     0
QSO: 28000 CW 2012-11-24 0802 DK4WF         599 14     UA9R          599 17     0
QSO: 28000 CW 2012-11-24 0804 DK4WF         599 14     OK5W          599 15     0
QSO: 28000 CW 2012-11-24 0821 DK4WF         599 14     UA0YAY        599 23     0
QSO: 28000 CW 2012-11-24 0830 DK4WF         599 14     R20BIS        599 16     0
QSO: 28000 CW 2012-11-24 0831 DK4WF         599 14     RA9SO         599 16     0
QSO: 28000 CW 2012-11-24 0845 DK4WF         599 14     ZD8W          599 36     0
QSO: 28000 CW 2012-11-24 0901 DK4WF         599 14     OK2PDT        599 15     0
QSO: 21000 CW 2012-11-24 0911 DK4WF         599 14     UR6IJ         599 16     0
QSO: 21000 CW 2012-11-24 0914 DK4WF         599 14     BD7DX         599 24     0
QSO: 21000 CW 2012-11-24 0915 DK4WF         599 14     NL7G          599 01     0
QSO: 21000 CW 2012-11-24 0919 DK4WF         599 14     B4R           599 24     0
QSO: 14000 CW 2012-11-24 0921 DK4WF         599 14     Z38N          599 15     0
QSO: 21000 CW 2012-11-24 0930 DK4WF         599 14     Z38N          599 15     0
QSO: 21000 CW 2012-11-24 0933 DK4WF         599 14     OE2BZL        599 15     0
QSO: 21000 CW 2012-11-24 0936 DK4WF         599 14     UA9LAO/4      599 16     0
QSO: 28000 CW 2012-11-24 0939 DK4WF         599 14     ZM4M          599 32     0
QSO: 28000 CW 2012-11-24 0942 DK4WF         599 14     RV4AB         599 16     0
QSO: 28000 CW 2012-11-24 0946 DK4WF         599 14     E2E           599 26     0
QSO: 28000 CW 2012-11-24 0949 DK4WF         599 14     RY6Y          599 16     0
QSO: 28000 CW 2012-11-24 1029 DK4WF         599 14     CT7AEQ        599 14     0
QSO: 28000 CW 2012-11-24 1032 DK4WF         599 14     VK2NU         599 30     0
QSO: 28000 CW 2012-11-24 1048 DK4WF         599 14     9Y4/DL7VOG    599 09     0
QSO: 28000 CW 2012-11-24 1049 DK4WF         599 14     UA4W          599 16     0
QSO: 28000 CW 2012-11-24 1051 DK4WF         599 14     ED4O          599 14     0
QSO: 28000 CW 2012-11-24 1052 DK4WF         599 14     RT7T          599 16     0
QSO: 28000 CW 2012-11-24 1055 DK4WF         599 14     OH0V          599 15     0
QSO: 28000 CW 2012-11-24 1055 DK4WF         599 14     OZ4O          599 14     0
QSO: 28000 CW 2012-11-24 1059 DK4WF         599 14     UK9AA         599 17     0
QSO: 28000 CW 2012-11-24 1100 DK4WF         599 14     EF8X          599 33     0
QSO: 21000 CW 2012-11-24 1202 DK4WF         599 14     P40F          599 09     0
QSO: 21000 CW 2012-11-24 1206 DK4WF         599 14     RK3R          599 16     0
QSO: 21000 CW 2012-11-24 1211 DK4WF         599 14     RO2E          599 16     0
QSO: 21000 CW 2012-11-24 1213 DK4WF         599 14     EF5X          599 14     0
QSO: 28000 CW 2012-11-24 1222 DK4WF         599 14     EA4RCH        599 14     0
