START-OF-LOG: 3.0
LOCATION: NFL
CALLSIGN: K2PS
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 10M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 473264
CLUB: Florida Contest Group
CONTEST: CQ-WW-CW
CREATED-BY: WriteLog V10.77H
NAME: Pete Stafford
OPERATORS: K2PS
SOAPBOX: What fabulous conditions!  The morning EU runs were
SOAPBOX: terrific - I was even called by BZ4DHI during the Saturday
SOAPBOX: morning open.  Pretty sure I never worked so many JAs
SOAPBOX: in one contest on 10.  Even got a few to answer my
SOAPBOX: CQs.
SOAPBOX:
SOAPBOX: Antenna was 4 element 10M yagi, up 20 feet in restricted community.
SOAPBOX:
SOAPBOX: Pete, K2PS/4
QSO: 28039 CW 2014-11-29 0005 K2PS          599     05 KH6LC         599     31
QSO: 28040 CW 2014-11-29 0006 K2PS          599     05 KH7XX         599     31
QSO: 28049 CW 2014-11-29 0007 K2PS          599     05 KH7M          599     31
QSO: 28050 CW 2014-11-29 0008 K2PS          599     05 VK4KW         599     30
QSO:  7058 CW 2014-11-29 0701 K2PS          599     05 P40W          599      9
QSO:  7059 CW 2014-11-29 0702 K2PS          599     05 EA5KA         599     14
QSO:  7060 CW 2014-11-29 0703 K2PS          599     05 DD1A          599     14
QSO:  7062 CW 2014-11-29 0704 K2PS          599     05 VE1RSM        599      5
QSO:  7066 CW 2014-11-29 0706 K2PS          599     05 TO7A          599     08
QSO:  7069 CW 2014-11-29 0708 K2PS          599     05 YL2SW         599     15
QSO:  7075 CW 2014-11-29 0709 K2PS          599     05 S50A          599     15
QSO:  7077 CW 2014-11-29 0712 K2PS          599     05 OZ1IKY        599     14
QSO:  7081 CW 2014-11-29 0713 K2PS          599     05 LY4A          599     15
QSO: 14011 CW 2014-11-29 0715 K2PS          599     05 RT4F          599     16
QSO: 14050 CW 2014-11-29 0719 K2PS          599     05 CN2AA         599     33
QSO:  3512 CW 2014-11-29 0721 K2PS          599     05 N2WQ/VE3      599      4
QSO:  3536 CW 2014-11-29 0723 K2PS          599     05 VE3BZ         599      4
QSO:  7047 CW 2014-11-29 0727 K2PS          599     05 DL1IAO        599     14
QSO:  7042 CW 2014-11-29 0727 K2PS          599     05 YT7A          599     15
QSO:  7041 CW 2014-11-29 0728 K2PS          599     05 EA5RS         599     14
QSO:  7040 CW 2014-11-29 0730 K2PS          599     05 HG7T          599     15
