START-OF-LOG: 3.0
CALLSIGN: PZ5V
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: TWO
CATEGORY-OVERLAY:
CLAIMED-SCORE: 19476758
NAME: Ned Stearns
LOCATION: DX
OPERATORS: AA7A, G4IRN, N4QS, N7CW, KY7M
CLUB: 3/5 ARIZONA OUTLAWS CONTEST CLUB, 1/5 WEY VALLEY AMATEUR RADIO GROUP
CERTIFICATE: NO
CREATED-BY: Win-Test 4.23.0
QSO: 14030 CW 2016-11-26 0000 PZ5V          599 09     K3TC          599 05     0
QSO:  7031 CW 2016-11-26 0000 PZ5V          599 09     K5TF          599 05     1
QSO: 14030 CW 2016-11-26 0001 PZ5V          599 09     JI8XLD        599 25     0
QSO: 14030 CW 2016-11-26 0001 PZ5V          599 09     N2SQ          599 05     0
QSO: 14030 CW 2016-11-26 0001 PZ5V          599 09     WA6KHK        599 03     0
QSO: 14030 CW 2016-11-26 0002 PZ5V          599 09     K1AR          599 05     0
QSO: 14030 CW 2016-11-26 0002 PZ5V          599 09     K1LT          599 04     0
QSO:  7031 CW 2016-11-26 0002 PZ5V          599 09     K1SWL         599 05     1
QSO:  7031 CW 2016-11-26 0002 PZ5V          599 09     RU6K          599 16     1
QSO:  7031 CW 2016-11-26 0003 PZ5V          599 09     CX7ACH        599 13     1
QSO: 14030 CW 2016-11-26 0003 PZ5V          599 09     K9IMM         599 04     0
QSO:  7031 CW 2016-11-26 0003 PZ5V          599 09     N2MM          599 05     1
QSO:  7031 CW 2016-11-26 0003 PZ5V          599 09     N3AM          599 05     1
QSO: 14030 CW 2016-11-26 0003 PZ5V          599 09     VE2FK         599 05     0
QSO: 14030 CW 2016-11-26 0003 PZ5V          599 09     VE3EJ         599 04     0
QSO: 14030 CW 2016-11-26 0003 PZ5V          599 09     WE9V          599 04     0
QSO: 14030 CW 2016-11-26 0004 PZ5V          599 09     K0AD          599 04     0
QSO:  7031 CW 2016-11-26 0004 PZ5V          599 09     KE4KY         599 04     1
QSO:  7031 CW 2016-11-26 0004 PZ5V          599 09     NS3T          599 05     1
QSO:  7031 CW 2016-11-26 0004 PZ5V          599 09     UT2II         599 16     1
QSO: 14030 CW 2016-11-26 0004 PZ5V          599 09     W0VX          599 04     0
QSO: 14030 CW 2016-11-26 0004 PZ5V          599 09     W7SW          599 03     0
QSO: 14030 CW 2016-11-26 0005 PZ5V          599 09     K6TA          599 03     0
QSO:  7031 CW 2016-11-26 0005 PZ5V          599 09     K8AZ          599 04     1
QSO: 14030 CW 2016-11-26 0005 PZ5V          599 09     KP4JFR        599 08     0
QSO: 14030 CW 2016-11-26 0005 PZ5V          599 09     N8II          599 05     0
QSO:  7031 CW 2016-11-26 0005 PZ5V          599 09     NA3M          599 05     1
QSO:  7031 CW 2016-11-26 0005 PZ5V          599 09     NG0T          599 04     1
QSO:  7031 CW 2016-11-26 0005 PZ5V          599 09     W1NT          599 05     1
QSO: 14030 CW 2016-11-26 0005 PZ5V          599 09     WE3C          599 05     0
QSO: 14030 CW 2016-11-26 0006 PZ5V          599 09     CO8ZZ         599 08     0
QSO: 14030 CW 2016-11-26 0006 PZ5V          599 09     K0KX          599 04     0
QSO:  7031 CW 2016-11-26 0006 PZ5V          599 09     K4TCG         599 04     1
QSO: 14030 CW 2016-11-26 0006 PZ5V          599 09     N6WM          599 03     0
QSO:  7031 CW 2016-11-26 0006 PZ5V          599 09     W6UM          599 03     1
QSO: 14030 CW 2016-11-26 0007 PZ5V          599 09     K2TER         599 05     0
QSO: 14030 CW 2016-11-26 0007 PZ5V          599 09     W3UA          599 05     0
QSO:  7031 CW 2016-11-26 0007 PZ5V          599 09     WG0M          599 04     1
QSO: 14030 CW 2016-11-26 0008 PZ5V          599 09     K2LE          599 05     0
QSO: 14030 CW 2016-11-26 0008 PZ5V          599 09     KF2OG         599 05     0
QSO: 14030 CW 2016-11-26 0008 PZ5V          599 09     N5AW          599 04     0
