START-OF-LOG: 3.0
CALLSIGN: SP2WGB
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 21828
NAME: STANISLAW
LOCATION: DX
OPERATORS: SP2WGB
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5988.0
SOAPBOX: trx 100w ant GP on balcony and LW 27m/80m,160m band
QSO:  7007 CW 2016-11-26 0427 SP2WGB        599 15     SV1BJW        599 20
QSO:  7011 CW 2016-11-26 0429 SP2WGB        599 15     EA2EA         599 14
QSO:  7012 CW 2016-11-26 0432 SP2WGB        599 15     HA8FM         599 15
QSO:  3514 CW 2016-11-26 0441 SP2WGB        599 15     CN2AA         599 33
QSO:  3532 CW 2016-11-26 0448 SP2WGB        599 15     C4W           599 20
QSO:  3524 CW 2016-11-26 2252 SP2WGB        599 15     HG1S          599 15
QSO:  3516 CW 2016-11-26 2259 SP2WGB        599 15     IH9R          599 33
QSO:  3504 CW 2016-11-26 2307 SP2WGB        599 15     UN7LAN        599 17
QSO:  3508 CW 2016-11-26 2308 SP2WGB        599 15     CS2C          599 14
QSO:  3504 CW 2016-11-27 0034 SP2WGB        599 15     CN2R          599 33
QSO:  3549 CW 2016-11-27 0621 SP2WGB        599 15     TM1A          599 14
QSO:  3547 CW 2016-11-27 0622 SP2WGB        599 15     DR5E          599 14
QSO:  3554 CW 2016-11-27 0624 SP2WGB        599 15     CR3W          599 33
QSO:  3557 CW 2016-11-27 0631 SP2WGB        599 15     4O4A          599 15
QSO:  3560 CW 2016-11-27 0637 SP2WGB        599 15     PA3AAV        599 14
QSO:  3540 CW 2016-11-27 0642 SP2WGB        599 15     W1KM          599 05
QSO:  3504 CW 2016-11-27 0659 SP2WGB        599 15     M2X           599 14
QSO:  3500 CW 2016-11-27 0702 SP2WGB        599 15     MD4K          599 14
