START-OF-LOG: 3.0
CALLSIGN: OP6AT
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 72660
NAME: Patrick Elyn
LOCATION: DX
OPERATORS: ON6AT
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: FT-950 40w - ant R8 vert + W8010 Dip
QSO: 28036 CW 2017-11-25 1147 OP6AT         599 14     IB9T          599 15
QSO: 21001 CW 2017-11-25 1154 OP6AT         599 14     P33W          599 20
QSO: 21002 CW 2017-11-25 1156 OP6AT         599 14     4X6FR         599 20
QSO: 21004 CW 2017-11-25 1238 OP6AT         599 14     PX2A          599 11
QSO: 21022 CW 2017-11-25 1309 OP6AT         599 14     N4BP          599 05
QSO: 21025 CW 2017-11-25 1314 OP6AT         599 14     K1TTT         599 05
QSO: 21025 CW 2017-11-25 1352 OP6AT         599 14     PJ4Y          599 09
QSO: 21026 CW 2017-11-25 1353 OP6AT         599 14     N3RS          599 05
QSO: 21027 CW 2017-11-25 1358 OP6AT         599 14     NN3Q          599 05
QSO: 21029 CW 2017-11-25 1400 OP6AT         599 14     K0EJ          599 04
QSO: 21030 CW 2017-11-25 1402 OP6AT         599 14     W4RM          599 05
QSO: 21033 CW 2017-11-25 1403 OP6AT         599 14     N1LN          599 05
QSO: 21044 CW 2017-11-25 1406 OP6AT         599 14     IB9T          599 15
QSO: 21046 CW 2017-11-25 1407 OP6AT         599 14     V47T          599 08
QSO: 21047 CW 2017-11-25 1419 OP6AT         599 14     6Y0W          599 08
QSO: 21055 CW 2017-11-25 1421 OP6AT         599 14     EF8U          599 33
QSO: 21000 CW 2017-11-25 1517 OP6AT         599 14     KC1XX         599 05
QSO: 21000 CW 2017-11-25 1518 OP6AT         599 14     N1UR          599 05
QSO: 21001 CW 2017-11-25 1519 OP6AT         599 14     KV2K          599 05
QSO: 21002 CW 2017-11-25 1519 OP6AT         599 14     K3WW          599 05
QSO: 21003 CW 2017-11-25 1520 OP6AT         599 14     K3LR          599 05
QSO: 21004 CW 2017-11-25 1526 OP6AT         599 14     W3UA          599 05
QSO: 21005 CW 2017-11-25 1528 OP6AT         599 14     WC1M          599 05
QSO: 21005 CW 2017-11-25 1531 OP6AT         599 14     W2FU          599 05
QSO: 21006 CW 2017-11-25 1533 OP6AT         599 14     NR4M          599 05
QSO: 21006 CW 2017-11-25 1534 OP6AT         599 14     KU2M          599 05
QSO: 21007 CW 2017-11-25 1536 OP6AT         599 14     W4SO          599 05
QSO: 21007 CW 2017-11-25 1537 OP6AT         599 14     W3LPL         599 05
QSO: 21008 CW 2017-11-25 1537 OP6AT         599 14     KF3B          599 05
QSO: 21010 CW 2017-11-25 1543 OP6AT         599 14     K2AX          599 05
QSO: 21011 CW 2017-11-25 1544 OP6AT         599 14     N2NT          599 05
QSO: 14001 CW 2017-11-25 1601 OP6AT         599 14     W3LPL         599 05
QSO: 14003 CW 2017-11-25 1602 OP6AT         599 14     NR4M          599 05
QSO: 14005 CW 2017-11-25 1604 OP6AT         599 14     HA7GN         599 15
QSO: 14007 CW 2017-11-25 1608 OP6AT         599 14     J5T           599 35
QSO: 14008 CW 2017-11-25 1609 OP6AT         599 14     KQ2M          599 05
QSO:  7002 CW 2017-11-25 1820 OP6AT         599 14     YT1HA         599 15
QSO:  7004 CW 2017-11-25 1824 OP6AT         599 14     YR5N          599 20
QSO:  7005 CW 2017-11-25 1825 OP6AT         599 14     UX4U          599 16
QSO:  7006 CW 2017-11-25 1848 OP6AT         599 14     YR9F          599 20
QSO:  7007 CW 2017-11-25 1849 OP6AT         599 14     EW8W          599 16
QSO:  7008 CW 2017-11-25 1850 OP6AT         599 14     UT6UD         599 16
QSO:  7008 CW 2017-11-25 1851 OP6AT         599 14     CT9/OM3BH     599 33
QSO:  7011 CW 2017-11-25 1854 OP6AT         599 14     US1Q          599 16
QSO:  7011 CW 2017-11-25 1855 OP6AT         599 14     HG7T          599 15
QSO:  7012 CW 2017-11-25 1856 OP6AT         599 14     9A3AG         599 15
QSO:  7014 CW 2017-11-25 1858 OP6AT         599 14     RT3F          599 16
QSO:  7014 CW 2017-11-25 1859 OP6AT         599 14     CR5T          599 14
QSO:  7015 CW 2017-11-25 1900 OP6AT         599 14     YU2A          599 15
QSO:  7020 CW 2017-11-25 1902 OP6AT         599 14     CN2AA         599 33
QSO:  7020 CW 2017-11-25 1904 OP6AT         599 14     EU1WW         599 16
QSO:  7021 CW 2017-11-25 1904 OP6AT         599 14     UZ2M          599 16
QSO:  7021 CW 2017-11-25 1906 OP6AT         599 14     EA9/EA5HPX    599 33
QSO:  7023 CW 2017-11-25 1907 OP6AT         599 14     RX7M          599 16
QSO:  7024 CW 2017-11-25 1909 OP6AT         599 14     VY2TT         599 05
QSO:  7025 CW 2017-11-25 1911 OP6AT         599 14     9A2AJ         599 15
QSO:  7025 CW 2017-11-25 1911 OP6AT         599 14     HA7SBQ        599 15
QSO:  7026 CW 2017-11-25 1912 OP6AT         599 14     SN8B          599 15
QSO:  7030 CW 2017-11-25 1915 OP6AT         599 14     UW1GZ         599 16
QSO:  7032 CW 2017-11-25 1925 OP6AT         599 14     ES9C          599 15
QSO:  7036 CW 2017-11-25 2022 OP6AT         599 14     P33W          599 20
QSO:  7036 CW 2017-11-25 2023 OP6AT         599 14     OF1F          599 15
QSO:  7036 CW 2017-11-25 2024 OP6AT         599 14     CR3W          599 33
QSO:  7038 CW 2017-11-25 2025 OP6AT         599 14     4U1GSC        599 15
QSO:  7044 CW 2017-11-25 2044 OP6AT         599 14     SX2T          599 20
QSO:  7046 CW 2017-11-25 2047 OP6AT         599 14     EF8U          599 33
QSO:  7051 CW 2017-11-25 2048 OP6AT         599 14     LZ5K          599 20
QSO:  7053 CW 2017-11-25 2049 OP6AT         599 14     LY4A          599 15
QSO:  7000 CW 2017-11-25 2336 OP6AT         599 14     CT9/OK6RA     599 33
QSO:  7001 CW 2017-11-25 2337 OP6AT         599 14     K2LE          599 05
QSO:  7001 CW 2017-11-25 2338 OP6AT         599 14     N1UR          599 05
QSO:  7002 CW 2017-11-25 2342 OP6AT         599 14     RV9UP         599 18
QSO:  7003 CW 2017-11-25 2344 OP6AT         599 14     KC1XX         599 05
QSO:  7003 CW 2017-11-25 2346 OP6AT         599 14     KV2K          599 05
QSO:  7004 CW 2017-11-25 2347 OP6AT         599 14     LZ4T          599 20
QSO:  7005 CW 2017-11-25 2349 OP6AT         599 14     RL3T          599 16
QSO:  7006 CW 2017-11-25 2351 OP6AT         599 14     OF5Z          599 15
QSO:  7007 CW 2017-11-25 2352 OP6AT         599 14     LZ9W          599 20
QSO:  7007 CW 2017-11-25 2355 OP6AT         599 14     LN8W          599 14
QSO:  7008 CW 2017-11-25 2355 OP6AT         599 14     SK3W          599 14
QSO:  7008 CW 2017-11-26 0003 OP6AT         599 14     P40L          599 09
QSO:  7009 CW 2017-11-26 0005 OP6AT         599 14     HG7T          599 15
QSO:  7011 CW 2017-11-26 0007 OP6AT         599 14     W3LPL         599 05
QSO:  7012 CW 2017-11-26 0009 OP6AT         599 14     YT5A          599 15
QSO:  7013 CW 2017-11-26 0010 OP6AT         599 14     OM7M          599 15
QSO:  7015 CW 2017-11-26 0012 OP6AT         599 14     CN2R          599 33
QSO:  7016 CW 2017-11-26 0014 OP6AT         599 14     N3RS          599 05
QSO:  7016 CW 2017-11-26 0015 OP6AT         599 14     SO4M          599 15
QSO:  7018 CW 2017-11-26 0017 OP6AT         599 14     UP0L          599 17
QSO:  7021 CW 2017-11-26 0019 OP6AT         599 14     NR4M          599 05
QSO:  7022 CW 2017-11-26 0020 OP6AT         599 14     NR5M          599 04
QSO:  7022 CW 2017-11-26 0023 OP6AT         599 14     OE5OHO        599 15
QSO:  7024 CW 2017-11-26 0029 OP6AT         599 14     N2SR          599 05
QSO:  7025 CW 2017-11-26 0031 OP6AT         599 14     UA3R          599 16
QSO: 21005 CW 2017-11-26 1014 OP6AT         599 14     RA7A          599 16
QSO: 21008 CW 2017-11-26 1015 OP6AT         599 14     LZ2HA         599 20
