START-OF-LOG: 3.0
CALLSIGN: SM7ZDI
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 80M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: Vic Pleshkevich
LOCATION: DX
OPERATORS: SM7ZDI
CLUB:
CERTIFICATE: YES
CREATED-BY: WINLOG32 v7.3.11
SOAPBOX: Casual entry as time permitted - mostly running with some S&P
QSO:  3500 CW 2017-11-25 0452 SM7ZDI        599 14     PA1HR         599 14     0
QSO:  3500 CW 2017-11-25 0456 SM7ZDI        599 14     M0DXR         599 14     0
QSO:  3500 CW 2017-11-25 0459 SM7ZDI        599 14     YL2KO         599 15     0
QSO:  3500 CW 2017-11-25 0504 SM7ZDI        599 14     OM7ZM         599 15     0
QSO:  3500 CW 2017-11-25 0512 SM7ZDI        599 14     PA0BWL        599 14     0
QSO:  3500 CW 2017-11-25 0522 SM7ZDI        599 14     PA6X          599 14     0
QSO:  3500 CW 2017-11-25 0523 SM7ZDI        599 14     ZA1WW         599 15     0
QSO:  3500 CW 2017-11-25 0525 SM7ZDI        599 14     YT1EA         599 15     0
QSO:  3500 CW 2017-11-25 0531 SM7ZDI        599 14     SP9GFI        599 15     0
QSO:  3500 CW 2017-11-25 0534 SM7ZDI        599 14     OH2RA         599 15     0
QSO:  3500 CW 2017-11-25 0536 SM7ZDI        599 14     OH5BM         599 15     0
QSO:  3500 CW 2017-11-25 0541 SM7ZDI        599 14     S57AL         599 15     0
QSO:  3500 CW 2017-11-25 0545 SM7ZDI        599 14     ES2MC         599 15     0
QSO:  3500 CW 2017-11-25 0549 SM7ZDI        599 14     DK0TA         599 14     0
QSO:  3500 CW 2017-11-25 0550 SM7ZDI        599 14     DK0TU         599 14     0
QSO:  3500 CW 2017-11-25 0558 SM7ZDI        599 14     4O7CC         599 15     0
QSO:  3500 CW 2017-11-25 0630 SM7ZDI        599 14     N3AD          599 05     0
QSO:  3500 CW 2017-11-25 0642 SM7ZDI        599 14     SP1MGM        599 15     0
QSO:  3500 CW 2017-11-25 0650 SM7ZDI        599 14     SP2KAC        599 15     0
QSO:  3500 CW 2017-11-25 0653 SM7ZDI        599 14     S53Z          599 15     0
QSO:  3500 CW 2017-11-25 0657 SM7ZDI        599 14     G4AMT         599 14     0
QSO:  3500 CW 2017-11-25 0704 SM7ZDI        599 14     VE3VN         599 04     0
QSO:  3500 CW 2017-11-25 0729 SM7ZDI        599 14     OZ1AA         599 14     0
QSO: 28000 CW 2017-11-25 0853 SM7ZDI        599 14     DL3GBO        599 14     0
QSO: 28000 CW 2017-11-25 0902 SM7ZDI        599 14     OZ3SM         599 14     0
QSO: 28000 CW 2017-11-25 0906 SM7ZDI        599 14     HB9DDE        599 14     0
QSO: 14000 CW 2017-11-25 0920 SM7ZDI        599 14     F4FFZ         599 14     0
QSO: 14000 CW 2017-11-25 0928 SM7ZDI        599 14     9G5W          599 35     0
QSO: 14000 CW 2017-11-25 0932 SM7ZDI        599 14     GU4CHY        599 14     0
QSO: 14000 CW 2017-11-25 0935 SM7ZDI        599 14     KQ2M          599 05     0
QSO: 14000 CW 2017-11-25 0936 SM7ZDI        599 14     YO3IRM        599 20     0
QSO: 14000 CW 2017-11-25 0938 SM7ZDI        599 14     IZ8VYU        599 15     0
QSO: 14000 CW 2017-11-25 0942 SM7ZDI        599 14     A44A          599 21     0
QSO: 14000 CW 2017-11-25 0943 SM7ZDI        599 14     MM3AWD        599 14     0
QSO: 14000 CW 2017-11-25 0947 SM7ZDI        599 14     TA3AER        599 20     0
QSO: 14000 CW 2017-11-25 0955 SM7ZDI        599 14     S57AW         599 15     0
QSO: 14000 CW 2017-11-25 0958 SM7ZDI        599 14     UT2UU         599 16     0
QSO:  7000 CW 2017-11-25 1215 SM7ZDI        599 14     RT0C          599 19     0
QSO:  7000 CW 2017-11-25 1223 SM7ZDI        599 14     JS3CGH        599 25     0
QSO:  7000 CW 2017-11-25 1226 SM7ZDI        599 14     DK7ZT         599 14     0
QSO:  7000 CW 2017-11-25 1227 SM7ZDI        599 14     YO5OHO        599 20     0
QSO:  7000 CW 2017-11-25 1228 SM7ZDI        599 14     G3VPW         599 14     0
QSO:  7000 CW 2017-11-25 1229 SM7ZDI        599 14     G3V           599 14     0
QSO:  7000 CW 2017-11-25 1230 SM7ZDI        599 14     DF4ZU         599 14     0
QSO:  7000 CW 2017-11-25 1230 SM7ZDI        599 14     YT1HA         599 15     0
QSO:  7000 CW 2017-11-25 1231 SM7ZDI        599 14     SP6CJK        599 15     0
QSO:  7000 CW 2017-11-25 1232 SM7ZDI        599 14     PI4CC         599 14     0
QSO:  7000 CW 2017-11-25 1233 SM7ZDI        599 14     UA4FCO        599 16     0
QSO:  7000 CW 2017-11-25 1233 SM7ZDI        599 14     LY5G          599 15     0
QSO:  7000 CW 2017-11-25 1234 SM7ZDI        599 14     UA3YDI        599 16     0
QSO:  7000 CW 2017-11-25 1237 SM7ZDI        599 14     DK4CU         599 14     0
QSO:  7000 CW 2017-11-25 1238 SM7ZDI        599 14     F6HHR         599 14     0
QSO:  7000 CW 2017-11-25 1240 SM7ZDI        599 14     DJ3JD         599 14     0
QSO:  7000 CW 2017-11-25 1241 SM7ZDI        599 14     R1NI          599 16     0
QSO:  7000 CW 2017-11-25 1243 SM7ZDI        599 14     3Z0X          599 15     0
QSO:  7000 CW 2017-11-25 1245 SM7ZDI        599 14     EU8R          599 16     0
QSO:  7000 CW 2017-11-25 1246 SM7ZDI        599 14     DL8TG         599 14     0
QSO:  7000 CW 2017-11-25 1246 SM7ZDI        599 14     HA4FY         599 15     0
QSO:  7000 CW 2017-11-25 1251 SM7ZDI        599 14     OK2VWB        599 15     0
QSO:  7000 CW 2017-11-25 1252 SM7ZDI        599 14     SQ9E          599 15     0
QSO:  7000 CW 2017-11-25 1254 SM7ZDI        599 14     M0CVO         599 14     0
QSO:  7000 CW 2017-11-25 1255 SM7ZDI        599 14     HA3LN         599 15     0
QSO:  7000 CW 2017-11-25 1255 SM7ZDI        599 14     OK2BDF        599 15     0
QSO:  7000 CW 2017-11-25 1256 SM7ZDI        599 14     G3TXF         599 14     0
QSO:  7000 CW 2017-11-25 1257 SM7ZDI        599 14     HG6O          599 15     0
QSO:  7000 CW 2017-11-25 1300 SM7ZDI        599 14     EA7TH         599 14     0
QSO:  7000 CW 2017-11-25 1301 SM7ZDI        599 14     DK5RL         599 14     0
QSO:  7000 CW 2017-11-25 1304 SM7ZDI        599 14     OM4O          599 15     0
QSO: 14000 CW 2017-11-25 1311 SM7ZDI        599 14     W1PY          599 05     0
QSO: 14000 CW 2017-11-25 1314 SM7ZDI        599 14     IT9BXR        599 15     0
QSO: 14000 CW 2017-11-25 1315 SM7ZDI        599 14     K2WK          599 05     0
QSO: 14000 CW 2017-11-25 1321 SM7ZDI        599 14     WB9Z          599 04     0
QSO: 14000 CW 2017-11-25 1328 SM7ZDI        599 14     RN3Z          599 16     0
QSO: 14000 CW 2017-11-25 1329 SM7ZDI        599 14     UX2MF         599 16     0
QSO: 14000 CW 2017-11-25 1331 SM7ZDI        599 14     RL6M          599 16     0
