START-OF-LOG: 3.0
CALLSIGN: UN7PGA
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 15M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: OLEG
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: UR5EQF log v.3.31-60
SOAPBOX: FT 950, Delta  20    Inv  40
QSO: 21019 CW 2017-11-25 0610 UN7PGA        599 17     JE2YRB        599 25
QSO: 21017 CW 2017-11-25 0611 UN7PGA        599 17     RT0F          599 19
QSO: 21037 CW 2017-11-25 0613 UN7PGA        599 17     JH4FUF        599 25
QSO: 21037 CW 2017-11-25 0613 UN7PGA        599 17     JQ1ABC        599 25
QSO: 21037 CW 2017-11-25 0614 UN7PGA        599 17     JJ1NYH        599 25
QSO: 21037 CW 2017-11-25 0615 UN7PGA        599 17     JE1LFX        599 25
QSO: 21037 CW 2017-11-25 0615 UN7PGA        599 17     UA2FF         599 15
QSO: 21037 CW 2017-11-25 0616 UN7PGA        599 17     UC7A          599 16
QSO: 21037 CW 2017-11-25 0617 UN7PGA        599 17     JO4DIO        599 25
QSO: 21037 CW 2017-11-25 0619 UN7PGA        599 17     JR7IC         599 25
QSO: 21037 CW 2017-11-25 0620 UN7PGA        599 17     RT0O          599 18
QSO: 21037 CW 2017-11-25 0620 UN7PGA        599 17     UA6CC         599 16
QSO: 21037 CW 2017-11-25 0620 UN7PGA        599 17     UX4U          599 16
QSO: 21037 CW 2017-11-25 0621 UN7PGA        599 17     JA1BJI        599 25
QSO: 21037 CW 2017-11-25 0622 UN7PGA        599 17     JI1RXQ        599 25
QSO: 21037 CW 2017-11-25 0622 UN7PGA        599 17     JA8GAK        599 25
QSO: 21037 CW 2017-11-25 0623 UN7PGA        599 17     JA3IBU        599 25
QSO: 21037 CW 2017-11-25 0624 UN7PGA        599 17     UT4U          599 16
QSO: 21037 CW 2017-11-25 0624 UN7PGA        599 17     RT6A          599 16
QSO: 21037 CW 2017-11-25 0625 UN7PGA        599 17     JR8ORC        599 25
QSO: 21037 CW 2017-11-25 0625 UN7PGA        599 17     UX1IB         599 16
QSO: 21037 CW 2017-11-25 0626 UN7PGA        599 17     YE1K          599 28
QSO: 21037 CW 2017-11-25 0627 UN7PGA        599 17     JR4DAH        599 25
QSO: 21037 CW 2017-11-25 0628 UN7PGA        599 17     JH3QFY        599 25
QSO: 21037 CW 2017-11-25 0628 UN7PGA        599 17     JH4UYB        599 25
QSO: 21037 CW 2017-11-25 0629 UN7PGA        599 17     JA0GCI        599 25
QSO: 21037 CW 2017-11-25 0630 UN7PGA        599 17     UZ2I          599 16
QSO: 21037 CW 2017-11-25 0630 UN7PGA        599 17     DL6IAK        599 14
QSO: 21037 CW 2017-11-25 0631 UN7PGA        599 17     OH2BKX        599 15
QSO: 21034 CW 2017-11-25 0639 UN7PGA        599 17     S79K          599 39
QSO: 21021 CW 2017-11-25 0640 UN7PGA        599 17     UW7LL         599 16
QSO: 21022 CW 2017-11-25 0643 UN7PGA        599 17     HS0ZAR        599 26
QSO: 21031 CW 2017-11-25 0645 UN7PGA        599 17     E77C          599 15
QSO: 21032 CW 2017-11-25 0647 UN7PGA        599 17     HG7T          599 15
QSO: 21023 CW 2017-11-25 0650 UN7PGA        599 17     HS0ZIA        599 26
QSO: 21016 CW 2017-11-25 0652 UN7PGA        599 17     EW8OM         599 16
QSO: 21016 CW 2017-11-25 0652 UN7PGA        599 17     LY2W          599 15
QSO: 21016 CW 2017-11-25 0653 UN7PGA        599 17     RA3DNC        599 16
QSO: 21016 CW 2017-11-25 0653 UN7PGA        599 17     US8UA         599 16
QSO: 21016 CW 2017-11-25 0654 UN7PGA        599 17     JF3BFS        599 25
QSO: 21016 CW 2017-11-25 0655 UN7PGA        599 17     VU2AE         599 22
QSO: 21016 CW 2017-11-25 0655 UN7PGA        599 17     SN8B          599 15
QSO: 21016 CW 2017-11-25 0656 UN7PGA        599 17     JA2XCR        599 25
QSO: 21016 CW 2017-11-25 0656 UN7PGA        599 17     RT7N          599 16
QSO: 21016 CW 2017-11-25 0657 UN7PGA        599 17     EW1P          599 16
QSO: 21016 CW 2017-11-25 0657 UN7PGA        599 17     HG3R          599 15
QSO: 21016 CW 2017-11-25 0658 UN7PGA        599 17     OH5NZ         599 15
QSO: 21016 CW 2017-11-25 0658 UN7PGA        599 17     JH2XQY        599 25
QSO: 21016 CW 2017-11-25 0659 UN7PGA        599 17     RM6J          599 16
QSO: 21016 CW 2017-11-25 0659 UN7PGA        599 17     UA3KW         599 16
QSO: 21016 CW 2017-11-25 0700 UN7PGA        599 17     UT6HX         599 16
QSO: 21016 CW 2017-11-25 0700 UN7PGA        599 17     SO4R          599 15
QSO: 21016 CW 2017-11-25 0701 UN7PGA        599 17     BG8SRQ        599 24
QSO: 21016 CW 2017-11-25 0702 UN7PGA        599 17     UY5YA         599 16
QSO: 21016 CW 2017-11-25 0703 UN7PGA        599 17     SK3W          599 14
QSO: 21016 CW 2017-11-25 0703 UN7PGA        599 17     EW6FM         599 16
QSO: 21016 CW 2017-11-25 0704 UN7PGA        599 17     US0U          599 16
QSO: 21016 CW 2017-11-25 0704 UN7PGA        599 17     US0HZ         599 16
QSO: 21016 CW 2017-11-25 0705 UN7PGA        599 17     UR5LAM        599 16
QSO: 21016 CW 2017-11-25 0706 UN7PGA        599 17     IT9PZM        599 15
QSO: 21016 CW 2017-11-25 0707 UN7PGA        599 17     UA7G          599 16
QSO: 21016 CW 2017-11-25 0707 UN7PGA        599 17     JH9KVF        599 25
QSO: 21016 CW 2017-11-25 0708 UN7PGA        599 17     JA7MJ         599 25
QSO: 21016 CW 2017-11-25 0708 UN7PGA        599 17     LY7Z          599 15
QSO: 21016 CW 2017-11-25 0709 UN7PGA        599 17     R1CAA         599 16
QSO: 21016 CW 2017-11-25 0709 UN7PGA        599 17     UV7V          599 16
QSO: 21016 CW 2017-11-25 0710 UN7PGA        599 17     JA1FFB        599 25
QSO: 21016 CW 2017-11-25 0712 UN7PGA        599 17     JG5DHX        599 25
QSO: 21016 CW 2017-11-25 0713 UN7PGA        599 17     R3YC          599 16
QSO: 21016 CW 2017-11-25 0713 UN7PGA        599 17     JN3DSH        599 25
QSO: 21016 CW 2017-11-25 0714 UN7PGA        599 17     JL1EEI        599 25
QSO: 21016 CW 2017-11-25 0715 UN7PGA        599 17     UX8IA         599 16
QSO: 21016 CW 2017-11-25 0715 UN7PGA        599 17     UR5ZEP        599 16
