START-OF-LOG: 3.0
CALLSIGN: PA3GEO
CLUB: None
CONTEST: CQ-WW-SSB
CLAIMED-SCORE: 11700
OPERATORS: PA3GEO
SOAPBOX: Many activity on the bands! 15 meters strong USA stations.
NAME: Robert Poortvliet
CREATED-BY: N1MM Logger V10.6.5
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
QSO: 21000 PH 2010-10-30 0829 PA3GEO        59  14     P3N           59  20
QSO: 21000 PH 2010-10-30 0831 PA3GEO        59  14     C4W           59  20
QSO: 21000 PH 2010-10-30 0833 PA3GEO        59  14     CQ3L          59  33
QSO: 21000 PH 2010-10-30 0836 PA3GEO        59  14     RW2A          59  16
QSO: 21000 PH 2010-10-30 0837 PA3GEO        59  14     RG3K          59  16
QSO: 21000 PH 2010-10-30 0838 PA3GEO        59  14     R5GA          59  16
QSO: 21000 PH 2010-10-30 0843 PA3GEO        59  14     6V7T          59  35
QSO: 21000 PH 2010-10-30 1058 PA3GEO        59  14     J48P          59  20
QSO: 21000 PH 2010-10-30 1100 PA3GEO        59  14     UT0AZA        59  16
QSO: 21000 PH 2010-10-30 1103 PA3GEO        59  14     HG1S          59  15
QSO: 21000 PH 2010-10-30 1105 PA3GEO        59  14     OK5R          59  15
QSO: 21000 PH 2010-10-30 1108 PA3GEO        59  14     E7DX          59  15
QSO: 21000 PH 2010-10-30 1109 PA3GEO        59  14     UR3HC         59  16
QSO: 21000 PH 2010-10-30 1112 PA3GEO        59  14     CR3A          59  33
QSO: 21000 PH 2010-10-30 1113 PA3GEO        59  14     TA7KA         59  20
QSO: 21000 PH 2010-10-30 1115 PA3GEO        59  14     RU5A          59  16
QSO: 21000 PH 2010-10-30 1116 PA3GEO        59  14     EA7IZJ        59  14
QSO: 21000 PH 2010-10-30 1118 PA3GEO        59  14     RL3BB         59  16
QSO: 21000 PH 2010-10-30 1119 PA3GEO        59  14     YO3KSR        59  20
QSO: 21000 PH 2010-10-30 1125 PA3GEO        59  14     CN3A          59  33
QSO: 21000 PH 2010-10-30 1127 PA3GEO        59  14     P3Z           59  20
QSO: 21000 PH 2010-10-30 1128 PA3GEO        59  14     LZ5K          59  20
QSO: 21000 PH 2010-10-30 1130 PA3GEO        59  14     EF8A          59  33
QSO: 21000 PH 2010-10-30 1132 PA3GEO        59  14     RZ3EC         59  16
QSO: 21000 PH 2010-10-30 1133 PA3GEO        59  14     RC3W          59  16
QSO: 21000 PH 2010-10-30 1136 PA3GEO        59  14     IH9YMC        59  33
QSO: 21000 PH 2010-10-30 1138 PA3GEO        59  14     CN2R          59  33
QSO: 21000 PH 2010-10-30 1456 PA3GEO        59  14     WW1WW         59  05
QSO: 21000 PH 2010-10-30 1501 PA3GEO        59  14     N8OO          59  05
QSO: 14000 PH 2010-10-30 1511 PA3GEO        59  14     IZ0PAU        59  15
QSO: 14000 PH 2010-10-30 1514 PA3GEO        59  14     YT0W          59  15
QSO: 14000 PH 2010-10-30 1515 PA3GEO        59  14     LY9Y          59  15
QSO: 14000 PH 2010-10-30 1516 PA3GEO        59  14     EU1AZ         59  16
QSO: 14000 PH 2010-10-30 1518 PA3GEO        59  14     RL3A          59  16
QSO: 14000 PH 2010-10-30 1519 PA3GEO        59  14     EA6LP         59  14
QSO: 14000 PH 2010-10-30 1520 PA3GEO        59  14     IG9S          59  33
QSO: 14000 PH 2010-10-30 1522 PA3GEO        59  14     EA1JJ         59  14
QSO: 14000 PH 2010-10-30 1524 PA3GEO        59  14     IT9STX        59  15
QSO: 21000 PH 2010-10-30 1537 PA3GEO        59  14     PI4DX         59  14
QSO: 21000 PH 2010-10-30 1544 PA3GEO        59  14     EA8/DL6MHW    59  33
QSO: 14000 PH 2010-10-30 1554 PA3GEO        59  14     LZ3CB         59  20
QSO: 14000 PH 2010-10-30 1557 PA3GEO        59  14     LZ4RR         59  20
QSO: 14000 PH 2010-10-30 1558 PA3GEO        59  14     LZ5R          59  20
QSO: 14000 PH 2010-10-30 1559 PA3GEO        59  14     IR9W          59  15
QSO: 14000 PH 2010-10-30 1603 PA3GEO        59  14     IT9HBT        59  15
QSO: 14000 PH 2010-10-30 1604 PA3GEO        59  14     SV3AQR        59  20
QSO: 14000 PH 2010-10-30 1606 PA3GEO        59  14     J42WT         59  20
QSO: 14000 PH 2010-10-30 1610 PA3GEO        59  14     SZ8L          59  20
