START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.9.1
CONTEST: CQ-WW-SSB
LOCATION: DX
CALLSIGN: LY7A
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 12113640
OPERATORS: LYR346 LY1DI LY1FK LY1FU LY1SR LY2DX LY2J LY2K LY2KJ LY2LL LY3BB
OPERATORS: LY3DA LY3HD LY3RQ LY3UT LY4G LY4Z LY9A
CLUB: Kaunas University of Technology Radio Club
NAME: KTU RC HQ
SOAPBOX:
QSO:  1800 PH 2014-10-25 0000 LY7A          59  15     LY7M          59  15     1
QSO:  7000 PH 2014-10-25 0000 LY7A          59  15     HZ1TL         59  21     1
QSO: 14174 PH 2014-10-25 0000 LY7A          59  15     KL7RA         59  01     1
QSO:  7000 PH 2014-10-25 0000 LY7A          59  15     IB9T          59  15     1
QSO:  7000 PH 2014-10-25 0000 LY7A          59  15     P33W          59  20     1
QSO: 14174 PH 2014-10-25 0000 LY7A          59  15     DP6T          59  14     1
QSO:  1800 PH 2014-10-25 0001 LY7A          59  15     3Z50AYP       59  15     1
QSO:  3500 PH 2014-10-25 0001 LY7A          59  15     R1DX          59  16     1
QSO:  1800 PH 2014-10-25 0001 LY7A          59  15     II9P          59  15     1
QSO: 14174 PH 2014-10-25 0001 LY7A          59  15     N2PP          59  5      1
QSO:  7000 PH 2014-10-25 0001 LY7A          59  15     EI7M          59  14     1
QSO:  3500 PH 2014-10-25 0001 LY7A          59  15     LZ9W          59  20     1
QSO:  7000 PH 2014-10-25 0001 LY7A          59  15     SP1GZF        59  15     1
QSO:  7000 PH 2014-10-25 0001 LY7A          59  15     M7O           59  14     1
QSO:  7000 PH 2014-10-25 0002 LY7A          59  15     IR8C          59  15     1
QSO:  3500 PH 2014-10-25 0002 LY7A          59  15     HG7T          59  15     1
QSO:  3500 PH 2014-10-25 0002 LY7A          59  15     HA3DX         59  15     1
QSO:  1800 PH 2014-10-25 0002 LY7A          59  15     DF0HQ         59  14     1
QSO:  7000 PH 2014-10-25 0002 LY7A          59  15     SX9C          59  20     1
QSO:  1800 PH 2014-10-25 0002 LY7A          59  15     DF0AT         59  14     1
QSO:  3500 PH 2014-10-25 0002 LY7A          59  15     UA5B          59  16     1
QSO: 14174 PH 2014-10-25 0002 LY7A          59  15     KM8Q          59  4      1
QSO:  7000 PH 2014-10-25 0003 LY7A          59  15     CN2AA         59  33     1
QSO:  3500 PH 2014-10-25 0003 LY7A          59  15     SO9Q          59  15     1
QSO:  1800 PH 2014-10-25 0003 LY7A          59  15     UW5ZM         59  16     1
QSO: 14000 PH 2014-10-25 0003 LY7A          59  15     K1DG          59  05     1
QSO:  1800 PH 2014-10-25 0003 LY7A          59  15     YP0C          59  20     1
QSO: 21000 PH 2014-10-25 0003 LY7A          59  15     W7WA          59  03     1
QSO:  3500 PH 2014-10-25 0003 LY7A          59  15     YT4A          59  15     1
QSO:  7000 PH 2014-10-25 0003 LY7A          59  15     C37NL         59  14     1
QSO:  3500 PH 2014-10-25 0003 LY7A          59  15     RU9CUD        59  17     1
QSO:  1800 PH 2014-10-25 0004 LY7A          59  15     9A6TKS        59  15     1
QSO:  7000 PH 2014-10-25 0004 LY7A          59  15     II9K          59  15     1
QSO:  3500 PH 2014-10-25 0004 LY7A          59  15     SK3W          59  15     1
QSO: 14174 PH 2014-10-25 0004 LY7A          59  15     VP5DX         59  8      1
QSO: 21000 PH 2014-10-25 0004 LY7A          59  15     OH8L          59  15     1
QSO:  7000 PH 2014-10-25 0004 LY7A          59  15     EA1EXE        59  14     1
QSO:  3500 PH 2014-10-25 0004 LY7A          59  15     S51A          59  15     1
QSO:  7000 PH 2014-10-25 0004 LY7A          59  15     TM6M          59  14     1
QSO:  7000 PH 2014-10-25 0005 LY7A          59  15     OH6MW         59  15     1
QSO: 14174 PH 2014-10-25 0005 LY7A          59  15     T48K          59  8      1
QSO:  7000 PH 2014-10-25 0005 LY7A          59  15     EF8S          59  33     1
QSO:  7000 PH 2014-10-25 0005 LY7A          59  15     4L0A          59  21     1
QSO: 14174 PH 2014-10-25 0005 LY7A          59  15     OH8X          59  15     1
