START-OF-LOG: 3.0
CALLSIGN: VA3GD
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 38170
NAME: Greg Danylchenko
LOCATION: ON
OPERATORS: VA3GD
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5966.0
SOAPBOX: Tough conditions, but slow and steady progress was possible.
QSO:  7116 PH 2016-10-29 0149 VA3GD         59  4      TI5W          59  07
QSO:  3622 PH 2016-10-29 0244 VA3GD         59  4      K5TR          59  04
QSO:  3627 PH 2016-10-29 0247 VA3GD         59  4      KP2M          59  08
QSO:  3630 PH 2016-10-29 0249 VA3GD         59  4      W1WMU         59  05
QSO:  3640 PH 2016-10-29 0250 VA3GD         59  4      N0MA          59  04
QSO:  3661 PH 2016-10-29 0251 VA3GD         59  4      K0PJ          59  04
QSO:  3701 PH 2016-10-29 0253 VA3GD         59  4      VC3R          59  04
QSO:  3709 PH 2016-10-29 0255 VA3GD         59  4      VY2TT         59  05
QSO:  3714 PH 2016-10-29 0255 VA3GD         59  4      K5WA          59  04
QSO:  3738 PH 2016-10-29 0259 VA3GD         59  4      XE2X          59  06
QSO:  3810 PH 2016-10-29 0307 VA3GD         59  4      WE3C          59  05
QSO:  3712 PH 2016-10-29 0310 VA3GD         59  4      W4RM          59  05
QSO:  3708 PH 2016-10-29 0311 VA3GD         59  4      WD9CIR        59  04
QSO:  3655 PH 2016-10-29 0340 VA3GD         59  4      K3ZU          59  05
QSO:  7153 PH 2016-10-29 0400 VA3GD         59  4      PJ2T          59  09
QSO:  7130 PH 2016-10-29 1136 VA3GD         59  4      KP2M          59  08
QSO:  7136 PH 2016-10-29 1137 VA3GD         59  4      T46A          59  08
QSO: 14219 PH 2016-10-29 1421 VA3GD         59  4      NR6Q          59  03
QSO: 14232 PH 2016-10-29 1422 VA3GD         59  4      N0NI          59  04
QSO: 14237 PH 2016-10-29 1423 VA3GD         59  4      TM6M          59  14
QSO: 14163 PH 2016-10-29 1741 VA3GD         59  4      S57DX         59  15
QSO: 21234 PH 2016-10-29 1829 VA3GD         59  4      HP3SS         59  07
QSO: 21255 PH 2016-10-29 1832 VA3GD         59  4      KP2XX         59  08
QSO: 21305 PH 2016-10-29 1907 VA3GD         59  4      ZF1A          59  08
QSO: 21360 PH 2016-10-29 1927 VA3GD         59  4      T48K          59  08
QSO: 21393 PH 2016-10-29 1928 VA3GD         59  4      WP4WW         59  08
QSO: 21400 PH 2016-10-29 1929 VA3GD         59  4      ZF9CW         59  08
