START-OF-LOG: 3.0
CALLSIGN: DG5OBB
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 14872
NAME: Klaus
LOCATION: DX
OPERATORS: DG5OBB
CLUB: RHEIN RUHR DX ASSOCIATION
CERTIFICATE: YES
CREATED-BY: LM Version 4.10 (c) 1992, 2013 by DL8WAA
SOAPBOX: Kenwood 570D, FB 53 Fritzel Beam for 10/15/20/40m, W3DZZ for 80m
QSO: 21000 PH 2017-10-28 1140 DG5OBB        59  14     EY8MM         59  17     0
QSO: 21000 PH 2017-10-28 1144 DG5OBB        59  14     C4A           59  20     0
QSO: 28000 PH 2017-10-28 1146 DG5OBB        59  14     EA8TX         59  33     0
QSO: 21000 PH 2017-10-28 1153 DG5OBB        59  14     CN2R          59  33     0
QSO: 21000 PH 2017-10-28 1159 DG5OBB        59  14     PP5JN         59  33     0
QSO: 21000 PH 2017-10-28 1204 DG5OBB        59  14     ZB2TT         59  14     0
QSO: 14000 PH 2017-10-28 1227 DG5OBB        59  14     K1RM          59  05     0
QSO: 14000 PH 2017-10-28 1228 DG5OBB        59  14     K3LR          59  05     0
QSO: 14000 PH 2017-10-28 1236 DG5OBB        59  14     NN3W          59  05     0
QSO: 21000 PH 2017-10-28 1249 DG5OBB        59  14     ZX5J          59  11     0
QSO: 21000 PH 2017-10-28 1308 DG5OBB        59  14     IO5O          59  15     0
QSO: 21000 PH 2017-10-28 1326 DG5OBB        59  14     RT6A          59  16     0
QSO: 14000 PH 2017-10-28 1330 DG5OBB        59  14     TF3AO         59  40     0
QSO: 14000 PH 2017-10-28 1330 DG5OBB        59  14     IK5ZWU        59  15     0
QSO: 14000 PH 2017-10-28 1332 DG5OBB        59  14     EI9E          59  14     0
QSO: 14000 PH 2017-10-28 1338 DG5OBB        59  14     N2PP          59  05     0
QSO: 14000 PH 2017-10-28 1340 DG5OBB        59  14     KC1XX         59  05     0
QSO: 14000 PH 2017-10-28 1410 DG5OBB        59  14     K1TTT         59  05     0
QSO: 21000 PH 2017-10-28 1412 DG5OBB        59  14     NR3X          59  05     0
QSO: 21000 PH 2017-10-28 1421 DG5OBB        59  14     R7AB          59  16     0
QSO: 21000 PH 2017-10-28 1427 DG5OBB        59  14     CN3A          59  33     0
QSO: 21000 PH 2017-10-28 1430 DG5OBB        59  14     PY2KJ         59  11     0
QSO:  7000 PH 2017-10-28 1515 DG5OBB        59  14     DF7OA         59  14     0
QSO:  3500 PH 2017-10-28 1525 DG5OBB        59  14     DK0AE         59  14     0
QSO: 14000 PH 2017-10-28 1546 DG5OBB        59  14     E79D          59  15     0
QSO: 14000 PH 2017-10-28 1548 DG5OBB        59  14     EC2DX         59  14     0
QSO: 14000 PH 2017-10-28 1550 DG5OBB        59  14     LZ5R          59  20     0
QSO: 14000 PH 2017-10-28 1553 DG5OBB        59  14     ED3D          59  14     0
QSO: 14000 PH 2017-10-28 1555 DG5OBB        59  14     F8ARK         59  14     0
QSO: 14000 PH 2017-10-28 1557 DG5OBB        59  14     IK7YTT        59  15     0
QSO: 14000 PH 2017-10-28 1559 DG5OBB        59  14     F1AEY         59  14     0
QSO: 14000 PH 2017-10-28 1600 DG5OBB        59  14     IZ8GUQ        59  15     0
QSO: 28000 PH 2017-10-28 1603 DG5OBB        59  14     CT9/DJ2YA     59  33     0
QSO: 21000 PH 2017-10-28 1608 DG5OBB        59  14     PR7AA         59  11     0
QSO: 21000 PH 2017-10-28 1614 DG5OBB        59  14     KC1XX         59  05     0
QSO: 21000 PH 2017-10-28 1615 DG5OBB        59  14     K3LR          59  05     0
QSO: 21000 PH 2017-10-28 1619 DG5OBB        59  14     K1DG          59  05     0
QSO: 21000 PH 2017-10-28 1621 DG5OBB        59  14     CX2DK         59  13     0
QSO: 21000 PH 2017-10-28 1623 DG5OBB        59  14     YV2CAR        59  09     0
QSO:  7000 PH 2017-10-28 1948 DG5OBB        59  14     ES9C          59  15     0
QSO:  7000 PH 2017-10-28 1953 DG5OBB        59  14     RY6Y          59  16     0
QSO:  7000 PH 2017-10-28 2143 DG5OBB        59  14     K2LE          59  05     0
QSO:  7000 PH 2017-10-28 2150 DG5OBB        59  14     UB6B          59  16     0
QSO:  7000 PH 2017-10-28 2158 DG5OBB        59  14     YT0A          59  15     0
QSO: 14000 PH 2017-10-29 0713 DG5OBB        59  14     UT4U          59  16     0
QSO:  7000 PH 2017-10-29 0716 DG5OBB        59  14     F4DVX         59  14     0
QSO:  7000 PH 2017-10-29 0717 DG5OBB        59  14     YO9HP         59  20     0
QSO:  7000 PH 2017-10-29 0719 DG5OBB        59  14     F6DZU         59  14     0
QSO:  7000 PH 2017-10-29 0721 DG5OBB        59  14     HB9OK         59  14     0
QSO:  7000 PH 2017-10-29 0732 DG5OBB        59  14     CN3A          59  33     0
QSO:  7000 PH 2017-10-29 0739 DG5OBB        59  14     GM2T          59  14     0
QSO:  7000 PH 2017-10-29 0743 DG5OBB        59  14     OM3RWB        59  15     0
QSO:  7000 PH 2017-10-29 0744 DG5OBB        59  14     EI9E          59  14     0
QSO:  7000 PH 2017-10-29 0746 DG5OBB        59  14     DL7CX         59  14     0
QSO:  7000 PH 2017-10-29 0747 DG5OBB        59  14     TM1T          59  14     0
QSO:  7000 PH 2017-10-29 0754 DG5OBB        59  14     HB0/DD5ZZ     59  14     0
QSO:  7000 PH 2017-10-29 0758 DG5OBB        59  14     EE5T          59  14     0
QSO:  7000 PH 2017-10-29 0800 DG5OBB        59  14     LA4C          59  14     0
QSO:  7000 PH 2017-10-29 0801 DG5OBB        59  14     F4HHL         59  14     0
QSO:  7000 PH 2017-10-29 0802 DG5OBB        59  14     LX7I          59  14     0
QSO: 14000 PH 2017-10-29 0807 DG5OBB        59  14     YP0C          59  20     0
QSO: 14000 PH 2017-10-29 0815 DG5OBB        59  14     4X1KS         59  20     0
QSO: 14000 PH 2017-10-29 0816 DG5OBB        59  14     LZ9W          59  20     0
QSO: 14000 PH 2017-10-29 0821 DG5OBB        59  14     Z62FB         59  15     0
QSO: 14000 PH 2017-10-29 0828 DG5OBB        59  14     EF8R          59  33     0
QSO: 14000 PH 2017-10-29 0845 DG5OBB        59  14     YT2ISM        59  15     0
QSO:  7000 PH 2017-10-29 0850 DG5OBB        59  14     OE5CSP        59  15     0
QSO:  7000 PH 2017-10-29 0854 DG5OBB        59  14     SQ9C          59  15     0
QSO:  7000 PH 2017-10-29 0856 DG5OBB        59  14     PA6AA         59  14     0
QSO:  7000 PH 2017-10-29 0859 DG5OBB        59  14     EW8W          59  16     0
QSO:  7000 PH 2017-10-29 0901 DG5OBB        59  14     DL8AKA        59  14     0
QSO:  7000 PH 2017-10-29 0904 DG5OBB        59  14     DM4M          59  14     0
QSO:  7000 PH 2017-10-29 0905 DG5OBB        59  14     PI4CC         59  14     0
QSO:  7000 PH 2017-10-29 0907 DG5OBB        59  14     OT5A          59  14     0
QSO:  7000 PH 2017-10-29 0909 DG5OBB        59  14     EI9HX         59  14     0
QSO:  7000 PH 2017-10-29 0911 DG5OBB        59  14     PI4M          59  14     0
QSO:  7000 PH 2017-10-29 0913 DG5OBB        59  14     GI4T          59  14     0
QSO:  7000 PH 2017-10-29 0918 DG5OBB        59  14     G3PXT         59  14     0
QSO:  7000 PH 2017-10-29 0920 DG5OBB        59  14     LZ9W          59  20     0
QSO:  7000 PH 2017-10-29 0921 DG5OBB        59  14     S56Y          59  15     0
QSO:  7000 PH 2017-10-29 0924 DG5OBB        59  14     OE9TAV        59  15     0
QSO:  7000 PH 2017-10-29 0936 DG5OBB        59  14     LY2MM         59  15     0
QSO:  7000 PH 2017-10-29 0937 DG5OBB        59  14     M6T           59  14     0
QSO:  7000 PH 2017-10-29 0941 DG5OBB        59  14     HB9TOC        59  14     0
QSO:  7000 PH 2017-10-29 0942 DG5OBB        59  14     PD2TW         59  14     0
QSO:  7000 PH 2017-10-29 0945 DG5OBB        59  14     IK3ZAQ        59  15     0
QSO:  7000 PH 2017-10-29 0946 DG5OBB        59  14     S57AL         59  15     0
QSO:  7000 PH 2017-10-29 0946 DG5OBB        59  14     IO1C          59  15     0
QSO:  7000 PH 2017-10-29 0947 DG5OBB        59  14     IK2AQS        59  15     0
QSO: 21000 PH 2017-10-29 1433 DG5OBB        59  14     SV8DTD        59  20     0
QSO: 14000 PH 2017-10-29 1443 DG5OBB        59  14     YT5A          59  15     0
QSO: 14000 PH 2017-10-29 1447 DG5OBB        59  14     RM3DA         59  16     0
QSO: 14000 PH 2017-10-29 1448 DG5OBB        59  14     UX1UX         59  16     0
QSO: 14000 PH 2017-10-29 1450 DG5OBB        59  14     YU1AFV        59  15     0
QSO: 14000 PH 2017-10-29 1452 DG5OBB        59  14     LZ5Z          59  20     0
QSO: 14000 PH 2017-10-29 1458 DG5OBB        59  14     CN2R          59  33     0
QSO: 14000 PH 2017-10-29 1459 DG5OBB        59  14     RT5Z          59  16     0
QSO: 14000 PH 2017-10-29 1500 DG5OBB        59  14     EA1DR         59  14     0
QSO: 14000 PH 2017-10-29 1501 DG5OBB        59  14     RT6A          59  16     0
QSO: 14000 PH 2017-10-29 1507 DG5OBB        59  14     UX5UO         59  16     0
QSO:  7000 PH 2017-10-29 1510 DG5OBB        59  14     OL9R          59  15     0
QSO:  7000 PH 2017-10-29 1511 DG5OBB        59  14     LY3X          59  15     0
QSO:  7000 PH 2017-10-29 1513 DG5OBB        59  14     3Z6QRO        59  15     0
QSO:  7000 PH 2017-10-29 1518 DG5OBB        59  14     UA3VFS        59  16     0
QSO:  7000 PH 2017-10-29 1530 DG5OBB        59  14     RK3E          59  16     0
QSO:  7000 PH 2017-10-29 1534 DG5OBB        59  14     SN1Y          59  15     0
QSO:  7000 PH 2017-10-29 1540 DG5OBB        59  14     DK0IW         59  14     0
QSO:  7000 PH 2017-10-29 1544 DG5OBB        59  14     SV3DCX        59  20     0
QSO:  7000 PH 2017-10-29 1546 DG5OBB        59  14     R9PA          59  18     0
QSO:  7000 PH 2017-10-29 1549 DG5OBB        59  14     R7AB          59  16     0
QSO: 21000 PH 2017-10-29 1636 DG5OBB        59  14     PX2A          59  11     0
QSO: 14000 PH 2017-10-29 1643 DG5OBB        59  14     VE3JM         59  04     0
QSO: 14000 PH 2017-10-29 1647 DG5OBB        59  14     VA2WA         59  05     0
