START-OF-LOG: 3.0
CALLSIGN: VK3FMMB
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 4699
NAME: MIKE BOORD
LOCATION: DX
OPERATORS: VK3FMMB
CLUB:
CERTIFICATE: NO
CREATED-BY: VK3AVV VK Contest Log (Ver 4.1.1)
SOAPBOX: Actual TX Power
SOAPBOX: ONLY 4 MONTHS NEW, FOUNDATION LIC OBTAINED 30 JUL 2017.
SOAPBOX: WAS VERY HARD WITH LOW POWER, "AGAIN AGAIN" WAS SO COMMON COMEBACK.
SOAPBOX: ICOM 7300 WITH A G5RV ON A BUSH BLOCK HELPED.
QSO: 21000 PH 2017-10-28 0229 VK3FMMB       59  30     JI2ZEY        59  25
QSO: 21000 PH 2017-10-28 0232 VK3FMMB       59  30     JA3AOP        59  25
QSO: 21000 PH 2017-10-28 0238 VK3FMMB       59  30     JE1ZWT        59  25
QSO: 21000 PH 2017-10-28 0253 VK3FMMB       59  30     JH4UTP        59  25
QSO: 21000 PH 2017-10-28 0455 VK3FMMB       59  30     JF2QNM        59  25
QSO: 21000 PH 2017-10-28 0533 VK3FMMB       59  30     JL3RNZ        59  25
QSO: 21000 PH 2017-10-28 0540 VK3FMMB       59  30     YC3YIZ        59  28
QSO: 21000 PH 2017-10-28 0542 VK3FMMB       59  30     YC6JRT/0      59  28
QSO: 21000 PH 2017-10-28 0545 VK3FMMB       59  30     JH4UYB        59  25
QSO: 21000 PH 2017-10-28 0553 VK3FMMB       59  30     YC2YIZ        59  28
QSO: 21000 PH 2017-10-28 0559 VK3FMMB       59  30     YE2A          59  28
QSO: 21000 PH 2017-10-28 0635 VK3FMMB       59  30     JE1LFX        59  25
QSO: 21000 PH 2017-10-28 0640 VK3FMMB       59  30     YB0NDT        59  28
QSO:  7000 PH 2017-10-28 0803 VK3FMMB       59  30     VK3MHZ        59  30
QSO: 21000 PH 2017-10-28 0826 VK3FMMB       59  30     JA5FDJ        59  25
QSO:  7000 PH 2017-10-28 0832 VK3FMMB       59  30     ZM4T          59  32
QSO:  7000 PH 2017-10-28 0837 VK3FMMB       59  30     W2RE          59  05
QSO:  7000 PH 2017-10-28 1113 VK3FMMB       59  30     VK4NW         59  30
QSO:  7000 PH 2017-10-28 1120 VK3FMMB       59  30     W7WA          59  03
QSO:  7000 PH 2017-10-28 1154 VK3FMMB       59  30     JE6RPM        59  25
QSO: 21000 PH 2017-10-29 0123 VK3FMMB       59  30     AH2R          59  27
QSO: 21000 PH 2017-10-29 0126 VK3FMMB       59  30     JE1CKA        59  25
QSO: 21000 PH 2017-10-29 0131 VK3FMMB       59  30     JA7ZFN        59  25
QSO: 21000 PH 2017-10-29 0133 VK3FMMB       59  30     JR1MEGP1      59  25
QSO: 21000 PH 2017-10-29 0138 VK3FMMB       59  30     JA1UII        59  30
QSO: 21000 PH 2017-10-29 0141 VK3FMMB       59  30     JQ1NGT        59  25
QSO: 21000 PH 2017-10-29 0212 VK3FMMB       59  30     JI4WHS        59  25
QSO: 21000 PH 2017-10-29 0219 VK3FMMB       59  30     RT0C          59  19
QSO: 21000 PH 2017-10-29 0222 VK3FMMB       59  30     JM4WUZ        59  25
QSO: 21000 PH 2017-10-29 0227 VK3FMMB       59  30     T88CJ         59  27
QSO: 21000 PH 2017-10-29 0229 VK3FMMB       59  30     A44A          59  21
QSO: 21000 PH 2017-10-29 0240 VK3FMMB       59  30     4S7AYG        59  22
QSO: 28000 PH 2017-10-29 0244 VK3FMMB       59  30     JM7OWD        59  25
QSO: 28000 PH 2017-10-29 0248 VK3FMMB       59  30     JE1ZWT        59  25
QSO: 21000 PH 2017-10-29 0256 VK3FMMB       59  30     JH0TIS        59  25
QSO: 21000 PH 2017-10-29 0259 VK3FMMB       59  30     JR4OZR        59  25
QSO: 21000 PH 2017-10-29 0313 VK3FMMB       59  30     JH8YOH        59  25
QSO: 21000 PH 2017-10-29 0343 VK3FMMB       59  30     AH0BT         59  27
QSO: 21000 PH 2017-10-29 0348 VK3FMMB       59  30     A61QQ         59  21
QSO: 21000 PH 2017-10-29 0359 VK3FMMB       59  30     JR2SCJ        59  25
QSO: 21000 PH 2017-10-29 0406 VK3FMMB       59  30     HS5SRH        59  26
QSO: 21000 PH 2017-10-29 0420 VK3FMMB       59  30     RA0QD         59  19
QSO: 21000 PH 2017-10-29 0426 VK3FMMB       59  30     JK2VOC        59  25
QSO: 21000 PH 2017-10-29 0432 VK3FMMB       59  30     JI5SKS        59  25
QSO: 21000 PH 2017-10-29 0439 VK3FMMB       59  30     JF3BFS        59  25
QSO:  7000 PH 2017-10-29 0926 VK3FMMB       59  30     VK4NM         59  30
QSO:  7000 PH 2017-10-29 0932 VK3FMMB       59  30     VK2BCQ        59  30
QSO:  7000 PH 2017-10-29 0953 VK3FMMB       59  30     YC9XYP        59  28
QSO:  7000 PH 2017-10-29 1135 VK3FMMB       59  30     JA7ZFN        59  25
QSO:  7000 PH 2017-10-29 1138 VK3FMMB       59  30     UP0L          59  17
QSO:  7000 PH 2017-10-29 1152 VK3FMMB       59  30     K3LR          59  05
QSO:  7000 PH 2017-10-29 1229 VK3FMMB       59  30     RT8U          59  18
QSO:  7000 PH 2017-10-29 1307 VK3FMMB       59  30     RU1A          59  16
END-OF-LOG:
