START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: DL7CX
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 580720
NAME: Olaf Brunner
CLUB: Bavarian Contest Club
CERTIFICATE: NO
CREATED-BY: Win-Test 4.20.0
SOAPBOX: During a GMA (global mountain activity) I used dl7cx/p with qrp.
SOAPBOX: I hope that is not too be confused
SOAPBOX: because the maintime I was in the contest with dl7cx only.
SOAPBOX: On the end I made the 2 logs together. 73 Olaf
QSO:  1899 PH 2018-10-27 0521 DL7CX         59  14     CR2L          59  14     0
QSO:  1857 PH 2018-10-27 0522 DL7CX         59  14     CN3A          59  33     0
QSO:  1851 PH 2018-10-27 0533 DL7CX         59  14     HB0A          59  14     0
QSO:  1864 PH 2018-10-27 0534 DL7CX         59  14     PI4COM        59  14     0
QSO:  1846 PH 2018-10-27 0535 DL7CX         59  14     LZ9W          59  20     0
QSO:  1846 PH 2018-10-27 0535 DL7CX         59  14     OH0R          59  15     0
QSO:  1846 PH 2018-10-27 0535 DL7CX         59  14     F4HMV         59  14     0
QSO:  1846 PH 2018-10-27 0537 DL7CX         59  14     LA6ZP         59  14     0
QSO:  1846 PH 2018-10-27 0538 DL7CX         59  14     F8KLY         59  14     0
QSO:  1846 PH 2018-10-27 0538 DL7CX         59  14     OL7T          59  15     0
QSO:  1846 PH 2018-10-27 0539 DL7CX         59  14     SN0R          59  15     0
QSO:  1846 PH 2018-10-27 0541 DL7CX         59  14     TM0T          59  14     0
QSO:  1846 PH 2018-10-27 0542 DL7CX         59  14     G4IIY         59  14     0
QSO:  1846 PH 2018-10-27 0542 DL7CX         59  14     F2JD          59  14     0
QSO:  1846 PH 2018-10-27 0543 DL7CX         59  14     OK1JJO        59  15     0
QSO:  1846 PH 2018-10-27 0544 DL7CX         59  14     LY4ZZ         59  15     0
QSO:  1849 PH 2018-10-27 0545 DL7CX         59  14     OT5A          59  14     0
QSO:  3793 PH 2018-10-27 0548 DL7CX         59  14     CR5E          59  14     0
QSO:  3780 PH 2018-10-27 0550 DL7CX         59  14     PZ5K          59  09     0
QSO:  3768 PH 2018-10-27 0550 DL7CX         59  14     OH0V          59  15     0
QSO:  3769 PH 2018-10-27 0551 DL7CX         59  14     VE3JM         59  04     0
QSO:  3680 PH 2018-10-27 0553 DL7CX         59  14     V26B          59  08     0
QSO:  3656 PH 2018-10-27 0554 DL7CX         59  14     KP2M          59  08     0
QSO:  3675 PH 2018-10-27 0555 DL7CX         59  14     ZF9CW         59  08     0
QSO:  3720 PH 2018-10-27 0556 DL7CX         59  14     VE2BWL        59  05     0
QSO:  3752 PH 2018-10-27 0558 DL7CX         59  14     XE2X          59  06     0
QSO:  3746 PH 2018-10-27 0558 DL7CX         59  14     OR2M          59  14     0
QSO:  3746 PH 2018-10-27 0600 DL7CX         59  14     PJ2T          59  09     0
QSO:  3716 PH 2018-10-27 0600 DL7CX         59  14     CN2CO         59  33     0
QSO:  3670 PH 2018-10-27 0601 DL7CX         59  14     K3LR          59  05     0
QSO:  3624 PH 2018-10-27 0602 DL7CX         59  14     N3AD          59  05     0
QSO:  3732 PH 2018-10-27 0603 DL7CX         59  14     EA6FO         59  14     0
QSO:  3698 PH 2018-10-27 0603 DL7CX         59  14     LX7I          59  14     0
