START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: G7PVZ
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 1855
NAME: William Sefton
OPERATORS: G7PVZ
CLUB:
CERTIFICATE: NO
CREATED-BY: SD by EI5DI
SOAPBOX: Had a go as a QRP portable. All run from an SLA
SOAPBOX: battery. SD logger worked fine, thanks Paul.
SOAPBOX: Condx were tough with lots of QRM and loud - deaf stns
SOAPBOX: Thanks to everyone worked... See you in the next one...
QSO:  7000 PH 2018-10-27 1704 G7PVZ         59       14 F1DHX        59       14
QSO:  7000 PH 2018-10-27 2007 G7PVZ         59       14 RT6A         59       16
QSO:  7000 PH 2018-10-27 2014 G7PVZ         59       14 HA8M         59       15
QSO:  7000 PH 2018-10-27 2154 G7PVZ         59       14 SN3A         59       15
QSO:  7000 PH 2018-10-27 2155 G7PVZ         59       14 YL1FW        59       15
QSO:  7000 PH 2018-10-27 2205 G7PVZ         59       14 YT1HA        59       15
QSO:  7000 PH 2018-10-27 2207 G7PVZ         59       14 IR8P         59       15
QSO:  7000 PH 2018-10-27 2213 G7PVZ         59       14 R2AD         59       16
QSO:  7000 PH 2018-10-27 2214 G7PVZ         59       14 ES9C         59       15
QSO:  7000 PH 2018-10-27 2219 G7PVZ         59       14 SO7M         59       15
QSO:  7000 PH 2018-10-27 2224 G7PVZ         59       14 LZ5K         59       20
QSO:  7000 PH 2018-10-28 0618 G7PVZ         59       14 F4DVX        59       14
QSO: 14000 PH 2018-10-28 0824 G7PVZ         59       14 LY2K         59       15
QSO: 14000 PH 2018-10-28 0826 G7PVZ         59       14 OG7A         59       15
QSO: 14000 PH 2018-10-28 0830 G7PVZ         59       14 CT9ABO       59       33
QSO: 14000 PH 2018-10-28 1119 G7PVZ         59       14 9A9A         59       15
QSO: 14000 PH 2018-10-28 1122 G7PVZ         59       14 N1MM         59       05
QSO: 14000 PH 2018-10-28 1124 G7PVZ         59       14 IR4X         59       15
QSO: 14000 PH 2018-10-28 1129 G7PVZ         59       14 HA3LN        59       15
QSO: 14000 PH 2018-10-28 1130 G7PVZ         59       14 LY7Z         59       15
QSO: 14000 PH 2018-10-28 1131 G7PVZ         59       14 SN2B         59       15
QSO: 14000 PH 2018-10-28 1131 G7PVZ         59       14 S57DX        59       15
QSO: 14000 PH 2018-10-28 1137 G7PVZ         59       14 ZF9CW        59       08
QSO: 14000 PH 2018-10-28 1141 G7PVZ         59       14 OH6RE        59       15
QSO: 14000 PH 2018-10-28 1143 G7PVZ         59       14 YL2CI        59       15
QSO: 14000 PH 2018-10-28 1153 G7PVZ         59       14 K5ZD         59       05
QSO: 14000 PH 2018-10-28 1153 G7PVZ         59       14 K1LZ         59       05
QSO: 14000 PH 2018-10-28 1155 G7PVZ         59       14 N2SR         59       05
QSO: 14000 PH 2018-10-28 1157 G7PVZ         59       14 EA5DFV       59       14
QSO: 14000 PH 2018-10-28 1213 G7PVZ         59       14 SQ3TGV       59       15
QSO: 14000 PH 2018-10-28 1214 G7PVZ         59       14 OM2Y         59       15
QSO: 14000 PH 2018-10-28 1218 G7PVZ         59       14 K3WW         59       05
QSO: 14000 PH 2018-10-28 1429 G7PVZ         59       14 VY2ZM        59       05
QSO: 14000 PH 2018-10-28 1432 G7PVZ         59       14 HG3R         59       15
QSO: 14000 PH 2018-10-28 1438 G7PVZ         59       14 HG4F         59       15
QSO: 14000 PH 2018-10-28 1539 G7PVZ         59       14 YU5R         59       15
QSO: 14000 PH 2018-10-28 1543 G7PVZ         59       14 RL3A         59       16
END-OF-LOG:
