START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: VK2AU
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 104110
NAME: Craig Valosin
OPERATORS: VK2ND VK2KDP VK2PR
CLUB: Ted Powell Memorial Contesters and Dx'ers
CREATED-BY: N1MM Logger+ 1.0.7300.0
SOAPBOX: Amazingly poor conditions.  First time ever we pulled the plug.
QSO: 21220 PH 2019-10-26 0002 VK2AU         59  30     JE2YRB        59  25     0
QSO: 21220 PH 2019-10-26 0004 VK2AU         59  30     VK2BV         59  30     0
QSO: 21220 PH 2019-10-26 0004 VK2AU         59  30     JA7RIE        59  25     0
QSO: 21220 PH 2019-10-26 0005 VK2AU         59  30     JA4DC         59  25     0
QSO: 21220 PH 2019-10-26 0006 VK2AU         59  30     JA8CTV        59  25     0
QSO: 21220 PH 2019-10-26 0009 VK2AU         59  30     JA7XRH        59  25     0
QSO: 21220 PH 2019-10-26 0013 VK2AU         59  30     JQ1NGT        59  25     0
QSO: 21220 PH 2019-10-26 0013 VK2AU         59  30     JA5FDJ        59  25     0
QSO: 21256 PH 2019-10-26 0015 VK2AU         59  30     JA7YRR        59  25     0
QSO: 21220 PH 2019-10-26 0022 VK2AU         59  30     7K4XNN        59  25     0
QSO:  7170 PH 2019-10-26 0026 VK2AU         59  30     VK2BV         59  30     0
QSO: 21198 PH 2019-10-26 0048 VK2AU         59  30     VK2PW         59  30     0
QSO: 21255 PH 2019-10-26 0219 VK2AU         59  30     BG5BZ         59  24     0
QSO: 21269 PH 2019-10-26 0219 VK2AU         59  30     JI2ZEY        59  25     0
QSO: 21211 PH 2019-10-26 0236 VK2AU         59  30     JH4UYB        59  25     0
QSO: 21223 PH 2019-10-26 0237 VK2AU         59  30     JT5DX         59  23     0
QSO: 21266 PH 2019-10-26 0240 VK2AU         59  30     JE6RPM        59  25     0
QSO: 21252 PH 2019-10-26 0241 VK2AU         59  30     JH4UTP        59  25     0
QSO: 21353 PH 2019-10-26 0248 VK2AU         59  30     JR2GRX        59  25     0
QSO: 21200 PH 2019-10-26 0250 VK2AU         59  30     RK0UT         59  18     0
QSO: 21338 PH 2019-10-26 0306 VK2AU         59  30     JA7NVF        59  25     0
QSO: 21269 PH 2019-10-26 0328 VK2AU         59  30     JA7ODY        59  25     0
QSO: 21269 PH 2019-10-26 0328 VK2AU         59  30     JE6CMG        59  25     0
QSO: 21269 PH 2019-10-26 0331 VK2AU         59  30     JN1ALL        59  25     0
QSO: 21269 PH 2019-10-26 0332 VK2AU         59  30     JA7ODY        59  25     0
QSO: 21269 PH 2019-10-26 0335 VK2AU         59  30     JA6RCH        59  25     0
QSO: 21255 PH 2019-10-26 0342 VK2AU         59  30     BD5BWZ        59  24     0
QSO: 21269 PH 2019-10-26 0408 VK2AU         59  30     JG1FML        59  25     0
QSO: 21316 PH 2019-10-26 0413 VK2AU         59  30     JA7ZFN        59  25     0
QSO: 21249 PH 2019-10-26 0418 VK2AU         59  30     BG7JJW        59  24     0
QSO: 21310 PH 2019-10-26 0430 VK2AU         59  30     VR2XAN        59  24     0
QSO: 14226 PH 2019-10-26 0502 VK2AU         59  30     RN0CT         59  19     0
QSO: 14303 PH 2019-10-26 0503 VK2AU         59  30     JO3DDD        59  25     0
QSO: 14293 PH 2019-10-26 0512 VK2AU         59  30     KH6KR         59  31     0
QSO: 14266 PH 2019-10-26 0521 VK2AU         59  30     A44A          59  21     0
QSO: 14189 PH 2019-10-26 0525 VK2AU         59  30     P33W          59  20     0
QSO: 14272 PH 2019-10-26 0532 VK2AU         59  30     R7AB          59  16     0
QSO: 14200 PH 2019-10-26 0546 VK2AU         59  30     9K9A          59  21     0
QSO:  7155 PH 2019-10-26 0601 VK2AU         59  30     VP6R          59  32     0
QSO:  7174 PH 2019-10-26 0603 VK2AU         59  30     CR3DX         59  33     0
QSO:  7198 PH 2019-10-26 0611 VK2AU         59  30     CR6T          59  14     0
QSO:  7178 PH 2019-10-26 0612 VK2AU         59  30     DF0HQ         59  14     0
QSO:  7171 PH 2019-10-26 0617 VK2AU         59  30     ZF1A          59  08     0
QSO:  7151 PH 2019-10-26 0619 VK2AU         59  30     ED8W          59  33     0
QSO:  7132 PH 2019-10-26 0621 VK2AU         59  30     K3LR          59  05     0
QSO:  7196 PH 2019-10-26 0623 VK2AU         59  30     VK5FSAM       59  30     0
QSO:  7196 PH 2019-10-26 0623 VK2AU         59  30     VK4DH         59  30     0
QSO:  7196 PH 2019-10-26 0624 VK2AU         59  30     VK5VBR        59  30     0
QSO:  7196 PH 2019-10-26 0626 VK2AU         59  30     K0EJ          59  04     0
QSO:  7196 PH 2019-10-26 0630 VK2AU         59  30     ZM1A          59  32     0
QSO:  7196 PH 2019-10-26 0632 VK2AU         59  30     VK3GK         59  30     0
QSO:  7160 PH 2019-10-26 0635 VK2AU         59  30     SN3A          59  15     0
QSO:  7097 PH 2019-10-26 0637 VK2AU         59  30     EA5ON         59  14     0
QSO:  7189 PH 2019-10-26 0641 VK2AU         59  30     VK9NC         59  32     0
QSO:  7184 PH 2019-10-26 0644 VK2AU         59  30     AA9A          59  04     0
QSO:  7183 PH 2019-10-26 0644 VK2AU         59  30     W7WA          59  03     0
QSO:  7129 PH 2019-10-26 0647 VK2AU         59  30     K7RL          59  03     0
QSO:  7118 PH 2019-10-26 0648 VK2AU         59  30     V26B          59  08     0
QSO:  7146 PH 2019-10-26 0658 VK2AU         59  30     K3EST         59  03     0
QSO:  7136 PH 2019-10-26 0659 VK2AU         59  30     NO6T          59  03     0
QSO:  7107 PH 2019-10-26 0707 VK2AU         59  30     TI2OY         59  07     0
QSO:  7143 PH 2019-10-26 0709 VK2AU         59  30     CN3A          59  33     0
QSO:  7173 PH 2019-10-26 0711 VK2AU         59  30     KH7M          59  31     0
QSO:  7176 PH 2019-10-26 0713 VK2AU         59  30     K5TR          59  04     0
QSO:  7194 PH 2019-10-26 0718 VK2AU         59  30     VE7NY         59  03     0
QSO:  7194 PH 2019-10-26 0718 VK2AU         59  30     NV9L          59  04     0
QSO:  7195 PH 2019-10-26 0719 VK2AU         59  30     CR6K          59  14     0
QSO:  7199 PH 2019-10-26 0720 VK2AU         59  30     N7GP          59  03     0
QSO:  7199 PH 2019-10-26 0721 VK2AU         59  30     KH6DH         59  31     0
QSO:  7199 PH 2019-10-26 0721 VK2AU         59  30     WX4G          59  05     0
QSO:  7199 PH 2019-10-26 0722 VK2AU         59  30     KH7Y          59  03     0
QSO:  7199 PH 2019-10-26 0725 VK2AU         59  30     VK4BG         59  30     0
QSO:  7199 PH 2019-10-26 0727 VK2AU         59  30     DR1A          59  14     0
QSO:  7199 PH 2019-10-26 0727 VK2AU         59  30     NN4TT         59  05     0
QSO:  7199 PH 2019-10-26 0728 VK2AU         59  30     W5UJ          59  03     0
QSO:  7199 PH 2019-10-26 0729 VK2AU         59  30     AB3CX         59  05     0
QSO:  7199 PH 2019-10-26 0730 VK2AU         59  30     HB9A          59  14     0
QSO:  7199 PH 2019-10-26 0731 VK2AU         59  30     W8PR          59  04     0
QSO:  7199 PH 2019-10-26 0732 VK2AU         59  30     N5RZ          59  04     0
QSO:  7199 PH 2019-10-26 0732 VK2AU         59  30     N7GCO         59  03     0
QSO:  7199 PH 2019-10-26 0732 VK2AU         59  30     KF7U          59  03     0
QSO:  7199 PH 2019-10-26 0733 VK2AU         59  30     W3LPL         59  05     0
QSO:  7199 PH 2019-10-26 0733 VK2AU         59  30     VK4ABH        59  30     0
QSO:  7199 PH 2019-10-26 0734 VK2AU         59  30     K0YR          59  04     0
QSO:  7199 PH 2019-10-26 0734 VK2AU         59  30     N6RV          59  03     0
QSO:  7199 PH 2019-10-26 0736 VK2AU         59  30     AL7KC         59  01     0
QSO:  7199 PH 2019-10-26 0736 VK2AU         59  30     VK4CW         59  30     0
QSO:  7199 PH 2019-10-26 0737 VK2AU         59  30     TM6M          59  14     0
QSO:  7199 PH 2019-10-26 0738 VK2AU         59  30     KM8AM         59  04     0
QSO:  7199 PH 2019-10-26 0738 VK2AU         59  30     KL7RA         59  01     0
QSO:  7199 PH 2019-10-26 0739 VK2AU         59  30     K8AZ          59  04     0
QSO:  7199 PH 2019-10-26 0740 VK2AU         59  30     W7YAQ         59  03     0
QSO:  7199 PH 2019-10-26 0740 VK2AU         59  30     VE5MX         59  04     0
QSO:  7199 PH 2019-10-26 0740 VK2AU         59  30     K4MM          59  05     0
QSO:  7199 PH 2019-10-26 0741 VK2AU         59  30     WV4P          59  04     0
QSO:  7199 PH 2019-10-26 0742 VK2AU         59  30     N7IR          59  03     0
QSO:  7199 PH 2019-10-26 0743 VK2AU         59  30     KD7PCE        59  03     0
QSO:  7199 PH 2019-10-26 0743 VK2AU         59  30     AA6XX         59  03     0
QSO:  7199 PH 2019-10-26 0744 VK2AU         59  30     NA5NN         59  04     0
QSO:  7199 PH 2019-10-26 0744 VK2AU         59  30     KH6PE         59  31     0
QSO:  7199 PH 2019-10-26 0745 VK2AU         59  30     P40W          59  09     0
QSO:  7199 PH 2019-10-26 0745 VK2AU         59  30     KH6KR         59  31     0
QSO:  7199 PH 2019-10-26 0746 VK2AU         59  30     AH2R          59  27     0
QSO:  7199 PH 2019-10-26 0747 VK2AU         59  30     VK5NNN        59  30     0
QSO:  7199 PH 2019-10-26 0747 VK2AU         59  30     ZL1BQD        59  32     0
QSO:  7199 PH 2019-10-26 0748 VK2AU         59  30     KG5CIK        59  04     0
QSO:  7199 PH 2019-10-26 0749 VK2AU         59  30     YJ0CA         59  32     0
QSO:  7199 PH 2019-10-26 0749 VK2AU         59  30     KA6BIM        59  03     0
QSO:  7199 PH 2019-10-26 0750 VK2AU         59  30     W7VO          59  03     0
QSO:  7199 PH 2019-10-26 0751 VK2AU         59  30     WN6K          59  03     0
QSO:  7199 PH 2019-10-26 0751 VK2AU         59  30     N4WW          59  05     0
QSO:  7199 PH 2019-10-26 0752 VK2AU         59  30     KB8OTM        59  04     0
QSO:  7199 PH 2019-10-26 0753 VK2AU         59  30     ND1C          59  05     0
QSO:  7199 PH 2019-10-26 0753 VK2AU         59  30     N0KE          59  04     0
QSO:  7199 PH 2019-10-26 0754 VK2AU         59  30     ZL2W          59  32     0
QSO:  7199 PH 2019-10-26 0755 VK2AU         59  30     KC1XX         59  05     0
QSO:  7199 PH 2019-10-26 0757 VK2AU         59  30     VE7ZSH        59  03     0
QSO:  7199 PH 2019-10-26 0757 VK2AU         59  30     K4JP          59  05     0
QSO:  7199 PH 2019-10-26 0758 VK2AU         59  30     K1LTJ         59  05     0
QSO:  7199 PH 2019-10-26 0759 VK2AU         59  30     W9SSS         59  03     0
QSO:  7199 PH 2019-10-26 0800 VK2AU         59  30     W6IA          59  03     0
QSO:  7199 PH 2019-10-26 0801 VK2AU         59  30     N7FKI         59  03     0
QSO:  7199 PH 2019-10-26 0802 VK2AU         59  30     WZ8T          59  03     0
QSO:  7199 PH 2019-10-26 0803 VK2AU         59  30     VK5SFA        59  30     0
QSO:  7199 PH 2019-10-26 0805 VK2AU         59  30     CQ8M          59  14     0
QSO:  7199 PH 2019-10-26 0808 VK2AU         59  30     W6MOB         59  03     0
QSO:  7199 PH 2019-10-26 0810 VK2AU         59  30     WA2VYA        59  04     0
QSO:  7199 PH 2019-10-26 0811 VK2AU         59  30     ZL2MF         59  32     0
QSO:  7199 PH 2019-10-26 0811 VK2AU         59  30     ZL4YY         59  32     0
QSO:  7199 PH 2019-10-26 0812 VK2AU         59  30     VK2PAA        59  30     0
QSO:  7199 PH 2019-10-26 0813 VK2AU         59  30     K7ZS          59  03     0
QSO:  7199 PH 2019-10-26 0814 VK2AU         59  30     K7DAA         59  03     0
QSO:  7199 PH 2019-10-26 0815 VK2AU         59  30     ZL2AJ         59  32     0
QSO:  7199 PH 2019-10-26 0818 VK2AU         59  30     ZL2MM         59  32     0
QSO:  7199 PH 2019-10-26 0820 VK2AU         59  30     DJ1AA         59  14     0
QSO:  7199 PH 2019-10-26 0821 VK2AU         59  30     GW3YDX        59  14     0
QSO:  7199 PH 2019-10-26 0822 VK2AU         59  30     CE2SQE        59  12     0
QSO:  7199 PH 2019-10-26 0823 VK2AU         59  30     VK4FAAF       59  30     0
QSO:  7199 PH 2019-10-26 0824 VK2AU         59  30     MD2C          59  14     0
QSO:  7199 PH 2019-10-26 0824 VK2AU         59  30     DP6A          59  14     0
QSO:  7199 PH 2019-10-26 0827 VK2AU         59  30     K6NA          59  03     0
QSO:  7199 PH 2019-10-26 0828 VK2AU         59  30     K4RO          59  04     0
QSO:  7129 PH 2019-10-26 0832 VK2AU         59  30     ZM4T          59  32     0
QSO:  7199 PH 2019-10-26 0839 VK2AU         59  30     VK5IR         59  30     0
QSO:  7199 PH 2019-10-26 0841 VK2AU         59  30     ZL4NR         59  32     0
