START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: VE7BGP
LOCATION: BC
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY:
GRID-LOCATOR: CN79XF
CLAIMED-SCORE: 10602
NAME: Gerry Pement
OPERATORS: VE7BGP
CLUB: NANAIMO AMATEUR RADIO ASSOCIATION
CREATED-BY: N1MM Logger+ 1.0.9319.0
SOAPBOX: FTDX-10 a brand new radio this fall. 73 Gerry
QSO: 14294 PH 2021-10-30 0029 VE7BGP 59    3 KH7Q   59   31 
QSO: 14281 PH 2021-10-30 0030 VE7BGP 59    3 4U1WB  59   05 
QSO: 14286 PH 2021-10-30 0032 VE7BGP 59    3 K4AB   59   04 
QSO:  3729 PH 2021-10-30 0400 VE7BGP 59    3 VE6FI  59   04 
QSO:  3745 PH 2021-10-30 0516 VE7BGP 59    3 K3EST  59   03 
QSO:  3765 PH 2021-10-30 0613 VE7BGP 59    3 ND7K   59   03 
QSO:  3788 PH 2021-10-30 0708 VE7BGP 59    3 K5TR   59   04 
QSO: 21222 PH 2021-10-30 1901 VE7BGP 59    3 WX3B   59   05 
QSO: 21233 PH 2021-10-30 1905 VE7BGP 59    3 WK1O   59   05 
QSO: 28403 PH 2021-10-30 1929 VE7BGP 59    3 K5TR   59   04 
QSO: 28417 PH 2021-10-30 1934 VE7BGP 59    3 PJ2T   59   09 
QSO: 28434 PH 2021-10-30 1952 VE7BGP 59    3 LU6ETB 59   13 
QSO: 28437 PH 2021-10-30 2003 VE7BGP 59    3 PJ4K   59   09 
QSO: 28442 PH 2021-10-30 2015 VE7BGP 59    3 PS2T   59   11 
QSO: 28412 PH 2021-10-30 2040 VE7BGP 59    3 PU4MMZ 59   11 
QSO: 28395 PH 2021-10-30 2154 VE7BGP 59    3 ZV1T   59   11 
QSO: 28353 PH 2021-10-30 2200 VE7BGP 59    3 PY2YU  59   11 
QSO: 28347 PH 2021-10-30 2201 VE7BGP 59    3 WX3B   59   05 
QSO: 21241 PH 2021-10-30 2314 VE7BGP 59    3 WA7NB  59   03 
QSO: 21230 PH 2021-10-30 2315 VE7BGP 59    3 W9RE   59   04 
QSO: 21256 PH 2021-10-30 2333 VE7BGP 59    3 YC0AGW 59   28 
QSO: 21269 PH 2021-10-30 2335 VE7BGP 59    3 DU3TW  59   27 
QSO: 21275 PH 2021-10-30 2337 VE7BGP 59    3 JE1CKA 59   25 
QSO:  7100 PH 2021-10-30 2349 VE7BGP 59    3 VE7DXE 59   03 
QSO: 21276 PH 2021-10-31 0003 VE7BGP 59    3 R0DX   59   19 
QSO: 21282 PH 2021-10-31 0006 VE7BGP 59    3 L21F   59   13 
QSO: 21286 PH 2021-10-31 0007 VE7BGP 59    3 K5GN   59   04 
QSO: 21298 PH 2021-10-31 0015 VE7BGP 59    3 CV7S   59   13 
QSO: 21300 PH 2021-10-31 0034 VE7BGP 59    3 KL7RA  59   01 
QSO: 21333 PH 2021-10-31 0106 VE7BGP 59    3 JE2YRD 59   25 
QSO:  7179 PH 2021-10-31 0547 VE7BGP 59    3 KL7RA  59   01 
QSO:  3744 PH 2021-10-31 1617 VE7BGP 59    3 VA7EGZ 59   03 
QSO: 14293 PH 2021-10-31 1744 VE7BGP 59    3 9A7A   59   15 
QSO: 14294 PH 2021-10-31 1857 VE7BGP 59    3 F4GGQ  59   14 
QSO: 14285 PH 2021-10-31 1902 VE7BGP 59    3 OH4X   59   15 
QSO: 14297 PH 2021-10-31 1903 VE7BGP 59    3 EI7M   59   14 
QSO: 14245 PH 2021-10-31 1926 VE7BGP 59    3 TM3R   59   14 
QSO: 14281 PH 2021-10-31 1958 VE7BGP 59    3 W6AFA  59   03 
QSO: 21225 PH 2021-10-31 2001 VE7BGP 59    3 CM2XN  59   08 
QSO: 21231 PH 2021-10-31 2008 VE7BGP 59    3 TI5GCO 59   07 
QSO: 21222 PH 2021-10-31 2143 VE7BGP 59    3 P43A   59   09 
QSO: 21240 PH 2021-10-31 2156 VE7BGP 59    3 PY5FO  59   11 
QSO: 21255 PH 2021-10-31 2159 VE7BGP 59    3 9Y4D   59   09 
QSO: 21261 PH 2021-10-31 2200 VE7BGP 59    3 PJ2T   59   09 
QSO: 21288 PH 2021-10-31 2218 VE7BGP 59    3 K9BGL  59   04 
QSO: 21326 PH 2021-10-31 2223 VE7BGP 59    3 JL3VUL/3 59   25 
QSO: 21340 PH 2021-10-31 2225 VE7BGP 59    3 VJ4K   59   30 
QSO: 21348 PH 2021-10-31 2228 VE7BGP 59    3 JR2GRX 59   25 
QSO: 21364 PH 2021-10-31 2232 VE7BGP 59    3 PJ4G   59   09 
QSO: 21359 PH 2021-10-31 2235 VE7BGP 59    3 PY4EK  59   11 
QSO: 21386 PH 2021-10-31 2238 VE7BGP 59    3 PV2K   59   11 
QSO: 21383 PH 2021-10-31 2318 VE7BGP 59    3 JR8VSE 59   25 
QSO: 14184 PH 2021-10-31 2319 VE7BGP 59    3 JF2QNM 59   25 
QSO: 21392 PH 2021-10-31 2321 VE7BGP 59    3 JA3YBK 59   25 
QSO: 21400 PH 2021-10-31 2323 VE7BGP 59    3 JE2YRB 59   25 
QSO: 21401 PH 2021-10-31 2324 VE7BGP 59    3 NA2U   59   03 
QSO: 21406 PH 2021-10-31 2327 VE7BGP 59    3 JF7PHE 59   25 
QSO: 21411 PH 2021-10-31 2329 VE7BGP 59    3 JI2ZJS 59   25 
QSO: 21428 PH 2021-10-31 2331 VE7BGP 59    3 JA7QVI 59   25 
QSO: 21432 PH 2021-10-31 2333 VE7BGP 59    3 JI2ZEY 59   25 
QSO: 21438 PH 2021-10-31 2335 VE7BGP 59    3 JG1CFO 59   25 
QSO: 21443 PH 2021-10-31 2336 VE7BGP 59    3 JH1NBN 59   25 
QSO: 21447 PH 2021-10-31 2338 VE7BGP 59    3 JN1THL 59   25 
QSO: 21243 PH 2021-10-31 2343 VE7BGP 59    3 7A2A   59   28 
QSO: 21231 PH 2021-10-31 2344 VE7BGP 59    3 N5AW   59   04 
QSO: 21237 PH 2021-10-31 2345 VE7BGP 59    3 AD4EB  59   04 
QSO: 14216 PH 2021-10-31 2355 VE7BGP 59    3 BH4AAD 59   24 
END-OF-LOG:
