START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: GM2T
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: TWO
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: 
GRID-LOCATOR: IO85SX
CLAIMED-SCORE: 4905120
NAME: Bob Glasgow
OPERATORS: GM4UYZ MM0DXC MM0VPR MM0CCC MM5AHO M0RNR MM0NBW 2M0EGH M0THL GM4GZW
OPERATORS: MM0XAB 2M0ILZ 2M0PGO
CLUB: COCKENZIE AND PORT SETON ARC
CREATED-BY: Win-Test 4.47.0
SOAPBOX: Another fantastic contest enjoyed by all. The weather from start to finish
SOAPBOX: was a howling gale and torrential rain.
SOAPBOX: We also got the chance to introduce two people to contesting, father and
SOAPBOX: son (13 years old). They are both recently licensed and took to operating
SOAPBOX: like ducks to water. Great additions to our contest team
QSO:  1880 PH 2023-10-28 0000 GM2T   59   14 DA0BCC 59   14 1
QSO:  1871 PH 2023-10-28 0000 GM2T   59   14 CN3A   59   33 1
QSO:  1860 PH 2023-10-28 0001 GM2T   59   14 PI4M   59   14 1
QSO:  3779 PH 2023-10-28 0001 GM2T   59   14 A1XH   59   01 0
QSO:  3779 PH 2023-10-28 0002 GM2T   59   14 IB3M   59   15 0
QSO:  3779 PH 2023-10-28 0002 GM2T   59   14 MD4K   59   14 0
QSO:  1845 PH 2023-10-28 0003 GM2T   59   14 OT5A   59   14 1
QSO:  1849 PH 2023-10-28 0003 GM2T   59   14 9A1A   59   15 1
QSO:  3671 PH 2023-10-28 0004 GM2T   59   14 LY4L   59   15 0
QSO:  1856 PH 2023-10-28 0004 GM2T   59   14 S56X   59   15 1
QSO:  3695 PH 2023-10-28 0004 GM2T   59   14 M4A    59   14 0
QSO:  1863 PH 2023-10-28 0004 GM2T   59   14 LX1NO  59   14 1
QSO:  1886 PH 2023-10-28 0005 GM2T   59   14 SN0R   59   15 1
QSO:  3750 PH 2023-10-28 0005 GM2T   59   14 TF3T   59   40 0
QSO:  1874 PH 2023-10-28 0005 GM2T   59   14 M6C    59   14 1
QSO:  3709 PH 2023-10-28 0006 GM2T   59   14 OT7T   59   14 0
QSO:  3712 PH 2023-10-28 0006 GM2T   59   14 DR4A   59   14 0
QSO:  3648 PH 2023-10-28 0006 GM2T   59   14 9A6KX  59   15 0
