START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: VE3DC
LOCATION: ON
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: TWO
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: 
GRID-LOCATOR: 
CLAIMED-SCORE: 68620
NAME: Contest Club Ontario
OPERATORS: VE3BK VE3QU
CLUB: CONTEST CLUB ONTARIO
CREATED-BY: WriteLog V12.75C
SOAPBOX: Had fun working 40m in the wee hours and 15m in
SOAPBOX: the daytime, Bands were good and Scott had fun
SOAPBOX: on 10m. Thanks to all that worked us 73 Rick VE3BK
QSO:  7000 PH 2023-10-28 1055 VE3DC  59    4 PJ4G   59   09 1
QSO:  7207 PH 2023-10-28 1107 VE3DC  59    4 PJ2T   59   09 1
QSO:  7000 PH 2023-10-28 1108 VE3DC  59    4 K4QQG  59   05 1
QSO: 14290 PH 2023-10-28 1122 VE3DC  59    4 ZF1A   59    8 0
QSO: 14196 PH 2023-10-28 1256 VE3DC  59    4 HD1A   59   10 0
QSO: 14292 PH 2023-10-28 1306 VE3DC  59    4 S57DX  59   15 0
QSO: 14245 PH 2023-10-28 1311 VE3DC  59    4 LZ9W   59   20 0
QSO:  7000 PH 2023-10-28 1312 VE3DC  59    4 K3LR   59   05 1
QSO: 14233 PH 2023-10-28 1314 VE3DC  59    4 HG5E   59   15 0
QSO: 14202 PH 2023-10-28 1314 VE3DC  59    4 F8DVD  59   14 0
QSO: 14257 PH 2023-10-28 1330 VE3DC  59    4 HA8A   59   15 0
QSO: 14228 PH 2023-10-28 1336 VE3DC  59    4 EI4IZB 59   14 0
QSO: 21272 PH 2023-10-28 1344 VE3DC  59    4 DM0Y   59   14 0
QSO: 21241 PH 2023-10-28 1347 VE3DC  59    4 M6T    59   14 0
QSO: 28000 PH 2023-10-28 1506 VE3DC  59    4 IY3A   59   15 1
QSO: 28000 PH 2023-10-28 1508 VE3DC  59    4 DL5L   59   14 1
QSO: 28000 PH 2023-10-28 1510 VE3DC  59    4 EA4R   59   14 1
QSO: 21336 PH 2023-10-28 1510 VE3DC  59    4 TI7W   59    7 0
QSO: 28000 PH 2023-10-28 1511 VE3DC  59    4 EF2O   59   14 1
QSO: 28000 PH 2023-10-28 1516 VE3DC  59    4 CR6K   59   14 1
QSO: 28000 PH 2023-10-28 1519 VE3DC  59    4 EA1BLI 59   14 1
QSO: 28000 PH 2023-10-28 1524 VE3DC  59    4 IZ4REF 59   15 1
QSO: 28000 PH 2023-10-28 1526 VE3DC  59    4 OT5A   59   14 1
QSO: 21342 PH 2023-10-28 1527 VE3DC  59    4 DM7XX  59   14 0
QSO: 21298 PH 2023-10-28 1527 VE3DC  59    4 9A1A   59   15 0
QSO: 28000 PH 2023-10-28 1528 VE3DC  59    4 IK1ZOF 59   15 1
QSO: 21315 PH 2023-10-28 1528 VE3DC  59    4 II4A   59   15 0
QSO: 28000 PH 2023-10-28 1529 VE3DC  59    4 CQ3W   59   33 1
QSO: 28000 PH 2023-10-28 1530 VE3DC  59    4 9A9Z   59   15 1
QSO: 21218 PH 2023-10-28 1532 VE3DC  59    4 EA4TG  59   14 0
QSO: 28000 PH 2023-10-28 1532 VE3DC  59    4 YU5R   59   15 1
QSO: 21347 PH 2023-10-28 1532 VE3DC  59    4 TM7A   59   14 0
QSO: 21242 PH 2023-10-28 1535 VE3DC  59    4 DR4A   59   14 0
QSO: 28000 PH 2023-10-28 1535 VE3DC  59    4 E7DX   59   15 1
QSO: 21223 PH 2023-10-28 1539 VE3DC  59    4 DF0HQ  59   14 0
QSO: 28571 PH 2023-10-28 1540 VE3DC  59    4 MM9I   59   14 1
QSO: 28000 PH 2023-10-28 1541 VE3DC  59    4 9A7A   59   15 1
QSO: 28000 PH 2023-10-28 1544 VE3DC  59    4 DR0W   59   14 1
QSO: 21207 PH 2023-10-28 1546 VE3DC  59    4 S52WW  59   15 0
QSO: 28000 PH 2023-10-28 1547 VE3DC  59    4 IQ4FA  59   15 1
QSO: 28000 PH 2023-10-28 1548 VE3DC  59    4 F5NBX  59   14 1
QSO: 28000 PH 2023-10-28 1549 VE3DC  59    4 S53MM  59   15 1
QSO: 21350 PH 2023-10-28 1553 VE3DC  59    4 ZF1A   59    8 0
QSO: 28000 PH 2023-10-28 1554 VE3DC  59    4 IU4ICT 59   15 1
QSO: 21316 PH 2023-10-28 1556 VE3DC  59    4 PJ4K   59    9 0
QSO: 21263 PH 2023-10-28 1558 VE3DC  59    4 ED8W   59   33 0
QSO: 28000 PH 2023-10-28 1559 VE3DC  59    4 ED8M   59   33 1
QSO: 28000 PH 2023-10-28 1611 VE3DC  59    4 HA5JI  59   15 1
QSO: 28000 PH 2023-10-28 1616 VE3DC  59    4 F4EUG  59   14 1
QSO: 28000 PH 2023-10-28 1620 VE3DC  59    4 SN7D   59   15 1
QSO: 28000 PH 2023-10-28 1626 VE3DC  59    4 CR5T   59   14 1
QSO: 28000 PH 2023-10-28 1627 VE3DC  59    4 DL3ON  59   14 1
QSO: 28000 PH 2023-10-28 1633 VE3DC  59    4 9A1A   59   15 1
QSO: 21238 PH 2023-10-28 1640 VE3DC  59    4 6Y1V   59    8 0
QSO: 21210 PH 2023-10-28 1642 VE3DC  59    4 PX2A   59   11 0
QSO: 21410 PH 2023-10-28 1644 VE3DC  59    4 HK1T   59    9 0
QSO: 28418 PH 2023-10-28 1655 VE3DC  59    4 F4ETG  59   14 1
QSO: 28000 PH 2023-10-28 1704 VE3DC  59    4 EA1DR  59   14 1
QSO: 28000 PH 2023-10-28 1712 VE3DC  59    4 IB1D   59   15 1
QSO: 28000 PH 2023-10-28 1713 VE3DC  59    4 9A2EU  59   15 1
QSO: 28485 PH 2023-10-28 2002 VE3DC  59    4 TI7W   59   07 1
QSO: 28000 PH 2023-10-28 2003 VE3DC  59    4 VP5M   59   08 1
QSO: 28000 PH 2023-10-28 2006 VE3DC  59    4 OG66X  59   15 1
QSO: 28000 PH 2023-10-28 2104 VE3DC  59    4 6Y1V   59   08 1
QSO: 28000 PH 2023-10-28 2106 VE3DC  59    4 CN3R   59   33 1
QSO: 28000 PH 2023-10-28 2114 VE3DC  59    4 PJ4K   59   09 1
QSO: 28000 PH 2023-10-28 2119 VE3DC  59    4 TI1Z   59   07 1
QSO: 28000 PH 2023-10-28 2127 VE3DC  59    4 KP4AA  59   08 1
QSO: 28000 PH 2023-10-28 2133 VE3DC  59    4 V31XX  59   07 1
QSO: 28000 PH 2023-10-28 2134 VE3DC  59    4 PP5KQ  59   11 1
QSO:  7000 PH 2023-10-29 0147 VE3DC  59    4 ZF1A   59   08 1
QSO:  7000 PH 2023-10-29 0148 VE3DC  59    4 VE6SV  59   04 1
QSO:  7000 PH 2023-10-29 0158 VE3DC  59    4 IR4X   59   15 1
QSO:  7000 PH 2023-10-29 0223 VE3DC  59    4 ED5R   59   14 1
QSO:  7000 PH 2023-10-29 0412 VE3DC  59    4 V26B   59   08 1
QSO:  7000 PH 2023-10-29 0415 VE3DC  59    4 PJ4K   59   09 1
QSO:  7000 PH 2023-10-29 0452 VE3DC  59    4 N5RZ   59   04 1
QSO:  7000 PH 2023-10-29 0513 VE3DC  59    4 NP4Z   59   08 1
QSO:  7000 PH 2023-10-29 0524 VE3DC  59    4 CR6P   59   14 1
QSO:  7136 PH 2023-10-29 0724 VE3DC  59    4 CR3DX  59   33 0
QSO:  7179 PH 2023-10-29 0727 VE3DC  59    4 CN3A   59   33 0
QSO:  7132 PH 2023-10-29 0727 VE3DC  59    4 M6T    59   14 0
QSO:  7192 PH 2023-10-29 0735 VE3DC  59    4 HI8RD  59    8 0
QSO:  7179 PH 2023-10-29 0736 VE3DC  59    4 CN3A   59   33 0
QSO:  7211 PH 2023-10-29 0740 VE3DC  59    4 N5RZ   59    4 0
QSO:  7105 PH 2023-10-29 0743 VE3DC  59    4 V47T   59    8 0
QSO:  7083 PH 2023-10-29 0746 VE3DC  59    4 VP8MDM 59    8 0
QSO:  7061 PH 2023-10-29 0749 VE3DC  59    4 ZF1A   59    8 0
QSO:  7090 PH 2023-10-29 0753 VE3DC  59    4 V26B   59    8 0
QSO:  7070 PH 2023-10-29 0804 VE3DC  59    4 PJ4K   59    9 0
QSO:  7135 PH 2023-10-29 0808 VE3DC  59    4 WP3C   59    8 0
QSO:  7160 PH 2023-10-29 0815 VE3DC  59    4 V3A    59    7 0
QSO:  7197 PH 2023-10-29 0845 VE3DC  59    4 6Y1V   59    8 0
QSO:  7171 PH 2023-10-29 0852 VE3DC  59    4 ZF1A   59    8 0
QSO: 28000 PH 2023-10-29 1435 VE3DC  59    4 EA2W   59   14 1
QSO: 28000 PH 2023-10-29 1437 VE3DC  59    4 EA9ACD 59   33 1
QSO: 28000 PH 2023-10-29 1440 VE3DC  59    4 8P5A   59   08 1
QSO: 28000 PH 2023-10-29 1447 VE3DC  59    4 IB9A   59   15 1
QSO: 28000 PH 2023-10-29 1449 VE3DC  59    4 IS0BSR 59   15 1
QSO: 28000 PH 2023-10-29 1457 VE3DC  59    4 V47T   59   08 1
QSO: 28000 PH 2023-10-29 1458 VE3DC  59    4 IP3A   59   15 1
QSO: 28000 PH 2023-10-29 1508 VE3DC  59    4 VO2MS  59   02 1
QSO: 28000 PH 2023-10-29 1548 VE3DC  59    4 VE3IMU 59   04 1
QSO: 28000 PH 2023-10-29 1549 VE3DC  59    4 VA3SV  59   04 1
QSO: 28000 PH 2023-10-29 1552 VE3DC  59    4 IR4X   59   15 1
QSO: 28000 PH 2023-10-29 1552 VE3DC  59    4 IO3W   59   15 1
QSO: 28000 PH 2023-10-29 1607 VE3DC  59    4 ED2X   59   14 1
QSO: 28000 PH 2023-10-29 1608 VE3DC  59    4 TM1K   59   14 1
QSO: 28000 PH 2023-10-29 1626 VE3DC  59    4 TM2T   59   14 1
QSO: 28000 PH 2023-10-29 1630 VE3DC  59    4 EA1FBU 59   14 1
QSO: 28000 PH 2023-10-29 1632 VE3DC  59    4 ED3E   59   14 1
QSO: 28000 PH 2023-10-29 1641 VE3DC  59    4 N2IC   59   04 1
QSO: 28000 PH 2023-10-29 1643 VE3DC  59    4 EA2DMH 59   14 1
QSO: 28000 PH 2023-10-29 1703 VE3DC  59    4 EA1U   59   14 1
QSO: 28000 PH 2023-10-29 1707 VE3DC  59    4 K5TR   59   04 1
QSO: 28000 PH 2023-10-29 1712 VE3DC  59    4 EA8RM  59   33 1
QSO: 28000 PH 2023-10-29 1726 VE3DC  59    4 V01GRC 59   05 1
QSO: 28382 PH 2023-10-29 1734 VE3DC  59    4 PZ5CO  59   09 1
QSO: 21396 PH 2023-10-29 1956 VE3DC  59    4 PV2K   59   11 0
QSO: 21372 PH 2023-10-29 1957 VE3DC  59    4 PJ4DX  59    9 0
QSO: 21377 PH 2023-10-29 1958 VE3DC  59    4 P49Y   59    9 0
QSO: 21401 PH 2023-10-29 1958 VE3DC  59    4 8P5A   59    8 0
QSO: 21312 PH 2023-10-29 2001 VE3DC  59    4 ZD7BG  59   36 0
QSO: 21232 PH 2023-10-29 2002 VE3DC  59    4 EF5U   59   14 0
QSO: 21207 PH 2023-10-29 2006 VE3DC  59    4 PZ5TW  59    9 0
QSO: 21317 PH 2023-10-29 2007 VE3DC  59    4 HQ9A   59    7 0
QSO: 21437 PH 2023-10-29 2009 VE3DC  59    4 8P6NW  59    8 0
QSO: 21429 PH 2023-10-29 2010 VE3DC  59    4 CO8ZZ  59    8 0
QSO: 21321 PH 2023-10-29 2011 VE3DC  59    4 IQ0ID  59   15 0
QSO: 21391 PH 2023-10-29 2012 VE3DC  59    4 EA8DM  59   33 0
QSO: 21263 PH 2023-10-29 2013 VE3DC  59    4 V26B   59    8 0
QSO: 21385 PH 2023-10-29 2018 VE3DC  59    4 NP2KW  59    8 0
QSO: 21236 PH 2023-10-29 2019 VE3DC  59    4 CQ8M   59   14 0
QSO: 21415 PH 2023-10-29 2021 VE3DC  59    4 NP4Z   59    8 0
QSO: 21448 PH 2023-10-29 2022 VE3DC  59    4 FY5FY  59    9 0
QSO: 21375 PH 2023-10-29 2024 VE3DC  59    4 V47T   59    8 0
QSO: 21421 PH 2023-10-29 2025 VE3DC  59    4 HK3C   59    9 0
QSO: 21428 PH 2023-10-29 2027 VE3DC  59    4 CT3KN  59   33 0
