START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.5.1
CONTEST: CQ-WW-RTTY
LOCATION: DX
CALLSIGN: DF5LR
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 204048
OPERATORS:
CLUB:
NAME: Andreas Lehner
SOAPBOX:
QSO: 	7000 	RY 	2012-09-29 	0737 	DF5LR 	599 	14 	DX 	YT8A 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-29 	0740 	DF5LR 	599 	14 	DX 	IZ2GNQ 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-29 	0742 	DF5LR 	599 	14 	DX 	SP4YPB 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-29 	0743 	DF5LR 	599 	14 	DX 	PA1NL 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-29 	0745 	DF5LR 	599 	14 	DX 	3Z5W 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-29 	0746 	DF5LR 	599 	14 	DX 	9A1A 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-29 	0748 	DF5LR 	599 	14 	DX 	IV3AZV 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-29 	0750 	DF5LR 	599 	14 	DX 	ON5KQ 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-29 	0751 	DF5LR 	599 	14 	DX 	PA3DBS 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-29 	0753 	DF5LR 	599 	14 	DX 	IK2SBB 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-29 	0757 	DF5LR 	599 	14 	DX 	OK2SAR 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-29 	0758 	DF5LR 	599 	14 	DX 	PA2WO 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-29 	0802 	DF5LR 	599 	14 	DX 	GW4SKA 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-29 	0805 	DF5LR 	599 	14 	DX 	DM5WH 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-29 	0812 	DF5LR 	599 	14 	DX 	DL6UAM 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-29 	0813 	DF5LR 	599 	14 	DX 	PA3ARM 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-29 	0817 	DF5LR 	599 	14 	DX 	9A2UZ 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-29 	0818 	DF5LR 	599 	14 	DX 	YT0A 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-29 	0819 	DF5LR 	599 	14 	DX 	G0UGO 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-29 	0819 	DF5LR 	599 	14 	DX 	DL2ZA 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-29 	0821 	DF5LR 	599 	14 	DX 	PA3CMF 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-29 	0822 	DF5LR 	599 	14 	DX 	DL1AIW 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-29 	0822 	DF5LR 	599 	14 	DX 	DM5TI 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-29 	0825 	DF5LR 	599 	14 	DX 	IZ3NVR 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-29 	0832 	DF5LR 	599 	14 	DX 	ED2Y 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-29 	0836 	DF5LR 	599 	14 	DX 	OH6R 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-29 	0837 	DF5LR 	599 	14 	DX 	I4JEE 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-29 	0841 	DF5LR 	599 	14 	DX 	HG6C 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-29 	0843 	DF5LR 	599 	14 	DX 	OK1GSB 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-29 	0844 	DF5LR 	599 	14 	DX 	DH6BH 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-29 	0845 	DF5LR 	599 	14 	DX 	DL3SYA 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-29 	0847 	DF5LR 	599 	14 	DX 	E73KM 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-29 	0851 	DF5LR 	599 	14 	DX 	ON3DI 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-29 	0852 	DF5LR 	599 	14 	DX 	DK5MJ 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-29 	0853 	DF5LR 	599 	14 	DX 	HA7YS 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-29 	0853 	DF5LR 	599 	14 	DX 	DL3JR 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-29 	0856 	DF5LR 	599 	14 	DX 	DL5SWB 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-29 	0858 	DF5LR 	599 	14 	DX 	IV3IIM 	599 	15 	DX
QSO: 	14000 	RY 	2012-09-29 	0925 	DF5LR 	599 	14 	DX 	EC7KW 	599 	14 	DX
QSO: 	14000 	RY 	2012-09-29 	0926 	DF5LR 	599 	14 	DX 	DJ8OG 	599 	14 	DX
QSO: 	14000 	RY 	2012-09-29 	0927 	DF5LR 	599 	14 	DX 	RA9DF 	599 	17 	DX
QSO: 	14000 	RY 	2012-09-29 	0929 	DF5LR 	599 	14 	DX 	UT7E 	599 	16 	DX
QSO: 	14000 	RY 	2012-09-29 	0930 	DF5LR 	599 	14 	DX 	EI6KD 	599 	14 	DX
QSO: 	14000 	RY 	2012-09-29 	0932 	DF5LR 	599 	14 	DX 	EW1NM 	599 	16 	DX
QSO: 	14000 	RY 	2012-09-29 	0935 	DF5LR 	599 	14 	DX 	S51AF 	599 	15 	DX
QSO: 	14000 	RY 	2012-09-29 	0938 	DF5LR 	599 	14 	DX 	EU1DX 	599 	16 	DX
QSO: 	14000 	RY 	2012-09-29 	0939 	DF5LR 	599 	14 	DX 	RW4WZ 	599 	16 	DX
QSO: 	14000 	RY 	2012-09-29 	0942 	DF5LR 	599 	14 	DX 	EU6AF 	599 	16 	DX
QSO: 	14000 	RY 	2012-09-29 	0944 	DF5LR 	599 	14 	DX 	EF7R 	599 	14 	DX
QSO: 	14000 	RY 	2012-09-29 	0947 	DF5LR 	599 	14 	DX 	EA7HLU/ 	599 	14 	DX
QSO: 	14000 	RY 	2012-09-29 	0948 	DF5LR 	599 	14 	DX 	IT9BLB 	599 	15 	DX
QSO: 	14000 	RY 	2012-09-29 	0950 	DF5LR 	599 	14 	DX 	GM3C 	599 	14 	DX
QSO: 	14000 	RY 	2012-09-29 	0951 	DF5LR 	599 	14 	DX 	HF4K 	599 	15 	DX
QSO: 	14000 	RY 	2012-09-29 	0953 	DF5LR 	599 	14 	DX 	UN1L 	599 	17 	DX
QSO: 	14000 	RY 	2012-09-29 	0955 	DF5LR 	599 	14 	DX 	ER4A 	599 	16 	DX
QSO: 	14000 	RY 	2012-09-29 	0958 	DF5LR 	599 	14 	DX 	K1SFA 	599 	05 	MA
QSO: 	14000 	RY 	2012-09-29 	1006 	DF5LR 	599 	14 	DX 	LZ5R 	599 	20 	DX
QSO: 	14000 	RY 	2012-09-29 	1009 	DF5LR 	599 	14 	DX 	PA7LV 	599 	14 	DX
QSO: 	14000 	RY 	2012-09-29 	1014 	DF5LR 	599 	14 	DX 	M0OSH 	599 	14 	DX
QSO: 	14000 	RY 	2012-09-29 	1021 	DF5LR 	599 	14 	DX 	RW0A 	599 	17 	DX
QSO: 	14000 	RY 	2012-09-29 	1023 	DF5LR 	599 	14 	DX 	SM6BZV 	599 	14 	DX
QSO: 	14000 	RY 	2012-09-29 	1024 	DF5LR 	599 	14 	DX 	LA1K 	599 	14 	DX
QSO: 	14000 	RY 	2012-09-29 	1028 	DF5LR 	599 	14 	DX 	K4FJ 	599 	05 	VA
QSO: 	14000 	RY 	2012-09-29 	1029 	DF5LR 	599 	14 	DX 	K1FWE 	599 	05 	NH
QSO: 	14000 	RY 	2012-09-29 	1031 	DF5LR 	599 	14 	DX 	JE1ZWT 	599 	25 	DX
QSO: 	14000 	RY 	2012-09-29 	1032 	DF5LR 	599 	14 	DX 	S50W 	599 	15 	DX
QSO: 	14000 	RY 	2012-09-29 	1034 	DF5LR 	599 	14 	DX 	Z37M 	599 	15 	DX
QSO: 	14000 	RY 	2012-09-29 	1035 	DF5LR 	599 	14 	DX 	OH4A 	599 	15 	DX
QSO: 	14000 	RY 	2012-09-29 	1036 	DF5LR 	599 	14 	DX 	LY5W 	599 	15 	DX
QSO: 	14000 	RY 	2012-09-29 	1038 	DF5LR 	599 	14 	DX 	K4FX 	599 	05 	NC
QSO: 	14000 	RY 	2012-09-29 	1040 	DF5LR 	599 	14 	DX 	OH0I 	599 	15 	DX
QSO: 	14000 	RY 	2012-09-29 	1044 	DF5LR 	599 	14 	DX 	NC4CS 	599 	05 	NC
QSO: 	14000 	RY 	2012-09-29 	1053 	DF5LR 	599 	14 	DX 	YT2R 	599 	15 	DX
QSO: 	14000 	RY 	2012-09-29 	1054 	DF5LR 	599 	14 	DX 	9A1A 	599 	15 	DX
QSO: 	14000 	RY 	2012-09-29 	1057 	DF5LR 	599 	14 	DX 	OZ6TL 	599 	14 	DX
QSO: 	14000 	RY 	2012-09-29 	1100 	DF5LR 	599 	14 	DX 	LA7HJA 	599 	14 	DX
QSO: 	14000 	RY 	2012-09-29 	1101 	DF5LR 	599 	14 	DX 	UY7MM 	599 	16 	DX
QSO: 	14000 	RY 	2012-09-29 	1106 	DF5LR 	599 	14 	DX 	S53M 	599 	15 	DX
QSO: 	14000 	RY 	2012-09-29 	1108 	DF5LR 	599 	14 	DX 	K3OQ 	599 	05 	MD
QSO: 	14000 	RY 	2012-09-29 	1111 	DF5LR 	599 	14 	DX 	K4GMH 	599 	05 	VA
QSO: 	14000 	RY 	2012-09-29 	1113 	DF5LR 	599 	14 	DX 	W4AAA 	599 	05 	NC
QSO: 	14000 	RY 	2012-09-29 	1114 	DF5LR 	599 	14 	DX 	EM2G 	599 	16 	DX
QSO: 	14000 	RY 	2012-09-29 	1117 	DF5LR 	599 	14 	DX 	RW6CR 	599 	16 	DX
QSO: 	14000 	RY 	2012-09-29 	1118 	DF5LR 	599 	14 	DX 	RT3P 	599 	16 	DX
QSO: 	14000 	RY 	2012-09-29 	1119 	DF5LR 	599 	14 	DX 	R3VA 	599 	16 	DX
QSO: 	14000 	RY 	2012-09-29 	1121 	DF5LR 	599 	14 	DX 	UN5C 	599 	17 	DX
QSO: 	14000 	RY 	2012-09-29 	1122 	DF5LR 	599 	14 	DX 	UY1HY 	599 	16 	DX
QSO: 	14000 	RY 	2012-09-29 	1125 	DF5LR 	599 	14 	DX 	R9MJ 	599 	17 	DX
QSO: 	14000 	RY 	2012-09-29 	1128 	DF5LR 	599 	14 	DX 	F5VKT 	599 	14 	DX
QSO: 	14000 	RY 	2012-09-29 	1131 	DF5LR 	599 	14 	DX 	UT8IM 	599 	16 	DX
QSO: 	14000 	RY 	2012-09-29 	1135 	DF5LR 	599 	14 	DX 	N2ED 	599 	05 	NJ
QSO: 	14000 	RY 	2012-09-29 	1137 	DF5LR 	599 	14 	DX 	N1MGO 	599 	05 	MA
QSO: 	14000 	RY 	2012-09-29 	1138 	DF5LR 	599 	14 	DX 	OK7O 	599 	15 	DX
