START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: K8AJS
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 94656
NAME: John Bastin
LOCATION: OH
OPERATORS: K8AJS
CLUB: Mad River Radio Club
CREATED-BY: N1MM Logger+ 1.0.7954.0
SOAPBOX: QSL with W5MMW 2019-09-28 1909Z I know the zone is incorrect, but
SOAPBOX: that is what he sent, so that is what I logged.
QSO: 14083 RY 2019-09-28 0000 K8AJS         599 04 OH  K6LL          599 03 AZ
QSO: 14084 RY 2019-09-28 0001 K8AJS         599 04 OH  K7BTW         599 03 WA
QSO: 14082 RY 2019-09-28 0006 K8AJS         599 04 OH  N5KWN         599 04 TX
QSO: 14083 RY 2019-09-28 0009 K8AJS         599 04 OH  K6AW          599 03 CA
QSO: 14086 RY 2019-09-28 0012 K8AJS         599 04 OH  AA2MF         599 05 FL
QSO: 14087 RY 2019-09-28 0014 K8AJS         599 04 OH  P49X          599 09 DX
QSO: 14088 RY 2019-09-28 0015 K8AJS         599 04 OH  W7VXS         599 03 WA
QSO: 14089 RY 2019-09-28 0017 K8AJS         599 04 OH  W3GH          599 05 PA
QSO: 14090 RY 2019-09-28 0018 K8AJS         599 04 OH  K7RI          599 03 WA
QSO: 14091 RY 2019-09-28 0019 K8AJS         599 04 OH  W0LSD         599 04 CO
QSO: 14093 RY 2019-09-28 0023 K8AJS         599 04 OH  V31VP         599 07 DX
QSO: 14098 RY 2019-09-28 0029 K8AJS         599 04 OH  LU7HN         599 13 DX
QSO: 14099 RY 2019-09-28 0030 K8AJS         599 04 OH  K5AM          599 04 NM
QSO: 14100 RY 2019-09-28 0033 K8AJS         599 04 OH  4U1WB         599 05 DC
QSO: 14103 RY 2019-09-28 0035 K8AJS         599 04 OH  XE1CT         599 06 DX
