START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: PA0PIW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 61268
NAME: Gerard Hol
LOCATION: DX
CLUB: VERON REGIO 03
CREATED-BY: UcxLog 7.97
SOAPBOX: flex 6600m     ant  steppIR db18e up to 20 mtr   pwr 100 watt
QSO: 14089 RY 2019-09-28 1139 PA0PIW        599 14 DX  UA9SBQ        599 16 DX
QSO: 14086 RY 2019-09-28 1141 PA0PIW        599 14 DX  RU4SS         599 16 DX
QSO: 14086 RY 2019-09-28 1141 PA0PIW        599 14 DX  UB3PDW        599 16 DX
QSO: 14086 RY 2019-09-28 1145 PA0PIW        599 14 DX  EW6W          599 16 DX
QSO: 14086 RY 2019-09-28 1146 PA0PIW        599 14 DX  LY2SA         599 15 DX
QSO: 14086 RY 2019-09-28 1147 PA0PIW        599 14 DX  RA3NC         599 16 DX
QSO: 14086 RY 2019-09-28 1148 PA0PIW        599 14 DX  LY3CY         599 15 DX
QSO: 14086 RY 2019-09-28 1148 PA0PIW        599 14 DX  EW8DX         599 16 DX
QSO: 14086 RY 2019-09-28 1150 PA0PIW        599 14 DX  OM3KSI        599 15 DX
QSO: 14086 RY 2019-09-28 1151 PA0PIW        599 14 DX  UR3AC         599 16 DX
QSO: 14086 RY 2019-09-28 1157 PA0PIW        599 14 DX  SP7AH         599 15 DX
QSO: 14086 RY 2019-09-28 1158 PA0PIW        599 14 DX  RA6AAW        599 16 DX
QSO: 14082 RY 2019-09-28 1217 PA0PIW        599 14 DX  UT3UV         599 16 DX
QSO: 14094 RY 2019-09-28 1224 PA0PIW        599 14 DX  UA4SJO        599 16 DX
QSO: 14094 RY 2019-09-28 1230 PA0PIW        599 14 DX  EM235QM       599 16 DX
QSO: 14094 RY 2019-09-28 1238 PA0PIW        599 14 DX  RU5TT         599 16 DX
QSO: 14094 RY 2019-09-28 1240 PA0PIW        599 14 DX  UC4I          599 16 DX
QSO: 14094 RY 2019-09-28 1240 PA0PIW        599 14 DX  EW7BA         599 16 DX
QSO: 14094 RY 2019-09-28 1243 PA0PIW        599 14 DX  RQ7R          599 16 DX
QSO: 14094 RY 2019-09-28 1244 PA0PIW        599 14 DX  RW0AJ         599 18 DX
QSO: 14094 RY 2019-09-28 1244 PA0PIW        599 14 DX  I0WBX         599 15 DX
QSO: 14094 RY 2019-09-28 1300 PA0PIW        599 14 DX  UY5VA         599 16 DX
QSO: 14094 RY 2019-09-28 1306 PA0PIW        599 14 DX  UT5EPP        599 16 DX
QSO: 14094 RY 2019-09-28 1307 PA0PIW        599 14 DX  RT6DI         599 16 DX
