START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: SP2QCW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 48178
NAME: PIOTR
LOCATION: DX
CLUB:
CREATED-BY: LM Version 4.10 (c) 1992, 2013 by DL8WAA
QSO:  3500 RY 2019-09-28 0444 SP2QCW        599 15 DX      OK3C          599 15 DX
QSO:  3500 RY 2019-09-28 0446 SP2QCW        599 15 DX      LZ5R          599 20 DX
QSO:  3500 RY 2019-09-28 0448 SP2QCW        599 15 DX      OM0M          599 15 DX
QSO:  3500 RY 2019-09-28 0449 SP2QCW        599 15 DX      S51A          599 15 DX
QSO:  3500 RY 2019-09-28 0451 SP2QCW        599 15 DX      IQ4FC         599 15 DX
QSO:  3500 RY 2019-09-28 0452 SP2QCW        599 15 DX      OK7O          599 15 DX
QSO:  7000 RY 2019-09-28 0456 SP2QCW        599 15 DX      UW1M          599 16 DX
QSO:  7000 RY 2019-09-28 0458 SP2QCW        599 15 DX      EM2Q          599 16 DX
QSO:  7000 RY 2019-09-28 0459 SP2QCW        599 15 DX      UX7QV         599 16 DX
QSO:  7000 RY 2019-09-28 0501 SP2QCW        599 15 DX      IQ9UI         599 15 DX        0
QSO:  7000 RY 2019-09-28 0503 SP2QCW        599 15 DX      CR3DX         599 33 DX        0
QSO:  7000 RY 2019-09-28 0504 SP2QCW        599 15 DX      SV2ESW        599 20 DX        0
QSO:  7000 RY 2019-09-28 0505 SP2QCW        599 15 DX      R7MM          599 16 DX        0
QSO:  7000 RY 2019-09-28 0512 SP2QCW        599 15 DX      UR3QSW        599 16 DX        0
QSO:  7000 RY 2019-09-28 0514 SP2QCW        599 15 DX      IZ7FLP        599 15 DX        0
QSO:  3500 RY 2019-09-28 0536 SP2QCW        599 15 DX      DJ3NG         599 14 DX        0
QSO:  3500 RY 2019-09-28 0537 SP2QCW        599 15 DX      DK2OY         599 14 DX        0
QSO:  3500 RY 2019-09-28 0538 SP2QCW        599 15 DX      S50W          599 15 DX        0
QSO:  3500 RY 2019-09-28 0538 SP2QCW        599 15 DX      DD1JN         599 14 DX        0
QSO:  3500 RY 2019-09-28 0540 SP2QCW        599 15 DX      LY9Y          599 15 DX        0
QSO:  3500 RY 2019-09-28 0541 SP2QCW        599 15 DX      SP3MEO        599 15 DX        0
QSO:  3500 RY 2019-09-28 0541 SP2QCW        599 15 DX      DL3BQA        599 14 DX        0
QSO:  3500 RY 2019-09-28 0543 SP2QCW        599 15 DX      DL9GTB        599 14 DX        0
QSO:  3500 RY 2019-09-28 0544 SP2QCW        599 15 DX      DA2X          599 14 DX        0
QSO:  3500 RY 2019-09-28 0545 SP2QCW        599 15 DX      IQ4FA         599 15 DX        0
