START-OF-LOG: 3.0
CATEGORY: Single operator, CW, low power
CONTEST: WAG
CALLSIGN: SN5O
OPERATORS: SP5BYC
CREATED-BY: DQR_Log v. 3.2.5 - (c) SP7DQR, modified by DXHF upload.
QSO: 14000 CW 2017-10-22 0911 SN5O          599         001 DR4A            599         F27
QSO: 14000 CW 2017-10-22 0915 SN5O          599         002 DL1T            599          NM
QSO:  7000 CW 2017-10-22 0922 SN5O          599         003 DL9JON          599         S65
QSO:  7000 CW 2017-10-22 0926 SN5O          599         004 DL1AKP          599         X19
QSO:  7000 PH 2017-10-22 0932 SN5O          59          005 DH0F            59          B99
QSO: 14000 CW 2017-10-22 0946 SN5O          599         006 DF1DT           599         O40
QSO: 14000 CW 2017-10-22 0952 SN5O          599         007 DK9PY           599         K04
QSO: 14000 CW 2017-10-22 0958 SN5O          599         007 DJ0SP           599         N53
QSO: 14000 CW 2017-10-22 1000 SN5O          599         009 DL8BV           599         I50
QSO: 14000 CW 2017-10-22 1004 SN5O          599         010 DJ9DZ           599         N06
QSO: 14000 CW 2017-10-22 1009 SN5O          599         011 DF1IAQ          599         P05
QSO: 14000 CW 2017-10-22 1011 SN5O          599         012 DL3AZ           599         F71
QSO: 14000 CW 2017-10-22 1012 SN5O          599         013 DK5QN           599         N02
QSO: 14000 CW 2017-10-22 1013 SN5O          599         014 DF0UK           599         A24
QSO: 14000 CW 2017-10-22 1018 SN5O          599         015 DK0OD           599         C06
QSO: 14000 CW 2017-10-22 1019 SN5O          599         016 DJ5MW           599         T13
END-OF-LOG:
