START-OF-LOG: 3.0
CREATED-BY: vhfmanager-downloader
CONTEST: ALPE ADRIA VHF - Official results - VHFManager
CALLSIGN: OE5DIN
CATEGORY: 145 MHz - fixed and portable stations /max. PWR : 50W OUTPUT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
QSO: 144300 PH 2018-08-05 0700 OE5DIN        59  1 JN78BL   OE1W          59  2 JN77TX  
QSO: 144300 PH 2018-08-05 0702 OE5DIN        59  2 JN78BL   OK1DOL        59  1 JN69OU  
QSO: 144300 PH 2018-08-05 0704 OE5DIN        59  3 JN78BL   OK1GTH        59  5 JN69PE  
QSO: 144300 PH 2018-08-05 0714 OE5DIN        59  4 JN78BL   S50C          59  27 JN76JG 
QSO: 144300 PH 2018-08-05 0717 OE5DIN        59  5 JN78BL   OE5D          59  17 JN68PC 
QSO: 144300 PH 2018-08-05 0719 OE5DIN        59  6 JN78BL   OE5NNN/P      59  3 JN77DX  
QSO: 144300 PH 2018-08-05 0729 OE5DIN        59  7 JN78BL   IQ5NN         59  57 JN63GN 
QSO: 144300 PH 2018-08-05 0746 OE5DIN        59  8 JN78BL   OM2VL         59  66 JN87WV 
QSO: 144300 PH 2018-08-05 0747 OE5DIN        59  9 JN78BL   S57O          59  42 JN86DT 
QSO: 144300 PH 2018-08-05 0751 OE5DIN        59  10 JN78BL  OE1ILW/3      59  41 JN77XX 
QSO: 144300 PH 2018-08-05 0754 OE5DIN        59  11 JN78BL  OE5JSL        59  10 JN68OD 
QSO: 144300 PH 2018-08-05 0756 OE5DIN        59  12 JN78BL  HG3X          59  59 JN96EE 
QSO: 144300 PH 2018-08-05 0805 OE5DIN        59  13 JN78BL  OE/OL0M       59  53 JN77VN 
QSO: 144300 PH 2018-08-05 0810 OE5DIN        59  14 JN78BL  OK1KNG        59  39 JN69XP 
QSO: 144300 PH 2018-08-05 0813 OE5DIN        59  15 JN78BL  OE/OK2CM      59  66 JN77NO 
QSO: 144300 PH 2018-08-05 0818 OE5DIN        59  16 JN78BL  OE5FPL        59  20 JN68PG 
QSO: 144300 PH 2018-08-05 0820 OE5DIN        59  17 JN78BL  OK1CRM        59  36 JN69JJ 
QSO: 144300 PH 2018-08-05 0830 OE5DIN        59  18 JN78BL  OK1MCS        59  31 JN69JW 
