START-OF-LOG: 3.0
CREATED-BY: vhfmanager-downloader
CONTEST: ALPE ADRIA VHF - Official results - VHFManager
CALLSIGN: IV3EAD
CATEGORY: 145 MHz - fixed and portable stations /max. PWR : 50W OUTPUT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
QSO: 144100 CW 2022-08-07 0817 IV3EAD        599 1 JN65OW   IQ5NN         599 599 JN63GN
QSO: 144300 PH 2022-08-07 0824 IV3EAD        59  2 JN65OW   IW3SOX        59  46 JN66SE 
QSO: 144300 PH 2022-08-07 0831 IV3EAD        59  3 JN65OW   S53DKR        59  93 JN66XE 
QSO: 144300 PH 2022-08-07 0831 IV3EAD        59  4 JN65OW   S58W          59  64 JN65XM 
QSO: 144300 PH 2022-08-07 0834 IV3EAD        59  5 JN65OW   9A1P          59  170 JN65VG
QSO: 144300 PH 2022-08-07 0836 IV3EAD        59  6 JN65OW   S59DEM        59  230 JN75DS
QSO: 144300 PH 2022-08-07 0837 IV3EAD        59  7 JN65OW   S59P          59  194 JN75FO
QSO: 144300 PH 2022-08-07 0838 IV3EAD        59  8 JN65OW   S57GM         59  89 JN76CC 
QSO: 144300 PH 2022-08-07 0839 IV3EAD        59  9 JN65OW   IQ3RP         59  96 JN66EA 
QSO: 144100 CW 2022-08-07 0842 IV3EAD        599 10 JN65OW  S50C          599 234 JN76JG
QSO: 144100 CW 2022-08-07 0849 IV3EAD        599 11 JN65OW  IQ3JX         599 48 JN66OF 
QSO: 144300 PH 2022-08-07 0855 IV3EAD        59  12 JN65OW  I4VOS         59  143 JN54PF
QSO: 144300 PH 2022-08-07 0857 IV3EAD        59  13 JN65OW  I4BME         59  49 JN54QL 
QSO: 144300 PH 2022-08-07 0900 IV3EAD        59  14 JN65OW  IQ3CO         59  83 JN55QO 
QSO: 144300 PH 2022-08-07 0900 IV3EAD        59  15 JN65OW  IU4FNO        59  103 JN63EU
QSO: 144300 PH 2022-08-07 0950 IV3EAD        59  16 JN65OW  IW3GGU        59  5 JN65BM  
QSO: 144100 CW 2022-08-07 0955 IV3EAD        599 17 JN65OW  9A5G          599 54 JN75FI 
QSO: 144100 CW 2022-08-07 0959 IV3EAD        599 18 JN65OW  OK6TW         599 51 JN89JM 
QSO: 144300 PH 2022-08-07 1014 IV3EAD        59  19 JN65OW  IQ0PG         59  186 JN63JF
