START-OF-LOG: 3.0
CREATED-BY: vhfmanager-downloader
CONTEST: ALPE ADRIA VHF - Official results - VHFManager
CALLSIGN: OK2KJI
CATEGORY: 145 MHz - fixed and portable stations /max. PWR : 50W OUTPUT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
QSO: 144300 PH 2022-08-07 0701 OK2KJI        59  1 JN79TI   OE1W          59  34 JN77TX 
QSO: 144300 PH 2022-08-07 0703 OK2KJI        59  2 JN79TI   OK1KJO        59  5 JO60OK  
QSO: 144300 PH 2022-08-07 0705 OK2KJI        59  3 JN79TI   OK1KCR        59  7 JN79VS  
QSO: 144300 PH 2022-08-07 0706 OK2KJI        59  4 JN79TI   OK2L          59  2 JN99BN  
QSO: 144300 PH 2022-08-07 0708 OK2KJI        59  5 JN79TI   DK7AM         59  25 JN59SR 
QSO: 144300 PH 2022-08-07 0709 OK2KJI        59  6 JN79TI   OK1AIN        59  5 JN79JR  
QSO: 144300 PH 2022-08-07 0714 OK2KJI        59  7 JN79TI   OM3W          59  67 JN99CH 
QSO: 144300 PH 2022-08-07 0717 OK2KJI        59  8 JN79TI   HG1Z          59  82 JN86KU 
QSO: 144300 PH 2022-08-07 0720 OK2KJI        59  9 JN79TI   S57O          59  57 JN86DT 
QSO: 144300 PH 2022-08-07 0722 OK2KJI        59  10 JN79TI  OE3FKS/P      59  51 JN78JM 
QSO: 144300 PH 2022-08-07 0724 OK2KJI        59  11 JN79TI  OK7O          59  77 JN69OU 
QSO: 144300 PH 2022-08-07 0725 OK2KJI        59  12 JN79TI  OK1NPF        59  24 JO70SQ 
QSO: 144300 PH 2022-08-07 0736 OK2KJI        59  13 JN79TI  OE/HA5DDX     59  54 JN77WM 
QSO: 144300 PH 2022-08-07 0741 OK2KJI        59  14 JN79TI  9A0BB         59  115 JN85EI
QSO: 144300 PH 2022-08-07 0744 OK2KJI        59  15 JN79TI  OK2KPD        59  35 JO80OB 
QSO: 144300 PH 2022-08-07 0745 OK2KJI        59  16 JN79TI  OM3CQF        59  38 JN88RT 
QSO: 144300 PH 2022-08-07 0748 OK2KJI        59  17 JN79TI  OK2DGB        59  38 JN79RL 
QSO: 144300 PH 2022-08-07 0751 OK2KJI        59  18 JN79TI  OK1KTW        59  18 JN89IW 
QSO: 144300 PH 2022-08-07 0754 OK2KJI        59  19 JN79TI  OK2KLF        59  41 JN89SO 
