START-OF-LOG: 3.0
CREATED-BY: vhfmanager-downloader
CONTEST: ALPE ADRIA VHF - Official results - VHFManager
CALLSIGN: OM5CM
CATEGORY: 145 MHz - fixed and portable stations /max. PWR : 50W OUTPUT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
QSO: 144300 PH 2022-08-07 0704 OM5CM         59  1 JN98DF   E73JHI        59  31 JN84LX 
QSO: 144300 PH 2022-08-07 0708 OM5CM         59  2 JN98DF   HA2R          59  61 JN87UE 
QSO: 144300 PH 2022-08-07 0710 OM5CM         59  3 JN98DF   SP9KDA        59  55 JO90PP 
QSO: 144300 PH 2022-08-07 0711 OM5CM         59  4 JN98DF   OM3W          59  62 JN99CH 
QSO: 144300 PH 2022-08-07 0713 OM5CM         59  5 JN98DF   OM5AW         59  52 JN98AH 
QSO: 144300 PH 2022-08-07 0714 OM5CM         59  6 JN98DF   OM3CQF        59  13 JN88RT 
QSO: 144300 PH 2022-08-07 0716 OM5CM         59  7 JN98DF   OM6CV         59  3 JN99LD  
QSO: 144300 PH 2022-08-07 0718 OM5CM         59  8 JN98DF   OM3YFT        59  26 JN99IF 
QSO: 144300 PH 2022-08-07 0719 OM5CM         59  9 JN98DF   OM6TX         59  13 JN99JK 
QSO: 144100 CW 2022-08-07 0726 OM5CM         599 10 JN98DF  HG1Z          599 86 JN86KU 
QSO: 144300 PH 2022-08-07 0730 OM5CM         59  11 JN98DF  OE6V          59  69 JN76VT 
QSO: 144300 PH 2022-08-07 0731 OM5CM         59  12 JN98DF  S50C          59  150 JN76JG
QSO: 144300 PH 2022-08-07 0738 OM5CM         59  13 JN98DF  S50W          59  78 JN76WK 
QSO: 144300 PH 2022-08-07 0748 OM5CM         59  14 JN98DF  HA5OO         59  42 JN97OM 
QSO: 144300 PH 2022-08-07 0754 OM5CM         59  15 JN98DF  9A8D          59  49 JN95LM 
QSO: 144100 CW 2022-08-07 0759 OM5CM         599 16 JN98DF  9A0V          599 53 JN95PE 
QSO: 144100 CW 2022-08-07 0802 OM5CM         599 17 JN98DF  E73O          599 45 JN95CA 
QSO: 144300 PH 2022-08-07 0806 OM5CM         59  18 JN98DF  E7AA          59  116 JN83SO
QSO: 144300 PH 2022-08-07 0819 OM5CM         59  19 JN98DF  OK2KLF        59  61 JN89SO 
