START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: W6RDF
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: W6RDF
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2018.
QSO: 28010 CW 2018-12-08 1836 W6RDF         599 CA WA1J          599 MA
QSO: 28014 CW 2018-12-08 1837 W6RDF         599 CA W3YY          599 VA
QSO: 28028 CW 2018-12-08 1838 W6RDF         599 CA NN7CW         599 FL
QSO: 28000 CW 2018-12-08 1839 W6RDF         599 CA LW7DX         599 394
QSO: 28033 CW 2018-12-08 1839 W6RDF         599 CA W4DR          599 VA
QSO: 28037 CW 2018-12-08 1840 W6RDF         599 CA N4EEB         599 FL
QSO: 28038 CW 2018-12-08 1841 W6RDF         599 CA LU7YS         599 71
QSO: 28041 CW 2018-12-08 1842 W6RDF         599 CA CE2ML         599 130
QSO: 28046 CW 2018-12-08 1844 W6RDF         599 CA K6PO          599 CA
QSO: 28047 CW 2018-12-08 1844 W6RDF         599 CA LU6DOT        599 91
QSO: 28000 CW 2018-12-08 1845 W6RDF         599 CA WN7S          599 VA
QSO: 28043 CW 2018-12-08 1846 W6RDF         599 CA K3WW          599 PA
QSO: 28039 CW 2018-12-08 1847 W6RDF         599 CA K8AC          599 NC
QSO: 28040 CW 2018-12-08 1847 W6RDF         599 CA K3AU          599 MD
QSO: 28023 CW 2018-12-08 1850 W6RDF         599 CA N4BP          599 FL
QSO: 28024 CW 2018-12-08 1850 W6RDF         599 CA N4TB          599 FL
QSO: 28020 CW 2018-12-08 1851 W6RDF         599 CA K5NA          599 TX
QSO: 28000 CW 2018-12-08 1853 W6RDF         599 CA N8II          599 WV
QSO: 28025 CW 2018-12-08 1859 W6RDF         599 CA PT3T          599 344
QSO: 28000 CW 2018-12-08 1901 W6RDF         599 CA LU6FLZ        599 23
QSO: 28019 CW 2018-12-08 1903 W6RDF         599 CA LT7D          599 161
QSO: 28028 CW 2018-12-08 1905 W6RDF         599 CA KH7M          599 HI
QSO: 28029 CW 2018-12-08 1906 W6RDF         599 CA N4PN          599 GA
QSO: 28032 CW 2018-12-08 1906 W6RDF         599 CA K5NZ          599 TX
QSO: 28034 CW 2018-12-08 1907 W6RDF         599 CA P4/DL6RAI     599 212
QSO: 28035 CW 2018-12-08 1907 W6RDF         599 CA CE2LR         599 290
QSO: 28039 CW 2018-12-08 1909 W6RDF         599 CA K0NM          599 TX
QSO: 28041 CW 2018-12-08 1909 W6RDF         599 CA N4XD          599 NC
QSO: 28042 CW 2018-12-08 1910 W6RDF         599 CA N4YDU         599 NC
QSO: 28049 CW 2018-12-08 1911 W6RDF         599 CA XE2CQ         599 BAC
QSO: 28055 CW 2018-12-08 1911 W6RDF         599 CA KR2Q          599 NJ
QSO: 28059 CW 2018-12-08 1912 W6RDF         599 CA K4QS          599 VA
QSO: 28061 CW 2018-12-08 1912 W6RDF         599 CA K8JQ          599 WV
QSO: 28000 PH 2018-12-08 1914 W6RDF         59 CA LW5DPG        59 117
QSO: 28372 PH 2018-12-08 1915 W6RDF         59 CA NR4O          59 NC
QSO: 28416 PH 2018-12-08 1916 W6RDF         59 CA ND4Y          59 KY
QSO: 28447 PH 2018-12-08 1917 W6RDF         59 CA PP5BZ         59 281
QSO: 28466 PH 2018-12-08 1922 W6RDF         59 CA LU5VV         59 354
QSO: 28000 PH 2018-12-08 1926 W6RDF         59 CA CX3AT         59 117
QSO: 28000 PH 2018-12-08 1930 W6RDF         59 CA K8DJR         59 MI
QSO: 28394 PH 2018-12-08 1934 W6RDF         59 CA N4YDU         59 NC
QSO: 28405 PH 2018-12-08 1934 W6RDF         59 CA VE3KZ         59 ON
QSO: 28388 PH 2018-12-08 1936 W6RDF         59 CA W8RP          59 MI
QSO: 28000 PH 2018-12-08 1938 W6RDF         59 CA K4EJ          59 FL
QSO: 28388 PH 2018-12-08 1939 W6RDF         59 CA AB8OU         59 OH
QSO: 28387 PH 2018-12-08 1940 W6RDF         59 CA W8PR          59 OH
QSO: 28388 PH 2018-12-08 1940 W6RDF         59 CA K4YYL         59 SC
QSO: 28388 PH 2018-12-08 1940 W6RDF         59 CA N9LYE         59 IL
QSO: 28000 PH 2018-12-08 1942 W6RDF         59 CA KD8TNF        59 OH
QSO: 28000 PH 2018-12-08 1943 W6RDF         599 CA W9ABK         59 IL
QSO: 28387 PH 2018-12-08 1943 W6RDF         59 CA N8EV          59 OH
QSO: 28388 PH 2018-12-08 1943 W6RDF         59 CA NW8U          59 WV
QSO: 28000 PH 2018-12-08 1944 W6RDF         59 CA KD9GY         59 IL
QSO: 28388 PH 2018-12-08 1944 W6RDF         59 CA N4RV          59 VA
QSO: 28000 PH 2018-12-08 1945 W6RDF         59 CA W1LBV         59 FL
QSO: 28388 PH 2018-12-08 1945 W6RDF         59 CA W8CO          59 MI
QSO: 28000 PH 2018-12-08 1946 W6RDF         59 CA W4GHV         59 NC
QSO: 28388 PH 2018-12-08 1946 W6RDF         59 CA AE9LL         59 IN
QSO: 28388 PH 2018-12-08 1946 W6RDF         59 CA W4ZAO         59 VA
QSO: 28388 PH 2018-12-08 1948 W6RDF         59 CA K9OM          59 FL
QSO: 28388 PH 2018-12-08 1948 W6RDF         59 CA WS4WW         59 VA
QSO: 28000 PH 2018-12-08 1952 W6RDF         59 CA K0PG          59 IL
QSO: 28387 PH 2018-12-08 1952 W6RDF         59 CA K4CGY         59 VA
QSO: 28000 PH 2018-12-08 1953 W6RDF         59 CA AE4M          59 AL
QSO: 28386 PH 2018-12-08 1955 W6RDF         59 CA W9TC          59 IN
QSO: 28386 PH 2018-12-08 1955 W6RDF         59 CA WB4JFS        59 NC
QSO: 28386 PH 2018-12-08 1955 W6RDF         59 CA WV4P          59 TN
QSO: 28386 PH 2018-12-08 1956 W6RDF         59 CA WO4O          59 FL
QSO: 28386 PH 2018-12-08 2000 W6RDF         59 CA N8VZ          59 OH
QSO: 28000 PH 2018-12-08 2004 W6RDF         59 CA N1XL          59 NC
QSO: 28000 PH 2018-12-08 2005 W6RDF         59 CA KE8EAS        59 OH
QSO: 28000 PH 2018-12-08 2005 W6RDF         59 CA W4KW          59 TN
QSO: 28386 PH 2018-12-08 2008 W6RDF         59 CA WB6ZAM        59 CA
QSO: 28027 CW 2018-12-08 2010 W6RDF         599 CA N6RVI         599 CA
QSO: 28027 CW 2018-12-08 2011 W6RDF         599 CA W4PK          599 VA
QSO: 28028 CW 2018-12-08 2011 W6RDF         599 CA N6RM          599 CA
QSO: 28027 CW 2018-12-08 2012 W6RDF         599 CA N4CW          599 NC
QSO: 28000 CW 2018-12-08 2013 W6RDF         599 CA N6AR          599 FL
QSO: 28027 CW 2018-12-08 2013 W6RDF         599 CA AI4RJ         599 GA
QSO: 28027 CW 2018-12-08 2013 W6RDF         599 CA K2PS          599 FL
QSO: 28027 CW 2018-12-08 2014 W6RDF         599 CA N6VH          599 CA
QSO: 28000 CW 2018-12-08 2015 W6RDF         599 CA W4YE          599 VA
QSO: 28027 CW 2018-12-08 2016 W6RDF         599 CA KN8F          599 SC
QSO: 28027 CW 2018-12-08 2016 W6RDF         599 CA N4DE          599 NC
QSO: 28027 CW 2018-12-08 2017 W6RDF         599 CA N6NC          599 CA
QSO: 28027 CW 2018-12-08 2018 W6RDF         599 CA AI6O          599 CA
QSO: 28027 CW 2018-12-08 2018 W6RDF         599 CA N4WW          599 FL
QSO: 28000 CW 2018-12-08 2019 W6RDF         599 CA K4ZGB         599 AL
QSO: 28027 CW 2018-12-08 2019 W6RDF         599 CA KQ4LA         599 VA
QSO: 28027 CW 2018-12-08 2019 W6RDF         599 CA NJ4Q          599 VA
QSO: 28000 CW 2018-12-08 2020 W6RDF         599 CA N4EK          599 FL
QSO: 28027 CW 2018-12-08 2020 W6RDF         599 CA N4WE          599 AL
QSO: 28000 CW 2018-12-08 2021 W6RDF         599 CA KJ4RV         599 NC
QSO: 28027 CW 2018-12-08 2021 W6RDF         599 CA K4XL          599 VA
QSO: 28027 CW 2018-12-08 2022 W6RDF         599 CA KE2SX         599 NC
QSO: 28027 CW 2018-12-08 2023 W6RDF         599 CA AA4DD         599 TN
QSO: 28000 CW 2018-12-08 2025 W6RDF         599 CA W1TEF         599 SC
QSO: 28000 CW 2018-12-08 2026 W6RDF         599 CA K4BAI         599 GA
QSO: 28000 CW 2018-12-08 2027 W6RDF         599 CA AE4Y          599 GA
QSO: 28000 CW 2018-12-08 2028 W6RDF         599 CA WB9LUR        599 FL
QSO: 28036 CW 2018-12-08 2035 W6RDF         599 CA WO4O          599 FL
QSO: 28058 CW 2018-12-08 2036 W6RDF         599 CA WB4TDH        599 FL
QSO: 28048 CW 2018-12-08 2037 W6RDF         599 CA K0LUZ         599 FL
QSO: 28047 CW 2018-12-08 2038 W6RDF         599 CA NU4Y          599 FL
QSO: 28000 PH 2018-12-09 2143 W6RDF         59 CA KC9KLA        59 IL
END-OF-LOG:
