START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: W8MET
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: W8MET
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2018.
QSO: 28000 CW 2018-12-08 0257 W8MET         599 OH KV0Q          599 CO
QSO: 28000 CW 2018-12-08 0259 W8MET         599 OH WA8RCN        599 OH
QSO: 28039 CW 2018-12-08 0302 W8MET         599 OH W5WTX         599 TX
QSO: 28026 CW 2018-12-08 0304 W8MET         599 OH K1BG          599 MA
QSO: 28023 CW 2018-12-08 0315 W8MET         599 OH N4BP          599 FL
QSO: 28026 CW 2018-12-08 0316 W8MET         599 OH W1NN          599 OH
QSO: 28012 CW 2018-12-08 0331 W8MET         599 OH K8MR          599 OH
QSO: 28395 PH 2018-12-08 0341 W8MET         59 OH K8MR          59 OH
QSO: 28040 CW 2018-12-08 1416 W8MET         599 OH W8CZN         599 OH
QSO: 28000 CW 2018-12-08 1531 W8MET         599 OH KE8Y          599 OH
QSO: 28011 CW 2018-12-08 1629 W8MET         599 OH K1KI          599 CT
QSO: 28000 CW 2018-12-08 1734 W8MET         599 OH K4ZGB         599 AL
QSO: 28365 PH 2018-12-08 1741 W8MET         59 OH N8BI          59 OH
QSO: 28000 CW 2018-12-08 1756 W8MET         599 OH NH6T/W4       599 AL
QSO: 28038 CW 2018-12-08 1759 W8MET         599 OH KJ4M          599 AL
QSO: 28000 CW 2018-12-08 1803 W8MET         599 OH K7ZYV         599 MS
QSO: 28000 CW 2018-12-08 1807 W8MET         599 OH W8PN          599 OH
QSO: 28480 PH 2018-12-08 1818 W8MET         59 OH AA5AU         59 LA
QSO: 28042 CW 2018-12-08 1822 W8MET         599 OH NX5M          599 TX
QSO: 28040 CW 2018-12-08 1831 W8MET         599 OH N8OO          599 LA
QSO: 28007 CW 2018-12-08 1837 W8MET         599 OH K4WI          599 AL
QSO: 28020 CW 2018-12-08 1838 W8MET         599 OH K5NA          599 TX
