START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: AB2ZY
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: AB2ZY
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2020.
QSO: 28000 CW 2020-12-12 1751 AB2ZY         599 NY KP2M          599 459
QSO: 28008 CW 2020-12-12 1753 AB2ZY         599 NY ZF2WF         599 471
QSO: 28021 CW 2020-12-12 1756 AB2ZY         599 NY W6YX          599 CA
QSO: 28030 CW 2020-12-12 1801 AB2ZY         599 NY KX7M          599 CA
QSO: 28035 CW 2020-12-12 1802 AB2ZY         599 NY NN7ZZ         599 UT
QSO: 28036 CW 2020-12-12 1803 AB2ZY         599 NY W6PH          599 CA
QSO: 28004 CW 2020-12-12 1805 AB2ZY         599 NY ZF5T          599 641
QSO: 28016 CW 2020-12-12 1812 AB2ZY         599 NY NG7M          599 UT
QSO: 28049 CW 2020-12-12 1820 AB2ZY         599 NY W7CXX         599 UT
QSO: 28057 CW 2020-12-12 1821 AB2ZY         599 NY NX6T          599 CA
QSO: 28048 CW 2020-12-12 1828 AB2ZY         599 NY KY7M          599 AZ
QSO: 28016 CW 2020-12-12 1832 AB2ZY         599 NY N7LR          599 AZ
QSO: 28024 CW 2020-12-13 1733 AB2ZY         599 NY W5RZ          599 AR
QSO: 28028 CW 2020-12-13 1735 AB2ZY         599 NY WW5M          599 TN
QSO: 28030 CW 2020-12-13 1736 AB2ZY         599 NY K5LG          599 AR
QSO: 28035 CW 2020-12-13 1738 AB2ZY         599 NY NZ0T          599 MO
QSO: 28005 CW 2020-12-13 1743 AB2ZY         599 NY N7YK          599 NV
QSO: 28037 CW 2020-12-13 1744 AB2ZY         599 NY W5ZN          599 AR
QSO: 28011 CW 2020-12-13 1751 AB2ZY         599 NY W7TVC         599 OR
QSO: 28025 CW 2020-12-13 1753 AB2ZY         599 NY N5EE          599 AR
QSO: 28011 CW 2020-12-13 1802 AB2ZY         599 NY WC7Q          599 WA
QSO: 28013 CW 2020-12-13 1804 AB2ZY         599 NY N7NM          599 WA
QSO: 28018 CW 2020-12-13 1804 AB2ZY         599 NY N5CR          599 WA
QSO: 28023 CW 2020-12-13 1805 AB2ZY         599 NY W6OAT         599 WA
QSO: 28000 CW 2020-12-13 1807 AB2ZY         599 NY K7RAT         599 OR
QSO: 28049 CW 2020-12-13 1811 AB2ZY         599 NY K7SS          599 WA
QSO: 28068 CW 2020-12-13 1815 AB2ZY         599 NY VE6BBP        599 AB
QSO: 28021 CW 2020-12-13 1818 AB2ZY         599 NY K7ZS          599 OR
QSO: 28012 CW 2020-12-13 1819 AB2ZY         599 NY W7YAQ         599 OR
QSO: 28038 CW 2020-12-13 1905 AB2ZY         599 NY K5CM          599 OK
QSO: 28029 CW 2020-12-13 1912 AB2ZY         599 NY W6EU          599 CA
QSO: 28038 CW 2020-12-13 1918 AB2ZY         599 NY N7WY          599 MO
QSO: 28048 CW 2020-12-13 1918 AB2ZY         599 NY K7XC          599 NV
QSO: 28054 CW 2020-12-13 1920 AB2ZY         599 NY K6DGW         599 NV
QSO: 28067 CW 2020-12-13 1921 AB2ZY         599 NY K6XX          599 CA
QSO: 28068 CW 2020-12-13 1922 AB2ZY         599 NY W2VJN         599 OR
QSO: 28070 CW 2020-12-13 1922 AB2ZY         599 NY W1RH          599 CA
QSO: 28020 CW 2020-12-13 2047 AB2ZY         599 NY K3PA          599 KS
QSO: 28038 CW 2020-12-13 2049 AB2ZY         599 NY W0BH          599 KS
QSO: 28047 CW 2020-12-13 2050 AB2ZY         599 NY KT0K          599 NE
END-OF-LOG:
