START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: N9CK
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: N9CK
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2021.
QSO: 28026 CW 2021-12-11 1421 N9CK          599 WI NP2X          599 230
QSO: 28017 CW 2021-12-11 1424 N9CK          599 WI KP4AA         599 144
QSO: 28043 CW 2021-12-11 1643 N9CK          599 WI LU8DPM        599 0444
QSO: 28032 CW 2021-12-11 1644 N9CK          599 WI LS2D          599 0220
QSO: 28000 CW 2021-12-11 1710 N9CK          599 WI PY5ZHP        599 236
QSO: 28017 CW 2021-12-11 1711 N9CK          599 WI PY5AMF        599 154
QSO: 28050 CW 2021-12-11 1822 N9CK          599 WI PY1VOY        599 160
QSO: 28025 CW 2021-12-11 1824 N9CK          599 WI PY1ZV         599 151
QSO: 28052 CW 2021-12-11 1946 N9CK          599 WI CX2AQ         599 264
QSO: 28048 CW 2021-12-11 1947 N9CK          599 WI PX5M          599 305
QSO: 28049 CW 2021-12-11 2308 N9CK          599 WI K2PS          599 FL
QSO: 28048 CW 2021-12-11 2309 N9CK          599 WI K1XM          599 MA
QSO: 28046 CW 2021-12-11 2310 N9CK          599 WI K4BAI         599 GA
QSO: 28042 CW 2021-12-11 2311 N9CK          599 WI NN7CW         599 FL
QSO: 28044 CW 2021-12-11 2311 N9CK          599 WI W1KM          599 MA
QSO: 28033 CW 2021-12-11 2312 N9CK          599 WI W1QK          599 CT
QSO: 28034 CW 2021-12-11 2312 N9CK          599 WI N6AR          599 FL
QSO: 28038 CW 2021-12-11 2312 N9CK          599 WI W1AN          599 CT
QSO: 28029 CW 2021-12-11 2313 N9CK          599 WI K5EK          599 NC
QSO: 28025 CW 2021-12-11 2314 N9CK          599 WI W3EP          599 CT
QSO: 28004 CW 2021-12-11 2316 N9CK          599 WI KU8E          599 GA
QSO: 28009 CW 2021-12-11 2316 N9CK          599 WI AD4ES         599 FL
QSO: 28001 CW 2021-12-11 2317 N9CK          599 WI K1TO          599 FL
QSO: 28044 CW 2021-12-11 2319 N9CK          599 WI KC1XX         599 NH
QSO: 28033 CW 2021-12-12 0425 N9CK          599 WI W5KU          599 TX
QSO: 28011 CW 2021-12-12 0426 N9CK          599 WI NX5M          599 TX
QSO: 28033 CW 2021-12-12 0431 N9CK          599 WI N6KI          599 CA
