START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: N9NC
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: N9NC
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2021.
QSO: 28023 CW 2021-12-11 1246 N9NC          599 NH LU8DPM        599 0093
QSO: 28015 CW 2021-12-11 1249 N9NC          599 NH K1RX          599 NH
QSO: 28009 CW 2021-12-11 1250 N9NC          599 NH WA1T          599 ME
QSO: 28028 CW 2021-12-11 1251 N9NC          599 NH 9Z4Y          599 57
QSO: 28040 CW 2021-12-11 1251 N9NC          599 NH N1IX          599 NH
QSO: 28027 CW 2021-12-11 1252 N9NC          599 NH WX1S          599 NH
QSO: 28004 CW 2021-12-11 1254 N9NC          599 NH K1LZ          599 ME
QSO: 28033 CW 2021-12-11 1255 N9NC          599 NH N4XD          599 NC
QSO: 28000 CW 2021-12-11 1300 N9NC          599 NH N1AIA         599 ME
QSO: 28018 CW 2021-12-11 1302 N9NC          599 NH PJ2T          599 108
QSO: 28018 CW 2021-12-11 1304 N9NC          599 NH W1WEF         599 CT
QSO: 28444 CW 2021-12-11 1304 N9NC          599 NH W1HNZ         599 MA
QSO: 28018 CW 2021-12-11 1305 N9NC          599 NH KP2M          599 11
QSO: 28018 CW 2021-12-11 1306 N9NC          599 NH K5ZD          599 MA
QSO: 28018 CW 2021-12-11 1310 N9NC          599 NH W1TJL         599 CT
QSO: 28006 CW 2021-12-11 1440 N9NC          599 NH ZF5T          599 173
QSO: 28020 CW 2021-12-11 1442 N9NC          599 NH KX1G          599 MA
QSO: 28039 CW 2021-12-11 1454 N9NC          599 NH W1KM          599 MA
