START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: K5ME
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: K5ME
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2023.
QSO: 28033 CW 2023-12-09 2205 K5ME          599 TX VP2VMM        599 1751
QSO: 28031 CW 2023-12-09 2210 K5ME          599 TX K6EZ          599 CA
QSO: 28025 CW 2023-12-09 2213 K5ME          599 TX K7XH          599 WA
QSO: 28018 CW 2023-12-09 2215 K5ME          599 TX DX JM7OLW        599 143
QSO: 28017 CW 2023-12-09 2217 K5ME          599 TX VE6WP         599 AB
QSO: 28019 CW 2023-12-09 2218 K5ME          599 TX VL2A          599 1084
QSO: 28012 CW 2023-12-09 2222 K5ME          599 TX W1KM          599 MA
QSO: 28011 CW 2023-12-09 2225 K5ME          599 TX ZW2WSP        599 351
QSO: 28011 CW 2023-12-09 2227 K5ME          599 TX K9YC          599 CA
QSO: 28000 CW 2023-12-09 2228 K5ME          599 TX N6AA          599 CA
QSO: 28004 CW 2023-12-09 2230 K5ME          599 TX KP2M          599 1186
QSO: 28001 CW 2023-12-09 2232 K5ME          599 TX LU3MG         599 1086
QSO: 28001 CW 2023-12-09 2233 K5ME          599 TX VA7MM         599 BC
QSO: 28040 CW 2023-12-09 2233 K5ME          599 TX N6XI          599 CA
QSO: 28038 CW 2023-12-09 2310 K5ME          599 TX N7WA          599 WA
QSO: 28034 CW 2023-12-09 2312 K5ME          599 TX PJ2T          599 2036
QSO: 28032 CW 2023-12-09 2316 K5ME          599 TX KN7K          599 OR
QSO: 28030 CW 2023-12-09 2317 K5ME          599 TX VA7ST         599 BC
QSO: 28028 CW 2023-12-09 2319 K5ME          599 TX K7RL          599 WA
QSO: 28022 CW 2023-12-09 2321 K5ME          599 TX K6MM          599 CA
QSO: 28021 CW 2023-12-09 2324 K5ME          599 TX FY5KE         599 2128
QSO: 28009 CW 2023-12-10 0017 K5ME          599 TX VK2GR         599 601
QSO: 28008 CW 2023-12-10 0019 K5ME          599 TX ZL1IF         599 680
QSO: 28022 CW 2023-12-10 1824 K5ME          599 TX VE3EY         599 ON
QSO: 28022 CW 2023-12-10 1824 K5ME          599 TX W6EU          599 CA
QSO: 28021 CW 2023-12-10 1825 K5ME          599 TX K1KI          599 CT
QSO: 28019 CW 2023-12-10 1828 K5ME          599 TX N2PP          599 NY
QSO: 28018 CW 2023-12-10 1829 K5ME          599 TX W2RQ          599 NJ
QSO: 28000 CW 2023-12-10 1831 K5ME          599 TX K1VUT         599 MA
QSO: 28013 CW 2023-12-10 1833 K5ME          599 TX N4SS          599 KY
QSO: 28013 CW 2023-12-10 1833 K5ME          599 TX ZF9CW         599 2397
QSO: 28011 CW 2023-12-10 1835 K5ME          599 TX KB1EFS        599 MA
QSO: 28009 CW 2023-12-10 1836 K5ME          599 TX AA3B          599 PA
QSO: 28009 CW 2023-12-10 1836 K5ME          599 TX W3BGN         599 PA
QSO: 28006 CW 2023-12-10 1837 K5ME          599 TX W8FJ          599 PA
QSO: 28009 CW 2023-12-10 1837 K5ME          599 TX K6AAM         599 CA
QSO: 28004 CW 2023-12-10 1839 K5ME          599 TX N5CR          599 WA
QSO: 28003 CW 2023-12-10 1840 K5ME          599 TX KI1G          599 RI
QSO: 28002 CW 2023-12-10 1841 K5ME          599 TX K1LZ          599 ME
QSO: 28000 CW 2023-12-10 1842 K5ME          599 TX K7RAT         599 OR
QSO: 28030 CW 2023-12-10 1843 K5ME          599 TX VA3FF         599 ON
QSO: 28031 CW 2023-12-10 1843 K5ME          599 TX K3MM          599 MD
QSO: 28030 CW 2023-12-10 1844 K5ME          599 TX N1IX          599 NH
QSO: 28030 CW 2023-12-10 1844 K5ME          599 TX VA3AR         599 ON
QSO: 28028 CW 2023-12-10 1846 K5ME          599 TX K3CCR         599 MD
QSO: 28027 CW 2023-12-10 1848 K5ME          599 TX N1UR          599 VT
QSO: 28027 CW 2023-12-10 1849 K5ME          599 TX W1RH          599 CA
QSO: 28025 CW 2023-12-10 1851 K5ME          599 TX CB1B          599 1068
QSO: 28024 CW 2023-12-10 1852 K5ME          599 TX AI0Y          599 ND
QSO: 28024 CW 2023-12-10 1852 K5ME          599 TX KB1W          599 MA
QSO: 28023 CW 2023-12-10 1853 K5ME          599 TX VE5SF         599 SK
QSO: 28024 CW 2023-12-10 1853 K5ME          599 TX K9JF          599 WA
QSO: 28022 CW 2023-12-10 1854 K5ME          599 TX N3RD          599 PA
QSO: 28020 CW 2023-12-10 1855 K5ME          599 TX W2RQ          599 NJ
QSO: 28043 CW 2023-12-10 1857 K5ME          599 TX N1KWF         599 NH
QSO: 28043 CW 2023-12-10 1859 K5ME          599 TX CW5W          599 2643
QSO: 28000 CW 2023-12-10 1900 K5ME          599 OK N0TT          599 MO
QSO: 28042 CW 2023-12-10 1900 K5ME          599 TX VE3KG         599 ON
QSO: 28000 CW 2023-12-10 1901 K5ME          599 TX K1EEE         599 VA
QSO: 28041 CW 2023-12-10 1901 K5ME          599 TX N2MM          599 NJ
QSO: 28039 CW 2023-12-10 1902 K5ME          599 TX VE3AT         599 ON
QSO: 28038 CW 2023-12-10 1903 K5ME          599 TX NN3Q          599 PA
QSO: 28039 CW 2023-12-10 1903 K5ME          599 TX K2SSS         599 NY
QSO: 28035 CW 2023-12-10 1905 K5ME          599 TX K3ATO         599 PA
QSO: 28035 CW 2023-12-10 1905 K5ME          599 TX W2XL          599 NY
QSO: 28033 CW 2023-12-10 1908 K5ME          599 TX W6XU          599 CA
QSO: 28032 CW 2023-12-10 1909 K5ME          599 TX VE3RZ         599 ON
QSO: 28030 CW 2023-12-10 1910 K5ME          599 TX K6AR          599 CA
QSO: 28000 CW 2023-12-10 1912 K5ME          599 TX PY2EX         599 1010
QSO: 28059 CW 2023-12-10 1915 K5ME          599 TX K3TC          599 MD
QSO: 28058 CW 2023-12-10 1916 K5ME          599 TX AJ1AJ         599 MA
QSO: 28056 CW 2023-12-10 1917 K5ME          599 TX VE6UM         599 AB
QSO: 28054 CW 2023-12-10 1919 K5ME          599 TX W6PH          599 CA
QSO: 28055 CW 2023-12-10 1919 K5ME          599 TX VE5GC         599 SK
QSO: 28054 CW 2023-12-10 1920 K5ME          599 TX N3UA          599 VA
QSO: 28055 CW 2023-12-10 1920 K5ME          599 TX K6NR          599 CA
QSO: 28000 CW 2023-12-10 1922 K5ME          599 TX WJ9B          599 ID
QSO: 28051 CW 2023-12-10 1923 K5ME          599 TX K7QA          599 MT
QSO: 28064 CW 2023-12-10 1925 K5ME          599 TX N1RR          599 MA
QSO: 28071 CW 2023-12-10 1927 K5ME          599 TX K6OK          599 CA
QSO: 28072 CW 2023-12-10 1928 K5ME          599 TX VY2TT         599 PE
QSO: 28068 CW 2023-12-10 1929 K5ME          599 TX K3TS          599 NJ
QSO: 28067 CW 2023-12-10 1930 K5ME          599 TX VE1ANU        599 NS
QSO: 28065 CW 2023-12-10 2036 K5ME          599 TX N6RK          599 CA
QSO: 28069 CW 2023-12-10 2036 K5ME          599 TX NT6X          599 CA
QSO: 28069 CW 2023-12-10 2037 K5ME          599 TX LW1F          599 1432
QSO: 28063 CW 2023-12-10 2042 K5ME          599 TX KH6AQ         599 HI
QSO: 28063 CW 2023-12-10 2043 K5ME          599 TX K9CT          599 IL
QSO: 28062 CW 2023-12-10 2045 K5ME          599 TX N4OGW         599 MS
QSO: 28059 CW 2023-12-10 2046 K5ME          599 TX WC6H          599 CA
QSO: 28060 CW 2023-12-10 2046 K5ME          599 TX W6OAT         599 WA
QSO: 28057 CW 2023-12-10 2049 K5ME          599 TX L33M          599 610
QSO: 28058 CW 2023-12-10 2049 K5ME          599 TX KL7AC         599 AK
QSO: 28057 CW 2023-12-10 2050 K5ME          599 TX N6US          599 CA
QSO: 28051 CW 2023-12-10 2053 K5ME          599 TX VA2WA         599 QC
QSO: 28049 CW 2023-12-10 2055 K5ME          599 TX TO5M          599 2146
QSO: 28048 CW 2023-12-10 2057 K5ME          599 TX N8OO          599 LA
END-OF-LOG:
